example_id,source,source_pos,words,c_score,s_score,c_residual_surface,s_residual_surface,s_residual_surface_plus_c,c_residual_surface_plus_s,source_pos,char_per_word,alpha_word_rate,noise_word_rate,digit_word_rate,punct_only_rate,filler_rate,pronoun_rate,function_word_rate,dialogue_marker_rate_row,upper_word_rate,sent_end_per_word,quote_char_per_word,word_ttr,tokens_per_word_row,token_ttr_row,moderate_token_ratio_union,bigram_diversity_token,in_r_a,in_r_b,in_c_high,in_c_control,in_s_high
0,bnc_spoken.train.txt,0.0,160,0.553125,0.410607,0.029177955535068523,0.011209141978503312,0.0041092493212422365,0.009935630297471354,0.0,4.2125,1.0,0.0,0.0,0.0,0.00625,0.06875,0.325,0.0,0.00625,0.05,0.05625,0.5125,1.325,0.4386792452830189,0.12264150943396226,0.8246445497630331,0,1,1,0,0
1,bnc_spoken.train.txt,0.00020999580008399833,160,0.61875,0.473128,0.09929589840538977,0.04806707571123936,0.02390533418218521,0.016780902535977638,0.00020999580008399833,4.1375,1.0,0.0,0.0,0.0,0.00625,0.05,0.40625,0.0,0.0,0.04375,0.05,0.49375,1.3125,0.44285714285714284,0.19047619047619047,0.8229665071770335,0,0,1,0,0
2,bnc_spoken.train.txt,0.00041999160016799666,160,0.59375,0.499728,0.10822433045711827,0.0693303453970493,0.04299604215136865,-0.010792545011441002,0.00041999160016799666,4.6125,1.0,0.0,0.0,0.0,0.01875,0.0375,0.35,0.0,0.0,0.0375,0.0375,0.5375,1.40625,0.49333333333333335,0.17777777777777778,0.8303571428571429,1,1,1,0,1
3,bnc_spoken.train.txt,0.000629987400251995,160,0.53125,0.418024,0.04156264608626237,-0.03198131789261133,-0.04209478610355338,0.0964638081552937,0.000629987400251995,4.6375,1.0,0.0,0.0,0.0,0.025,0.0625,0.33125,0.0,0.0,0.04375,0.04375,0.56875,1.4125,0.5,0.23008849557522124,0.8222222222222222,1,0,0,0,0
4,bnc_spoken.train.txt,0.0008399832003359933,160,0.421875,0.415927,-0.10593525883595656,-0.05844465427497031,-0.032667352453721876,-0.005605452316008619,0.0008399832003359933,4.5375,0.99375,0.00625,0.0,0.00625,0.025,0.05625,0.36875,0.0,0.0,0.025,0.05625,0.55625,1.25,0.5,0.24,0.8793969849246231,0,0,0,1,0
5,bnc_spoken.train.txt,0.0010499790004199917,160,0.64375,0.476584,0.11295248024538695,0.03264398274117619,0.005159175447197573,0.05691374559818174,0.0010499790004199917,4.83125,1.0,0.0,0.0,0.0,0.01875,0.0625,0.33125,0.0,0.0,0.04375,0.075,0.575,1.35625,0.5069124423963134,0.16589861751152074,0.875,0,0,1,0,0
6,bnc_spoken.train.txt,0.00125997480050399,160,0.6875,0.508239,0.1898730895705475,0.05535523417083121,0.009153280341915926,0.09484677787236373,0.00125997480050399,4.59375,1.0,0.0,0.0,0.0,0.03125,0.05625,0.33125,0.0,0.0,0.03125,0.05,0.60625,1.31875,0.5260663507109005,0.1848341232227488,0.8666666666666667,1,0,1,0,1
7,bnc_spoken.train.txt,0.0014699706005879883,160,0.553125,0.502856,0.018438734135953205,0.0002119970874804311,-0.004274713194317936,0.01807480646740034,0.0014699706005879883,4.79375,1.0,0.0,0.0,0.0,0.025,0.075,0.275,0.0,0.0,0.03125,0.03125,0.65,1.29375,0.5942028985507246,0.21739130434782608,0.941747572815534,0,0,1,0,1
8,bnc_spoken.train.txt,0.0016799664006719867,160,0.46875,0.429775,-0.02256304469621373,-0.035791782597975996,-0.03030150089638295,0.03887940316504129,0.0016799664006719867,4.80625,1.0,0.0,0.0,0.0,0.03125,0.03125,0.3625,0.0,0.0,0.01875,0.0125,0.55,1.275,0.5,0.23039215686274508,0.8275862068965517,1,0,0,1,0
9,bnc_spoken.train.txt,0.0018899622007559848,160,0.565625,0.461616,0.06115196560449376,0.01021922814962467,-0.004660923101911796,0.043608989334820936,0.0018899622007559848,4.7875,1.0,0.0,0.0,0.0,0.03125,0.04375,0.325,0.0,0.0,0.025,0.05625,0.6125,1.31875,0.5213270142180095,0.16113744075829384,0.8952380952380953,0,0,1,0,0
10,bnc_spoken.train.txt,0.0020999580008399833,160,0.453125,0.432749,0.0020275247626539983,0.006279243090927922,0.005785884049459233,-0.008751822847831159,0.0020999580008399833,5.1625,1.0,0.0,0.0,0.0,0.0375,0.00625,0.3125,0.0,0.0,0.025,0.05,0.51875,1.4625,0.4358974358974359,0.23504273504273504,0.7553648068669528,0,0,0,1,0
11,bnc_spoken.train.txt,0.0023099538009239817,160,0.44375,0.408289,-0.037238059460681594,-0.05516002768252248,-0.04609886420868803,0.057453148378194874,0.0023099538009239817,5.0,0.9875,0.0125,0.0,0.0125,0.025,0.05625,0.30625,0.0,0.0,0.0625,0.05,0.63125,1.4,0.5491071428571429,0.22321428571428573,0.8878923766816144,0,0,0,1,0
12,bnc_spoken.train.txt,0.00251994960100798,160,0.553125,0.477664,0.04065380732228052,-0.010835226074498938,-0.02072754590308523,0.059254244764168684,0.00251994960100798,4.45,1.0,0.0,0.0,0.0,0.025,0.0625,0.38125,0.0,0.0,0.01875,0.0125,0.63125,1.31875,0.5876777251184834,0.20853080568720378,0.9142857142857143,1,0,1,0,0
13,bnc_spoken.train.txt,0.0027299454010919783,160,0.515625,0.487412,-0.03520236481686967,0.023869761860633387,0.03243557831001115,-0.07617871447388525,0.0027299454010919783,4.675,1.0,0.0,0.0,0.0,0.01875,0.08125,0.34375,0.0,0.0,0.01875,0.0375,0.6,1.34375,0.5348837209302325,0.17674418604651163,0.8738317757009346,0,1,0,0,1
14,bnc_spoken.train.txt,0.0029399412011759767,160,0.534375,0.524723,0.005499647710560329,0.05121828676633844,0.049880053580301564,-0.0824249172526147,0.0029399412011759767,4.79375,1.0,0.0,0.0,0.0,0.01875,0.05,0.35625,0.0,0.0,0.03125,0.05625,0.64375,1.3875,0.5585585585585585,0.1891891891891892,0.9230769230769231,0,0,0,0,1
15,bnc_spoken.train.txt,0.003149937001259975,160,0.603125,0.557879,0.04351224797289632,0.09130353986473605,0.08071567364112803,-0.11322520907693334,0.003149937001259975,4.7625,1.0,0.0,0.0,0.0,0.0125,0.075,0.2625,0.0,0.0,0.03125,0.06875,0.59375,1.4125,0.4911504424778761,0.22566371681415928,0.8711111111111111,0,1,1,0,1
16,bnc_spoken.train.txt,0.0033599328013439733,160,0.4875,0.421253,-0.025281353435100684,-0.03076582164216296,-0.024614091943221283,0.02753321054987906,0.0033599328013439733,4.89375,1.0,0.0,0.0,0.0,0.025,0.0875,0.3375,0.0,0.0,0.04375,0.03125,0.5625,1.36875,0.5068493150684932,0.1872146118721461,0.8623853211009175,0,0,0,1,0
17,bnc_spoken.train.txt,0.0035699286014279717,160,0.575,0.396869,0.06143528674512533,-0.0018054505923710273,-0.01675454257841502,0.06453463793234704,0.0035699286014279717,4.7625,1.0,0.0,0.0,0.0,0.03125,0.06875,0.275,0.0,0.0,0.01875,0.06875,0.51875,1.3625,0.42201834862385323,0.12844036697247707,0.783410138248848,0,0,1,0,0
18,bnc_spoken.train.txt,0.0037799244015119695,160,0.6,0.517473,0.046908616569538375,0.09151672356139062,0.08010241655334632,-0.11019480515753899,0.0037799244015119695,4.38125,1.0,0.0,0.0,0.0,0.01875,0.0875,0.325,0.0,0.0,0.0125,0.05,0.61875,1.33125,0.539906103286385,0.107981220657277,0.8113207547169812,1,1,1,0,1
19,bnc_spoken.train.txt,0.003989920201595968,160,0.578125,0.555942,0.046452467902359795,0.09125008485841002,0.07994677282973722,-0.11019322488761196,0.003989920201595968,4.5125,1.0,0.0,0.0,0.0,0.025,0.0625,0.3,0.0,0.0,0.01875,0.0625,0.6125,1.34375,0.5255813953488372,0.21395348837209302,0.8504672897196262,0,0,1,0,1
20,bnc_spoken.train.txt,0.004199916001679967,160,0.48125,0.383898,-0.051476435663322107,-0.04924686586524435,-0.036721068190739004,0.03306386293657626,0.004199916001679967,4.64375,1.0,0.0,0.0,0.0,0.01875,0.10625,0.29375,0.0,0.01875,0.05,0.06875,0.5875,1.425,0.49122807017543857,0.16228070175438597,0.8590308370044053,0,0,0,1,0
21,bnc_spoken.train.txt,0.004409911801763965,160,0.625,0.46684,0.011998584910848487,-0.00305111538102365,-0.0059707395748322956,0.01723632341141257,0.004409911801763965,4.69375,0.99375,0.00625,0.0,0.00625,0.00625,0.125,0.25625,0.0,0.0,0.025,0.05625,0.6,1.31875,0.5260663507109005,0.18009478672985782,0.8809523809523809,0,0,1,0,0
22,bnc_spoken.train.txt,0.004619907601847963,160,0.621875,0.496787,0.011846499981307712,0.03810701942841355,0.03522440216859757,-0.05357043051017785,0.004619907601847963,4.4625,1.0,0.0,0.0,0.0,0.00625,0.1375,0.275,0.0,0.00625,0.03125,0.05,0.5875,1.28125,0.5121951219512195,0.15121951219512195,0.8872549019607843,0,1,1,0,1
23,bnc_spoken.train.txt,0.004829903401931962,160,0.61875,0.447699,0.07634741107867982,0.0013518099642149117,-0.0172258598340308,0.07402680821356034,0.004829903401931962,4.06875,1.0,0.0,0.0,0.0,0.01875,0.14375,0.24375,0.0,0.0,0.0625,0.04375,0.60625,1.2125,0.5360824742268041,0.12371134020618557,0.9326424870466321,1,0,1,0,0
24,bnc_spoken.train.txt,0.00503989920201596,160,0.5625,0.51773,-0.040787638650195523,0.03628507706828871,0.04620996216901052,-0.10307690713821038,0.00503989920201596,3.925,0.99375,0.00625,0.0,0.00625,0.0,0.11875,0.35,0.0,0.0,0.03125,0.03125,0.5875,1.15625,0.5675675675675675,0.1837837837837838,0.9021739130434783,0,1,1,0,1
25,bnc_spoken.train.txt,0.005249895002099958,160,0.5875,0.444101,-0.01707426875434903,-0.043187940660909085,-0.03903324671014885,0.05706489391599456,0.005249895002099958,4.0875,1.0,0.0,0.0,0.0,0.0,0.11875,0.275,0.0,0.0,0.0375,0.05,0.60625,1.225,0.5816326530612245,0.1683673469387755,0.958974358974359,1,0,1,0,0
26,bnc_spoken.train.txt,0.005459890802183957,160,0.628125,0.569132,0.031973568395576746,0.08061076559111313,0.07283061446964906,-0.1064079930237185,0.005459890802183957,3.94375,1.0,0.0,0.0,0.0,0.0,0.1,0.325,0.0,0.0,0.03125,0.0375,0.55625,1.15625,0.5675675675675675,0.1891891891891892,0.9293478260869565,1,0,1,0,1
27,bnc_spoken.train.txt,0.005669886602267955,160,0.396875,0.414699,-0.10008526428723397,-0.04572248668594103,-0.02136866819585226,-0.02159513889049758,0.005669886602267955,3.925,0.9875,0.0125,0.0,0.0125,0.01875,0.10625,0.325,0.0,0.0,0.0625,0.0125,0.53125,1.15625,0.5567567567567567,0.1783783783783784,0.9293478260869565,1,1,0,1,0
28,bnc_spoken.train.txt,0.005879882402351953,160,0.659375,0.531186,0.08475451745854401,0.06571996175059819,0.04509658478196921,-0.02806454407468084,0.005879882402351953,3.875,1.0,0.0,0.0,0.0,0.0,0.1,0.33125,0.0,0.0,0.04375,0.0375,0.575,1.18125,0.5714285714285714,0.14285714285714285,0.9308510638297872,0,1,1,0,1
29,bnc_spoken.train.txt,0.006089878202435952,160,0.61875,0.444243,-0.003076337123686379,-0.0024454492453859222,-0.001696881946711859,0.001121676410443806,0.006089878202435952,3.74375,0.9875,0.0125,0.0,0.0125,0.0,0.19375,0.3,0.0,0.0,0.03125,0.025,0.5125,1.19375,0.49214659685863876,0.14136125654450263,0.8894736842105263,0,0,1,0,0
30,bnc_spoken.train.txt,0.00629987400251995,160,0.70625,0.419352,0.0554879154864516,-0.023095034852051444,-0.03659694876289671,0.09513431954209339,0.00629987400251995,3.78125,1.0,0.0,0.0,0.0,0.0,0.2375,0.21875,0.0,0.0,0.05,0.05625,0.55,1.21875,0.5076923076923077,0.10256410256410256,0.9072164948453608,0,1,1,0,0
31,bnc_spoken.train.txt,0.006509869802603948,160,0.69375,0.581319,0.11516107796707731,0.08128754041996755,0.05326531347270891,-0.024382278118965317,0.006509869802603948,3.9625,1.0,0.0,0.0,0.0,0.0,0.08125,0.35,0.0,0.0,0.03125,0.01875,0.5625,1.175,0.5478723404255319,0.2393617021276596,0.9197860962566845,1,0,1,0,1
32,bnc_spoken.train.txt,0.006719865602687947,160,0.565625,0.511596,-0.025758125643889684,0.02406917212951215,0.030336915148862886,-0.06707679563700608,0.006719865602687947,4.08125,1.0,0.0,0.0,0.0,0.00625,0.13125,0.3125,0.0,0.0,0.04375,0.025,0.6375,1.1625,0.6021505376344086,0.16129032258064516,0.9351351351351351,1,1,1,0,1
33,bnc_spoken.train.txt,0.006929861402771945,160,0.51875,0.473934,-0.026877478176297265,0.0031275253333423736,0.009667641199932853,-0.03224638685533909,0.006929861402771945,4.11875,1.0,0.0,0.0,0.0,0.0,0.08125,0.36875,0.0,0.0,0.06875,0.03125,0.6,1.2,0.5833333333333334,0.171875,0.9214659685863874,1,0,0,0,0
34,bnc_spoken.train.txt,0.007139857202855943,160,0.621875,0.500235,0.046710814478309715,0.044657097909327204,0.033290922224720354,-0.029950396860294992,0.007139857202855943,4.15,1.0,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.04375,0.04375,0.55,1.25625,0.5323383084577115,0.15920398009950248,0.89,0,0,1,0,1
35,bnc_spoken.train.txt,0.007349853002939942,160,0.578125,0.474102,-0.012905202898812251,-0.007855037986941704,-0.004714805793784416,0.0005792543404908868,0.007349853002939942,4.09375,0.99375,0.00625,0.0,0.00625,0.0,0.1375,0.3,0.0,0.0,0.05,0.025,0.58125,1.2,0.5729166666666666,0.171875,0.9476439790575916,0,1,1,0,0
37,bnc_spoken.train.txt,0.007769844603107937,160,0.64375,0.476758,0.05257377800783414,0.009488768581893015,-0.003304046185189091,0.03628475503825834,0.007769844603107937,4.08125,1.0,0.0,0.0,0.0,0.0,0.13125,0.3125,0.0,0.00625,0.05,0.03125,0.55625,1.19375,0.5549738219895288,0.15706806282722513,0.9052631578947369,1,0,1,0,0
38,bnc_spoken.train.txt,0.007979840403191937,160,0.65625,0.482521,0.043790025541309174,0.021933393474347473,0.011277935437599751,0.006137768873762606,0.007979840403191937,4.16875,1.0,0.0,0.0,0.0,0.0,0.11875,0.33125,0.0,0.00625,0.03125,0.0375,0.55,1.1625,0.5161290322580645,0.15053763440860216,0.8810810810810811,1,0,1,0,0
39,bnc_spoken.train.txt,0.008189836203275935,160,0.646875,0.518443,0.0272091670559107,0.03586367910528554,0.029242853147885273,-0.03435670291738102,0.008189836203275935,4.2125,1.0,0.0,0.0,0.0,0.0,0.125,0.325,0.0,0.0,0.025,0.025,0.575,1.18125,0.5555555555555556,0.1693121693121693,0.9042553191489362,1,0,1,0,1
40,bnc_spoken.train.txt,0.008399832003359933,160,0.6,0.439453,0.001254700531011399,0.004189070224783764,0.0038837630528509304,-0.005936523548674133,0.008399832003359933,3.85625,1.0,0.0,0.0,0.0,0.0,0.15625,0.35,0.0,0.0,0.05,0.0375,0.5375,1.1875,0.5052631578947369,0.12105263157894737,0.8624338624338624,1,1,1,0,0
