target_label,target_source,rank_by_abs_cosine,archive_label,archive_family,archive_exposure,stable6_cosine,archive_vector_json
seed43022_common10_80_VminusR,reference_1x_seed_mean,1,Adapter scale1.75 train:20M:stable6,architecture,20M,-0.8882885859651095,"{""BLiMP"": -0.0799999999999983, ""COMPS"": -0.28999999999999915, ""EWoK"": 1.490000000000002, ""Entity"": -0.4299999999999997, ""Reading"": 0.02999999999999936, ""Supplement"": 0.8200000000000003}"
seed43022_common10_80_VminusR,reference_1x_seed_mean,2,Minfreq50 support-floor:80M:stable6,tokenizer,80M,0.795083790282537,"{""BLiMP"": -0.4200000000000017, ""COMPS"": -0.030000000000001137, ""EWoK"": -1.4399999999999977, ""Entity"": 0.25, ""Reading"": 0.21500000000000163, ""Supplement"": -2.289999999999999}"
seed43022_common10_80_VminusR,reference_1x_seed_mean,3,Strict content-innovation WWM:80M:stable6,objective,80M,0.7631800634557615,"{""BLiMP"": -0.45999999999999375, ""COMPS"": -0.75, ""EWoK"": -1.8500000000000014, ""Entity"": 0.9400000000000013, ""Reading"": -0.08499999999999908, ""Supplement"": -2.719999999999999}"
seed43022_common10_80_VminusR,reference_1x_seed_mean,4,Adapter scale2.00 train:20M:stable6,architecture,20M,-0.5369635545651344,"{""BLiMP"": 0.23000000000000398, ""COMPS"": 0.20000000000000284, ""EWoK"": -0.18999999999999773, ""Entity"": -1.1999999999999993, ""Reading"": -0.3100000000000005, ""Supplement"": 0.759999999999998}"
seed43022_common10_80_VminusR,reference_1x_seed_mean,5,Word-mean MLM:80M:stable6,objective,80M,0.5091751101263675,"{""BLiMP"": -1.5600000000000023, ""COMPS"": 0.509999999999998, ""EWoK"": -1.8099999999999952, ""Entity"": -1.1499999999999986, ""Reading"": -0.5249999999999995, ""Supplement"": -1.7099999999999937}"
seed43122_common10_80_VminusR,reference_1x_seed_mean,1,Muon20->AdamW:80M:stable6,optimizer_switch,80M,-0.7107936588381811,"{""BLiMP"": 0.269999999999996, ""COMPS"": 0.29999999999999716, ""EWoK"": -0.9299999999999997, ""Entity"": -3.469999999999999, ""Reading"": -0.5199999999999996, ""Supplement"": 1.3200000000000003}"
seed43122_common10_80_VminusR,reference_1x_seed_mean,2,Adapter scale2.00 train:20M:stable6,architecture,20M,-0.6646385451999098,"{""BLiMP"": 0.23000000000000398, ""COMPS"": 0.20000000000000284, ""EWoK"": -0.18999999999999773, ""Entity"": -1.1999999999999993, ""Reading"": -0.3100000000000005, ""Supplement"": 0.759999999999998}"
seed43122_common10_80_VminusR,reference_1x_seed_mean,3,Muon40->AdamW:80M:stable6,optimizer_switch,80M,-0.5946819392661954,"{""BLiMP"": -0.12999999999999545, ""COMPS"": -0.2700000000000031, ""EWoK"": -0.7899999999999991, ""Entity"": -1.8399999999999999, ""Reading"": -0.7199999999999989, ""Supplement"": 1.0200000000000031}"
seed43122_common10_80_VminusR,reference_1x_seed_mean,4,Expanded FineWeb source-breadth:100M:stable6,data,100M,-0.5676607671919833,"{""BLiMP"": 2.019300000000001, ""COMPS"": -0.6783000000000001, ""EWoK"": 0.10679999999999978, ""Entity"": -3.5208000000000013, ""Reading"": -0.033200000000000784, ""Supplement"": -1.4757000000000033}"
seed43122_common10_80_VminusR,reference_1x_seed_mean,5,Muon wdmatched lr0.008:80M:stable6,optimizer,80M,-0.49335641830181076,"{""BLiMP"": 0.23999999999999488, ""COMPS"": -0.4099999999999966, ""EWoK"": -0.28999999999999915, ""Entity"": -2.889999999999997, ""Reading"": -1.0299999999999994, ""Supplement"": -0.22999999999999687}"
dose1:V_minus_R:stable6,dose_common10_80,1,Adapter scale1.75 train:20M:stable6,architecture,20M,-0.8882885859651095,"{""BLiMP"": -0.0799999999999983, ""COMPS"": -0.28999999999999915, ""EWoK"": 1.490000000000002, ""Entity"": -0.4299999999999997, ""Reading"": 0.02999999999999936, ""Supplement"": 0.8200000000000003}"
dose1:V_minus_R:stable6,dose_common10_80,2,Minfreq50 support-floor:80M:stable6,tokenizer,80M,0.795083790282537,"{""BLiMP"": -0.4200000000000017, ""COMPS"": -0.030000000000001137, ""EWoK"": -1.4399999999999977, ""Entity"": 0.25, ""Reading"": 0.21500000000000163, ""Supplement"": -2.289999999999999}"
dose1:V_minus_R:stable6,dose_common10_80,3,Strict content-innovation WWM:80M:stable6,objective,80M,0.7631800634557615,"{""BLiMP"": -0.45999999999999375, ""COMPS"": -0.75, ""EWoK"": -1.8500000000000014, ""Entity"": 0.9400000000000013, ""Reading"": -0.08499999999999908, ""Supplement"": -2.719999999999999}"
