column,subgroup,n_items,score_82,score_84,score_100,delta_84_minus_82,gains_82_to_84,losses_82_to_84,net_items_82_to_84,retention_of_82_correct_at_84,delta_100_minus_84,gains_84_to_100,losses_84_to_100,net_items_84_to_100
BLiMP,anaphor_agreement,1902,84.01682439537329,82.91272344900105,82.49211356466877,-1.1041009463722418,30,51,-21,0.9680851063829787,-0.4206098843322792,44,52,-8
BLiMP,argument_structure,6072,63.537549407114625,63.43873517786561,63.52108036890646,-0.09881422924901528,90,96,-6,0.9751166407465007,0.08234519104085081,91,86,5
BLiMP,binding,6510,65.48387096774194,65.34562211981567,66.605222734255,-0.13824884792626335,139,148,-9,0.965282664790054,1.2596006144393215,201,119,82
BLiMP,control_raising,4363,65.68874627549852,64.81778592711437,66.12422644969058,-0.8709603483841448,46,84,-38,0.9706908583391486,1.3064405225762101,97,40,57
BLiMP,determiner_noun_agreement,6793,89.18003827469454,88.65008096569998,89.06226998380686,-0.529957308994554,40,76,-36,0.9874546054803566,0.41218901810687214,72,44,28
BLiMP,ellipsis,1630,85.6441717791411,85.95092024539878,85.6441717791411,0.30674846625767316,25,20,5,0.9856733524355301,-0.30674846625767316,19,24,-5
BLiMP,filler_gap_dependency,6179,66.07865350380321,66.41851432270593,67.30862599126071,0.33986081890272146,109,88,21,0.9784472201812393,0.8901116685547805,115,60,55
BLiMP,irregular_forms,1903,85.75932737782449,86.44245927482922,86.60010509721492,0.6831318970047278,30,17,13,0.9895833333333334,0.15764582238570313,22,19,3
BLiMP,island_effects,7448,50.483351235230934,51.31578947368421,51.369495166487646,0.8324382384532782,190,128,62,0.9659574468085106,0.05370569280343318,162,158,4
BLiMP,npi_licensing,6261,62.32231272959591,59.54320396102859,59.367513176808814,-2.779108768567319,75,249,-174,0.9361865709892363,-0.1756907842197748,123,134,-11
BLiMP,quantifiers,3806,79.47976878612717,81.34524435102469,80.5307409353652,1.8654755648975225,114,43,71,0.9857851239669422,-0.8145034156594875,44,75,-31
BLiMP,s-selection,1818,65.40154015401541,66.06160616061607,66.06160616061607,0.6600660066006583,36,24,12,0.9798149705634988,0.0,32,32,0
BLiMP,subject_verb_agreement,5190,63.71868978805395,62.96724470134875,63.85356454720616,-0.7514450867052034,91,130,-39,0.9606894466283641,0.8863198458574146,137,91,46
COMPS,co-occurrence,22757,50.718460253987786,51.109548710286944,50.84149931889089,0.39108845629915834,763,674,89,0.9416045745971235,-0.26804939139605466,707,768,-61
COMPS,overlap,22757,52.66950828316562,52.30478534077426,52.55965197521641,-0.36472294239136005,709,792,-83,0.9339229100617387,0.25486663444215196,819,761,58
COMPS,random,22757,54.818297666652015,55.05558729182229,55.2621171507668,0.23728962517027696,762,708,54,0.943246492985972,0.20652985894450637,788,741,47
COMPS,taxonomic,22757,52.27841982686646,52.37509337786176,52.687085292437494,0.09667355099529829,767,745,22,0.9373791712196352,0.31199191457573505,799,728,71
EWoK,agent-properties,2210,50.40723981900452,49.366515837104075,50.13574660633484,-1.0407239819004488,45,68,-23,0.9389587073608617,0.7692307692307665,79,62,17
EWoK,material-dynamics,770,50.649350649350644,52.33766233766234,50.38961038961038,1.6883116883116926,35,22,13,0.9435897435897436,-1.9480519480519547,25,40,-15
EWoK,material-properties,170,50.588235294117645,51.17647058823529,47.647058823529406,0.588235294117645,7,6,1,0.9302325581395349,-3.529411764705884,4,10,-6
EWoK,physical-dynamics,120,53.333333333333336,51.66666666666667,50.0,-1.6666666666666643,3,5,-2,0.921875,-1.6666666666666714,4,6,-2
EWoK,physical-interactions,556,48.561151079136685,48.561151079136685,47.482014388489205,0.0,19,19,0,0.9296296296296296,-1.0791366906474806,12,18,-6
EWoK,physical-relations,818,49.75550122249388,50.0,50.12224938875306,0.24449877750611648,14,12,2,0.9705159705159705,0.1222493887530618,11,10,1
EWoK,quantitative-properties,314,49.044585987261144,49.681528662420384,48.72611464968153,0.63694267515924,14,12,2,0.922077922077922,-0.9554140127388564,6,9,-3
EWoK,social-interactions,294,53.40136054421769,54.08163265306123,51.02040816326531,0.6802721088435391,13,11,2,0.9299363057324841,-3.0612244897959187,6,15,-9
EWoK,social-properties,328,47.86585365853659,46.34146341463415,47.256097560975604,-1.5243902439024382,5,10,-5,0.9363057324840764,0.9146341463414558,8,5,3
EWoK,social-relations,1548,50.064599483204134,50.45219638242894,50.775193798449614,0.38759689922480334,68,62,6,0.92,0.32299741602067655,64,59,5
EWoK,spatial-relations,490,46.93877551020408,47.14285714285714,46.326530612244895,0.20408163265305745,14,13,1,0.9434782608695652,-0.816326530612244,12,16,-4
Entity,ambiref,2315,25.917926565874733,25.572354211663068,25.356371490280775,-0.3455723542116651,37,45,-8,0.925,-0.2159827213822929,45,50,-5
Entity,move_contents,2227,29.636281993713514,30.444544229905702,28.87292321508756,0.8082622361921885,50,32,18,0.9515151515151515,-1.5716210148181418,44,79,-35
Entity,regular,2238,28.19481680071492,28.239499553172475,27.882037533512065,0.04468275245755393,47,46,1,0.9270998415213946,-0.35746201966041014,56,64,-8
GlobalPIQA,counting,7,28.57142857142857,28.57142857142857,28.57142857142857,0.0,0,0,0,1.0,0.0,0,0,0
