column,subtask,n_items,score_82,score_84,score_100,delta_84_minus_82,gains_82_to_84,losses_82_to_84,net_items_82_to_84,retention_of_82_correct_at_84,delta_100_minus_84,gains_84_to_100,losses_84_to_100,net_items_84_to_100
BLiMP,adjunct_island,928,75.0,75.86206896551724,75.32327586206897,0.8620689655172384,21,13,8,0.9813218390804598,-0.5387931034482705,15,20,-5
BLiMP,anaphor_gender_agreement,971,82.389289392379,81.5653964984552,81.15345005149331,-0.8238928939237979,18,26,-8,0.9675,-0.41194644696189187,30,34,-4
BLiMP,anaphor_number_agreement,931,85.71428571428571,84.31793770139635,83.88829215896885,-1.3963480128893622,12,25,-13,0.968671679197995,-0.42964554242749387,14,18,-4
BLiMP,animate_subject_passive,895,61.899441340782126,62.68156424581005,63.46368715083799,0.7821229050279257,16,9,7,0.983754512635379,0.7821229050279399,22,15,7
BLiMP,animate_subject_trans,923,68.79739978331527,69.33911159263272,68.5807150595883,0.541711809317448,20,15,5,0.9763779527559056,-0.7583965330444187,10,17,-7
BLiMP,causative,818,56.11246943765281,56.234718826405874,56.60146699266504,0.1222493887530618,13,12,1,0.9738562091503268,0.36674816625916407,14,11,3
BLiMP,complex_NP_island,846,38.77068557919622,39.479905437352244,39.71631205673759,0.7092198581560254,25,19,6,0.9420731707317073,0.2364066193853489,16,14,2
BLiMP,coordinate_structure_constraint_complex_left_branch,906,32.22958057395143,33.77483443708609,33.99558498896248,1.5452538631346613,24,10,14,0.9657534246575342,0.22075055187638526,26,24,2
BLiMP,coordinate_structure_constraint_object_extraction,949,79.03055848261327,78.39831401475237,78.71443624868283,-0.6322444678609003,13,19,-6,0.9746666666666667,0.31612223393045724,18,15,3
BLiMP,determiner_noun_agreement_1,929,89.1280947255113,87.51345532831,88.3745963401507,-1.6146393972013016,3,18,-15,0.9782608695652174,0.8611410118407008,12,4,8
BLiMP,determiner_noun_agreement_2,931,97.95918367346938,97.63694951664877,97.63694951664877,-0.3222341568206133,2,5,-3,0.9945175438596491,0.0,4,4,0
BLiMP,determiner_noun_agreement_irregular_1,681,76.06461086637299,75.03671071953009,76.65198237885463,-1.0279001468428959,4,11,-7,0.9787644787644788,1.6152716593245344,17,6,11
BLiMP,determiner_noun_agreement_irregular_2,820,88.17073170731707,88.29268292682927,87.8048780487805,0.1219512195121979,7,6,1,0.991701244813278,-0.48780487804877737,4,8,-4
BLiMP,determiner_noun_agreement_with_adj_2,941,94.36769394261424,94.36769394261424,94.79277364505845,0.0,5,5,0,0.9943693693693694,0.4250797024442079,8,4,4
BLiMP,determiner_noun_agreement_with_adj_irregular_1,718,87.3259052924791,88.16155988857939,88.44011142061281,0.8356545961002837,11,5,6,0.9920255183413078,0.2785515320334184,9,7,2
BLiMP,determiner_noun_agreement_with_adj_irregular_2,840,88.21428571428571,87.26190476190476,87.5,-0.952380952380949,6,14,-8,0.9811066126855601,0.2380952380952408,8,6,2
BLiMP,determiner_noun_agreement_with_adjective_1,933,87.9957127545552,86.92390139335477,87.45980707395499,-1.0718113612004316,2,12,-10,0.9853836784409257,0.5359056806002229,10,5,5
BLiMP,distractor_agreement_relational_noun,788,49.49238578680203,49.87309644670051,51.90355329949239,0.38071065989847597,31,28,3,0.9282051282051282,2.030456852791879,39,23,16
BLiMP,distractor_agreement_relative_clause,871,27.898966704936857,29.621125143513204,30.424799081515495,1.722158438576347,28,13,15,0.9465020576131687,0.8036739380022908,24,17,7
BLiMP,drop_argument,920,64.78260869565217,63.80434782608696,64.45652173913044,-0.9782608695652115,16,25,-9,0.9580536912751678,0.6521739130434767,18,12,6
BLiMP,ellipsis_n_bar_1,802,74.56359102244389,74.81296758104739,74.3142144638404,0.24937655860350105,21,19,2,0.9682274247491639,-0.4987531172069879,16,20,-4
BLiMP,ellipsis_n_bar_2,828,96.37681159420289,96.73913043478261,96.61835748792271,0.36231884057971797,4,1,3,0.9987468671679198,-0.12077294685990125,3,4,-1
BLiMP,existential_there_object_raising,812,73.76847290640394,72.41379310344827,74.38423645320196,-1.3546798029556726,6,17,-11,0.9716193656093489,1.970443349753694,20,4,16
