row_pos,masked_tokens_cpu_proxy,masked_source_tokens_cpu_proxy,masked_view_tokens_cpu_proxy,masked_other_tokens_cpu_proxy,selected_groups_cpu_proxy
0,22,14,8,0,18
1,33,23,10,0,25
2,38,19,19,0,23
3,20,12,8,0,16
4,27,13,14,0,20
5,28,19,9,0,20
6,27,9,18,0,21
7,23,16,7,0,20
8,20,13,7,0,16
9,33,17,16,0,24
10,37,22,15,0,27
11,34,23,11,0,24
12,26,17,9,0,20
13,21,15,6,0,18
14,30,13,17,0,20
15,32,23,9,0,26
16,40,32,8,0,25
17,24,16,8,0,20
18,20,10,10,0,19
19,32,18,14,0,18
20,14,9,5,0,13
21,32,24,8,0,22
22,24,14,10,0,18
23,19,13,6,0,16
24,26,16,10,0,20
25,17,15,2,0,14
26,21,12,9,0,19
27,36,19,17,0,22
28,23,15,8,0,18
29,35,14,21,0,23
30,24,17,7,0,16
31,28,19,9,0,23
32,49,25,24,0,25
33,21,11,10,0,17
34,29,16,13,0,20
35,21,14,7,0,18
36,22,9,13,0,16
37,26,13,13,0,19
38,30,19,11,0,26
39,35,24,11,0,23
40,23,12,11,0,18
41,41,24,17,0,28
42,40,23,17,0,21
43,21,13,8,0,15
44,29,16,13,0,23
45,35,20,15,0,30
46,31,22,9,0,22
47,25,12,13,0,19
48,22,15,7,0,18
49,31,15,16,0,21
50,31,25,6,0,24
51,30,23,7,0,24
52,31,21,10,0,24
53,32,24,8,0,21
54,16,10,6,0,16
55,16,8,8,0,13
56,29,10,19,0,20
57,37,24,13,0,27
58,28,21,7,0,22
59,19,11,8,0,18
60,27,17,10,0,20
61,23,15,8,0,17
62,22,11,11,0,17
63,32,14,18,0,23
64,18,12,6,0,14
65,22,13,9,0,15
66,24,14,10,0,19
67,24,14,10,0,20
68,24,18,6,0,20
69,23,15,8,0,19
70,26,11,15,0,22
71,30,20,10,0,22
72,25,22,3,0,18
73,21,12,9,0,16
74,34,19,15,0,26
75,22,10,12,0,18
76,20,13,7,0,14
77,27,19,8,0,19
78,29,15,14,0,22
79,28,16,12,0,17
80,27,10,17,0,20
81,31,22,9,0,23
82,20,13,7,0,16
83,53,31,22,0,31
84,41,29,12,0,30
85,42,31,11,0,26
86,33,28,5,0,25
87,24,15,9,0,18
88,35,23,12,0,30
89,27,13,14,0,21
90,30,20,10,0,18
91,19,8,11,0,15
92,21,14,7,0,18
93,20,6,14,0,19
94,34,28,6,0,23
95,29,17,12,0,23
96,19,15,4,0,13
97,23,11,12,0,18
98,27,18,9,0,23
99,23,14,9,0,20
100,26,18,8,0,20
101,30,12,18,0,26
102,31,24,7,0,22
103,30,19,11,0,21
104,17,12,5,0,15
105,38,16,22,0,22
106,24,14,10,0,17
107,40,26,14,0,30
108,23,13,10,0,20
109,36,23,13,0,28
110,29,18,11,0,22
111,32,20,12,0,25
112,29,19,10,0,21
113,24,14,10,0,16
114,40,25,15,0,30
115,19,13,6,0,16
116,30,13,17,0,22
117,38,24,14,0,28
118,33,18,15,0,24
119,31,18,13,0,25
120,26,8,18,0,13
121,30,16,14,0,24
122,36,26,10,0,25
123,26,20,6,0,22
124,42,26,16,0,20
125,33,26,7,0,27
126,22,17,5,0,18
127,33,25,8,0,24
128,23,17,6,0,20
129,22,11,11,0,19
130,30,17,13,0,19
131,35,16,19,0,20
132,40,30,10,0,24
133,20,17,3,0,18
134,16,12,4,0,14
135,29,18,11,0,22
136,21,16,5,0,18
137,29,15,14,0,19
138,29,20,9,0,22
139,24,13,11,0,22
