row_pos,masked_tokens_cpu_proxy,masked_source_tokens_cpu_proxy,masked_view_tokens_cpu_proxy,masked_other_tokens_cpu_proxy,selected_groups_cpu_proxy
0,23,14,9,0,18
1,37,23,14,0,25
2,37,19,18,0,23
3,25,12,13,0,16
4,24,13,11,0,20
5,28,19,9,0,20
6,25,9,16,0,21
7,21,16,5,0,20
8,21,13,8,0,16
9,31,17,14,0,24
10,42,22,20,0,27
11,32,23,9,0,24
12,28,17,11,0,20
13,22,15,7,0,18
14,30,13,17,0,20
15,34,23,11,0,26
16,45,32,13,0,25
17,24,16,8,0,20
18,26,10,16,0,19
19,33,18,15,0,18
20,13,9,4,0,13
21,30,24,6,0,22
22,31,14,17,0,18
23,17,13,4,0,16
24,28,16,12,0,20
25,17,15,2,0,14
26,20,12,8,0,19
27,32,19,13,0,22
28,25,15,10,0,18
29,33,14,19,0,23
30,25,17,8,0,16
31,32,19,13,0,23
32,47,25,22,0,25
33,22,11,11,0,17
34,30,16,14,0,20
35,29,14,15,0,18
36,22,9,13,0,16
37,27,13,14,0,19
38,33,19,14,0,26
39,33,24,9,0,23
40,20,12,8,0,18
41,44,24,20,0,28
42,42,23,19,0,21
43,24,13,11,0,15
44,31,16,15,0,23
45,35,20,15,0,30
46,30,22,8,0,21
47,28,18,10,0,20
48,25,17,8,0,18
49,25,16,9,0,18
50,37,29,8,0,27
51,30,19,11,0,23
52,43,26,17,0,25
53,25,19,6,0,21
54,20,14,6,0,15
55,20,12,8,0,14
56,25,15,10,0,20
57,34,23,11,0,27
58,29,21,8,0,21
59,23,16,7,0,19
60,29,14,15,0,19
61,22,12,10,0,18
62,20,11,9,0,16
63,31,15,16,0,24
64,20,14,6,0,14
65,24,14,10,0,15
66,26,12,14,0,18
67,27,14,13,0,21
68,29,20,9,0,20
69,25,19,6,0,18
70,27,17,10,0,21
71,40,25,15,0,24
72,19,14,5,0,18
73,22,12,10,0,15
74,47,29,18,0,26
75,27,14,13,0,18
76,19,11,8,0,14
77,26,20,6,0,19
78,34,22,12,0,22
79,31,8,23,0,18
80,31,14,17,0,19
81,33,21,12,0,24
82,22,14,8,0,16
83,38,24,14,0,29
84,37,28,9,0,32
85,33,13,20,0,26
86,33,28,5,0,25
87,27,11,16,0,18
88,35,29,6,0,28
89,33,19,14,0,23
90,29,24,5,0,18
91,18,6,12,0,14
92,30,18,12,0,19
93,28,15,13,0,19
94,28,19,9,0,22
95,30,15,15,0,23
96,16,10,6,0,14
97,22,12,10,0,18
98,31,19,12,0,22
99,31,15,16,0,21
100,25,15,10,0,20
101,37,21,16,0,25
102,36,27,9,0,23
103,24,10,14,0,20
104,17,10,7,0,16
105,34,16,18,0,22
106,27,19,8,0,17
107,36,21,15,0,30
108,24,15,9,0,19
109,36,25,11,0,29
110,28,18,10,0,21
111,38,27,11,0,26
112,30,23,7,0,21
113,24,14,10,0,16
114,48,24,24,0,29
115,21,12,9,0,17
116,32,12,20,0,21
117,32,19,13,0,28
118,38,22,16,0,25
119,36,27,9,0,25
120,19,9,10,0,11
121,31,18,13,0,25
122,37,22,15,0,25
123,27,22,5,0,21
124,29,19,10,0,22
125,43,26,17,0,27
126,23,15,8,0,18
127,35,26,9,0,23
128,30,19,11,0,21
129,24,14,10,0,19
130,24,14,10,0,19
131,33,19,14,0,19
132,38,23,15,0,24
133,24,19,5,0,19
134,22,10,12,0,14
135,23,18,5,0,21
136,21,13,8,0,19
137,24,15,9,0,19
138,35,27,8,0,21
139,27,17,10,0,22
140,21,12,9,0,19
141,43,22,21,0,22
142,26,19,7,0,18
143,24,16,8,0,18
144,30,17,13,0,21
145,20,9,11,0,14
146,22,13,9,0,19
147,25,17,8,0,19
148,20,11,9,0,14
149,53,28,25,0,32
150,30,19,11,0,18
151,26,8,18,0,17
152,20,12,8,0,15
153,15,11,4,0,9
154,31,13,18,0,20
155,23,16,7,0,17
156,40,20,20,0,22
157,27,17,10,0,20
158,23,11,12,0,16
159,26,7,19,0,17
160,27,14,13,0,17
161,27,16,11,0,22
162,20,15,5,0,17
163,33,17,16,0,20
164,29,21,8,0,23
165,41,29,12,0,27
166,36,26,10,0,25
167,29,18,11,0,22
168,22,13,9,0,17
169,39,28,11,0,21
170,21,14,7,0,19
171,22,17,5,0,21
172,32,21,11,0,23
173,38,15,23,0,17
174,33,18,15,0,28
175,30,17,13,0,18
176,30,22,8,0,20
177,29,8,21,0,18
178,28,13,15,0,23
179,29,22,7,0,17
180,31,20,11,0,26
181,27,20,7,0,20
182,30,18,12,0,23
183,34,22,12,0,23
184,51,31,20,0,25
185,29,16,13,0,17
186,33,21,12,0,32
187,27,19,8,0,21
188,19,10,9,0,15
189,21,9,12,0,16
190,16,14,2,0,13
191,55,24,31,0,30
192,29,19,10,0,22
193,22,14,8,0,20
194,45,20,25,0,26
195,26,17,9,0,18
196,21,10,11,0,16
197,34,24,10,0,25
198,32,23,9,0,20
199,34,24,10,0,21
200,34,15,19,0,32
201,55,36,19,0,28
202,28,14,14,0,24
203,27,22,5,0,17
204,18,11,7,0,13
205,37,19,18,0,25
206,32,23,9,0,22
207,35,18,17,0,25
208,19,12,7,0,15
209,25,17,8,0,20
210,32,21,11,0,20
211,22,13,9,0,17
212,42,31,11,0,27
213,38,17,21,0,23
214,28,17,11,0,24
215,42,25,17,0,22
216,42,27,15,0,16
217,44,30,14,0,27
218,36,24,12,0,18
219,29,14,15,0,21
220,49,30,19,0,27
221,31,15,16,0,20
222,30,12,18,0,20
223,21,18,3,0,14
224,17,11,6,0,14
225,17,13,4,0,14
226,32,23,9,0,24
227,45,24,21,0,22
228,23,15,8,0,17
229,34,23,11,0,24
230,29,20,9,0,22
231,34,21,13,0,28
232,19,10,9,0,15
233,27,15,12,0,23
234,29,19,10,0,24
235,33,16,17,0,17
236,29,17,12,0,20
237,27,14,13,0,19
238,38,15,23,0,17
239,34,14,20,0,26
240,45,24,21,0,32
241,38,21,17,0,15
242,26,18,8,0,22
243,49,23,26,0,31
244,28,18,10,0,19
245,27,21,6,0,18
246,20,16,4,0,20
247,39,23,16,0,30
248,22,8,14,0,16
249,37,20,17,0,29
250,27,16,11,0,23
251,13,4,9,0,13
252,41,23,18,0,27
253,28,11,17,0,17
254,24,16,8,0,18
255,30,20,10,0,23
256,31,17,14,0,22
257,28,19,9,0,19
258,34,17,17,0,24
259,24,8,16,0,15
260,35,24,11,0,22
261,28,15,13,0,22
262,30,18,12,0,25
263,24,18,6,0,18
264,30,22,8,0,17
265,43,26,17,0,28
266,14,7,7,0,9
267,28,16,12,0,17
268,27,19,8,0,17
269,22,8,14,0,15
270,27,14,13,0,18
271,28,23,5,0,21
272,13,6,7,0,10
273,25,16,9,0,19
274,21,17,4,0,15
275,51,32,19,0,27
276,28,16,12,0,25
277,27,12,15,0,17
278,35,26,9,0,21
279,33,20,13,0,26
280,25,21,4,0,18
281,26,17,9,0,18
282,26,13,13,0,22
283,36,25,11,0,27
284,37,21,16,0,27
285,28,22,6,0,22
286,24,15,9,0,20
287,26,20,6,0,16
288,21,13,8,0,19
289,22,8,14,0,16
290,38,19,19,0,27
291,24,15,9,0,19
292,22,8,14,0,19
293,31,14,17,0,22
294,28,17,11,0,20
295,26,18,8,0,17
296,32,22,10,0,20
297,32,21,11,0,27
298,25,14,11,0,19
299,23,13,10,0,21
300,30,19,11,0,22
301,33,24,9,0,24
302,36,23,13,0,25
303,29,21,8,0,19
304,24,11,13,0,17
305,32,23,9,0,24
306,28,17,11,0,24
307,26,14,12,0,21
308,40,21,19,0,28
309,32,23,9,0,22
310,32,21,11,0,26
311,26,20,6,0,17
312,29,19,10,0,23
313,27,17,10,0,20
314,28,18,10,0,17
315,19,8,11,0,12
316,23,16,7,0,16
317,26,14,12,0,22
318,33,27,6,0,17
319,26,16,10,0,20
320,30,17,13,0,24
321,25,16,9,0,20
322,28,17,11,0,19
323,23,16,7,0,19
324,22,10,12,0,16
325,33,11,22,0,21
326,38,25,13,0,25
327,18,13,5,0,17
328,31,24,7,0,22
