arm_key,contrast_group,model_family,seed,data_role,checkpoint,predictions,split,numops,n_gold_filtered,n_pred,n_scored,correct,score_pp,pred_option0_frac,pred_not_in_options_frac
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_80M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_80M/Entity/chck_80M/full_dose_max_view_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,ambiref,0,508,508,508,147,28.937007874015748,0.28937007874015747,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_80M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_80M/Entity/chck_80M/full_dose_max_view_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,ambiref,1,428,428,428,65,15.186915887850468,0.15186915887850466,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_80M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_80M/Entity/chck_80M/full_dose_max_view_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,ambiref,2,413,413,413,104,25.181598062953995,0.25181598062953997,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_80M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_80M/Entity/chck_80M/full_dose_max_view_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,ambiref,3,409,409,409,112,27.383863080684595,0.27383863080684595,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_80M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_80M/Entity/chck_80M/full_dose_max_view_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,ambiref,4,434,434,434,162,37.327188940092164,0.37327188940092165,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_80M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_80M/Entity/chck_80M/full_dose_max_view_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,ambiref,5,123,123,123,38,30.89430894308943,0.3089430894308943,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_80M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_80M/Entity/chck_80M/full_dose_max_view_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,regular,0,517,517,517,211,40.81237911025145,0.4081237911025145,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_80M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_80M/Entity/chck_80M/full_dose_max_view_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,regular,1,409,409,409,56,13.691931540342297,0.13691931540342298,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_80M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_80M/Entity/chck_80M/full_dose_max_view_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,regular,2,405,405,405,89,21.97530864197531,0.21975308641975308,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_80M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_80M/Entity/chck_80M/full_dose_max_view_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,regular,3,425,425,425,113,26.58823529411765,0.26588235294117646,0.0
