dose_name,dose_label,dose,rho,checkpoint,view_EWoK,repeat_EWoK,V_minus_R_EWoK,both_scores_within_49_51
dose1,1x,1.0,0.042352,chck_10M,48.88,48.81,0.07000000000000028,False
dose1,1x,1.0,0.042352,chck_20M,50.73,50.78,-0.05000000000000426,True
dose1,1x,1.0,0.042352,chck_30M,48.43,50.62,-2.1899999999999977,False
dose1,1x,1.0,0.042352,chck_40M,48.23,51.92,-3.690000000000005,False
dose1,1x,1.0,0.042352,chck_50M,48.46,50.09,-1.6300000000000026,False
dose1,1x,1.0,0.042352,chck_60M,48.85,49.76,-0.9099999999999966,False
dose1,1x,1.0,0.042352,chck_70M,50.47,50.4,0.07000000000000028,True
dose1,1x,1.0,0.042352,chck_80M,51.01,49.74,1.269999999999996,False
dose1,1x,1.0,0.042352,chck_90M,50.22,51.03,-0.8100000000000023,False
dose1,1x,1.0,0.042352,chck_100M,50.39,51.25,-0.8599999999999994,False
dose1p82,1.82x,1.8209293539856442,0.07712,chck_10M,49.07,48.79,0.28000000000000114,False
dose1p82,1.82x,1.8209293539856442,0.07712,chck_20M,51.01,49.66,1.3500000000000014,False
dose1p82,1.82x,1.8209293539856442,0.07712,chck_30M,49.44,50.55,-1.1099999999999994,True
dose1p82,1.82x,1.8209293539856442,0.07712,chck_40M,48.01,49.35,-1.3400000000000034,False
dose1p82,1.82x,1.8209293539856442,0.07712,chck_50M,48.43,50.86,-2.4299999999999997,False
dose1p82,1.82x,1.8209293539856442,0.07712,chck_60M,47.89,50.71,-2.8200000000000003,False
dose1p82,1.82x,1.8209293539856442,0.07712,chck_70M,47.81,49.27,-1.4600000000000009,False
dose1p82,1.82x,1.8209293539856442,0.07712,chck_80M,48.64,50.43,-1.7899999999999991,False
dose1p82,1.82x,1.8209293539856442,0.07712,chck_90M,49.03,50.3,-1.269999999999996,True
dose1p82,1.82x,1.8209293539856442,0.07712,chck_100M,48.96,50.16,-1.1999999999999957,False
dose2p64,2.64x/MAX,2.641480921798262,0.111872,chck_10M,49.57,48.89,0.6799999999999997,False
dose2p64,2.64x/MAX,2.641480921798262,0.111872,chck_20M,50.2,50.16,0.04000000000000625,True
dose2p64,2.64x/MAX,2.641480921798262,0.111872,chck_30M,49.12,50.76,-1.6400000000000006,True
dose2p64,2.64x/MAX,2.641480921798262,0.111872,chck_40M,49.21,49.47,-0.259999999999998,True
dose2p64,2.64x/MAX,2.641480921798262,0.111872,chck_50M,50.38,50.75,-0.36999999999999744,True
dose2p64,2.64x/MAX,2.641480921798262,0.111872,chck_60M,50.47,49.63,0.8399999999999963,True
dose2p64,2.64x/MAX,2.641480921798262,0.111872,chck_70M,48.47,51.68,-3.210000000000001,False
dose2p64,2.64x/MAX,2.641480921798262,0.111872,chck_80M,49.8,50.73,-0.9299999999999997,True
dose2p64,2.64x/MAX,2.641480921798262,0.111872,chck_90M,50.45,49.98,0.47000000000000597,True
dose2p64,2.64x/MAX,2.641480921798262,0.111872,chck_100M,50.15,49.88,0.269999999999996,True
