dose_name,dose_label,dose,rho,family,window,n_checkpoints,V_minus_R_mean,median,min,max,stdev,positive_rows,negative_rows
dose1,1x,1.0,0.042352,BLiMP,common_10M_80M,8,-0.20375000000000032,-0.3200000000000003,-0.6400000000000006,0.46999999999999886,0.41661690179005334,3,5
dose1,1x,1.0,0.042352,Supplement,common_10M_80M,8,-0.5662500000000001,-0.29499999999999815,-3.1799999999999997,0.5700000000000003,1.2255370542862292,3,5
dose1,1x,1.0,0.042352,EWoK,common_10M_80M,8,-0.8825000000000012,-0.4800000000000004,-3.690000000000005,1.269999999999996,1.5717119874291765,3,5
dose1,1x,1.0,0.042352,Entity,common_10M_80M,8,0.5587499999999999,0.8399999999999981,-2.780000000000001,3.75,2.018283836049118,5,3
dose1,1x,1.0,0.042352,COMPS,common_10M_80M,8,0.28999999999999915,0.23000000000000043,-0.1600000000000037,1.25,0.43585711944561484,6,2
dose1,1x,1.0,0.042352,Reading,common_10M_80M,8,0.4287500000000003,0.42250000000000076,-0.39000000000000057,1.3000000000000007,0.47021841429580097,7,1
dose1p82,1.82x,1.8209293539856442,0.07712,BLiMP,common_10M_80M,8,0.5712499999999991,0.5700000000000003,-1.3399999999999963,1.7700000000000102,0.9652451576080108,7,1
dose1p82,1.82x,1.8209293539856442,0.07712,Supplement,common_10M_80M,8,0.22625000000000028,0.10999999999999943,-1.480000000000004,2.510000000000005,1.643853812582757,4,4
dose1p82,1.82x,1.8209293539856442,0.07712,EWoK,common_10M_80M,8,-1.165,-1.4000000000000021,-2.8200000000000003,1.3500000000000014,1.3765277227243093,2,6
dose1p82,1.82x,1.8209293539856442,0.07712,Entity,common_10M_80M,8,1.0662499999999997,1.1400000000000006,-0.35999999999999943,2.9499999999999993,1.055758867220297,7,1
dose1p82,1.82x,1.8209293539856442,0.07712,COMPS,common_10M_80M,8,0.017499999999998295,-0.129999999999999,-0.44000000000000483,0.5,0.3540681935931075,3,5
dose1p82,1.82x,1.8209293539856442,0.07712,Reading,common_10M_80M,8,0.13187499999999996,0.1475000000000004,-0.21999999999999975,0.41999999999999993,0.24829328136586493,5,3
dose2p64,2.64x/MAX,2.641480921798262,0.111872,BLiMP,common_10M_80M,8,-0.20500000000000096,-0.10000000000000142,-2.1400000000000006,0.7899999999999991,0.939224604204369,3,5
dose2p64,2.64x/MAX,2.641480921798262,0.111872,Supplement,common_10M_80M,8,1.1037500000000016,0.6950000000000038,-1.480000000000004,3.4100000000000037,1.694351435126222,6,1
dose2p64,2.64x/MAX,2.641480921798262,0.111872,EWoK,common_10M_80M,8,-0.6062499999999993,-0.3149999999999977,-3.210000000000001,0.8399999999999963,1.3251623889708226,3,5
dose2p64,2.64x/MAX,2.641480921798262,0.111872,Entity,common_10M_80M,8,2.062499999999999,2.019999999999998,-1.8100000000000023,6.5,2.673690600756084,6,2
dose2p64,2.64x/MAX,2.641480921798262,0.111872,COMPS,common_10M_80M,8,0.09250000000000025,0.00999999999999801,-0.35999999999999943,0.990000000000002,0.39514011981285185,4,4
dose2p64,2.64x/MAX,2.641480921798262,0.111872,Reading,common_10M_80M,8,-0.06687500000000024,-0.1575000000000002,-0.6750000000000007,0.8849999999999998,0.5333247302133503,4,4
