endpoint,target_words,actual_words,actual_minus_target,epoch_index_zero_based,cycle_pos,cycle_pos_m,score__cheap7,score__BLiMP,score__Supplement,score__EWoK,score__Entity,score__COMPS,score__GlobalPIQA,score__Reading
chck_70M,70000000,70030355,30355,7,30355,0.030355,42.67,67.55,60.43,48.55,27.37,52.07,34.68,8.040000000000001
chck_72M,72000000,72008559,8559,7,2008559,2.008559,42.93857142857143,67.32,60.96,48.6,26.82,52.2,36.635,8.035
chck_74M,74000000,74022554,22554,7,4022554,4.022554,43.45,67.84,62.05,50.14,27.38,52.19,36.605000000000004,7.945
chck_76M,76000000,76001011,1011,7,6001011,6.001011,43.581428571428575,68.29,64.06,49.12,26.37,51.95,37.12,8.16
chck_78M,78000000,78016835,16835,7,8016835,8.016835,43.70214285714286,68.02,62.78,49.04,27.75,52.34,37.605000000000004,8.379999999999999
chck_80M,80000000,80034368,34368,8,34368,0.034368,43.81214285714286,68.11,62.62,49.24,28.2,52.11,38.105000000000004,8.3
chck_82M,82000000,82012495,12495,8,2012495,2.012495,43.95857142857143,68.48,62.94,50.06,28.31,52.19,37.58,8.15
chck_84M,84000000,84028405,28405,8,4028405,4.028405,44.12357142857143,68.25,63.48,50.07,28.58,52.21,38.12,8.155
chck_86M,86000000,86006729,6729,8,6006729,6.006729,43.770714285714284,68.47,62.68,50.14,28.58,52.29,36.135,8.1
chck_88M,88000000,88024001,24001,8,8024001,8.024001,43.71071428571428,68.49,62.83,49.4,29.14,52.24,35.635,8.24
chck_90M,90000000,90038971,38971,9,38971,0.038971,43.27214285714286,68.59,62.89,49.09,28.17,52.24,33.65,8.275
chck_92M,92000000,92016408,16408,9,2016408,2.016408,43.36714285714286,68.65,62.85,48.99,27.8,52.32,34.635,8.325
chck_94M,94000000,94032381,32381,9,4032381,4.032381,,,,,,,,
chck_96M,96000000,96011251,11251,9,6011251,6.011251,,,,,,,,
chck_98M,98000000,98026141,26141,9,8026141,8.026141,,,,,,,,
chck_100M,100000000,100000000,0,10,0,0.0,43.542142857142856,68.63,62.9,49.08,27.46,52.3,36.105000000000004,8.32
