binary_delta,checkpoint,domain,dose_name,family,interaction_delta_view_minus_repeat,margin_delta_view_minus_repeat,numops,repeat_correct,repeat_interaction,repeat_margin,split,uid,view_correct,view_interaction,view_margin,words
1,chck_10M,agent-properties,dose1,EWoK,-0.057726383209228516,0.21789878606796265,,False,0.05813121795654297,-0.10222691297531128,,agent-properties_1406,True,0.0004048347473144531,0.11567187309265137,10000000
1,chck_10M,agent-properties,dose1,EWoK,-0.14114117622375488,0.2004363238811493,,False,0.11643369495868683,-0.13551628589630127,,agent-properties_1821,True,-0.024707481265068054,0.06492003798484802,10000000
0,chck_10M,agent-properties,dose1,EWoK,-0.32651209831237793,0.06066274642944336,,False,0.1756908893585205,-0.07021236419677734,,agent-properties_421,False,-0.15082120895385742,-0.009549617767333984,10000000
0,chck_10M,agent-properties,dose1,EWoK,-0.050463587045669556,0.07855939865112305,,True,0.18783918023109436,0.15060651302337646,,agent-properties_809,True,0.1373755931854248,0.2291659116744995,10000000
0,chck_10M,agent-properties,dose1,EWoK,0.7956322282552719,0.4997134804725647,,True,0.8924030512571335,0.7046923935413361,,agent-properties_89,True,1.6880352795124054,1.2044058740139008,10000000
0,chck_10M,material-dynamics,dose1,EWoK,0.17835164070129395,0.06931567192077637,,True,-0.326235294342041,0.08852767944335938,,material-dynamics_10,True,-0.14788365364074707,0.15784335136413574,10000000
0,chck_10M,material-dynamics,dose1,EWoK,-0.5694477558135986,-0.3361470699310303,,False,-0.38278698921203613,-1.2943692207336426,,material-dynamics_37,False,-0.9522347450256348,-1.6305162906646729,10000000
0,chck_10M,material-dynamics,dose1,EWoK,-0.777475118637085,-1.3219053745269775,,True,0.7386353015899658,1.4070580005645752,,material-dynamics_480,True,-0.03883981704711914,0.08515262603759766,10000000
0,chck_10M,material-dynamics,dose1,EWoK,0.02968287467956543,1.0703208446502686,,False,-0.8597888946533203,-2.256683826446533,,material-dynamics_567,False,-0.8301060199737549,-1.1863629817962646,10000000
0,chck_10M,material-dynamics,dose1,EWoK,0.07662677764892578,0.05127573013305664,,True,-0.021379947662353516,0.03484010696411133,,material-dynamics_643,True,0.055246829986572266,0.08611583709716797,10000000
1,chck_10M,material-properties,dose1,EWoK,-0.05231189727783203,0.1233663260936737,,False,-0.007949292659759521,-0.006351500749588013,,material-properties_0,True,-0.06026118993759155,0.1170148253440857,10000000
0,chck_10M,material-properties,dose1,EWoK,-0.2901294529438019,0.043853312730789185,,True,0.3015197813510895,0.4063050150871277,,material-properties_145,True,0.011390328407287598,0.45015832781791687,10000000
0,chck_10M,material-properties,dose1,EWoK,-0.416253000497818,-0.1832868456840515,,False,0.015253126621246338,-0.257245808839798,,material-properties_149,False,-0.40099987387657166,-0.4405326545238495,10000000
1,chck_10M,material-properties,dose1,EWoK,0.016133427619934082,0.06786927580833435,,False,0.010769158601760864,-0.026478946208953857,,material-properties_156,True,0.026902586221694946,0.04139032959938049,10000000
0,chck_10M,material-properties,dose1,EWoK,-0.01897314190864563,-0.021552681922912598,,False,-0.03558969497680664,-0.02355647087097168,,material-properties_59,False,-0.05456283688545227,-0.04510915279388428,10000000
1,chck_10M,physical-dynamics,dose1,EWoK,1.6527763158082962,0.1642860472202301,,False,-1.151730939745903,-0.13713130354881287,,physical-dynamics_103,True,0.5010453760623932,0.027154743671417236,10000000
0,chck_10M,physical-dynamics,dose1,EWoK,0.09244245290756226,-0.13711732625961304,,False,-0.10830062627792358,-0.027656376361846924,,physical-dynamics_16,False,-0.015858173370361328,-0.16477370262145996,10000000
0,chck_10M,physical-dynamics,dose1,EWoK,-2.016903907060623,-0.3844558894634247,,False,-0.03358212113380432,-0.4860421121120453,,physical-dynamics_4,False,-2.0504860281944275,-0.87049800157547,10000000
