domain,line_idx,ConceptA,ConceptB,ContextType,ContextDiff,TargetDiff,PLL_0,PLL_1,margin,is_correct
agent-properties,0,believe,doubt,direct,antonym,concept swap,-9.247991,-9.003489,-0.244502,0
agent-properties,1,believe,doubt,direct,antonym,concept swap,-25.876179,-25.476065,-0.400114,0
agent-properties,2,believe,doubt,direct,antonym,concept swap,-9.752118,-11.102672,1.350554,1
agent-properties,3,believe,doubt,direct,antonym,concept swap,-21.036684,-18.894209,-2.142475,0
agent-properties,4,believe,doubt,direct,antonym,concept swap,-9.09357,-10.313492,1.219922,1
agent-properties,5,believe,doubt,direct,antonym,concept swap,-23.569014,-21.851265,-1.717749,0
agent-properties,6,believe,doubt,direct,antonym,concept swap,-8.657122,-9.575889,0.918767,1
agent-properties,7,believe,doubt,direct,antonym,concept swap,-24.85762,-23.073511,-1.784109,0
agent-properties,8,believe,doubt,direct,antonym,concept swap,-7.777097,-8.307089,0.529992,1
agent-properties,9,believe,doubt,direct,antonym,concept swap,-24.899363,-23.921003,-0.978359,0
agent-properties,10,believe,doubt,indirect,antonym,concept swap,-17.066427,-18.910025,1.843597,1
agent-properties,11,believe,doubt,indirect,antonym,concept swap,-32.034103,-30.365927,-1.668177,0
agent-properties,12,believe,doubt,indirect,antonym,concept swap,-21.066187,-23.333681,2.267494,1
agent-properties,13,believe,doubt,indirect,antonym,concept swap,-36.207348,-34.358673,-1.848675,0
agent-properties,14,believe,doubt,indirect,antonym,concept swap,-17.0952,-19.728596,2.633396,1
agent-properties,15,believe,doubt,indirect,antonym,concept swap,-33.333778,-30.005407,-3.328371,0
agent-properties,16,believe,doubt,indirect,antonym,concept swap,-18.761129,-18.640539,-0.12059,0
agent-properties,17,believe,doubt,indirect,antonym,concept swap,-31.284458,-29.517298,-1.76716,0
agent-properties,18,believe,doubt,indirect,antonym,concept swap,-20.102982,-21.866873,1.763891,1
agent-properties,19,believe,doubt,indirect,antonym,concept swap,-36.027321,-34.800362,-1.226959,0
agent-properties,20,believe,doubt,indirect,antonym,concept swap,-15.810554,-13.39136,-2.419193,0
agent-properties,21,believe,doubt,indirect,antonym,concept swap,-27.747984,-29.722839,1.974855,1
agent-properties,22,believe,doubt,indirect,antonym,concept swap,-14.502833,-16.320976,1.818143,1
agent-properties,23,believe,doubt,indirect,antonym,concept swap,-30.902081,-28.93203,-1.970051,0
agent-properties,24,believe,doubt,indirect,antonym,concept swap,-17.169863,-18.667839,1.497976,1
agent-properties,25,believe,doubt,indirect,antonym,concept swap,-26.202711,-25.072742,-1.129969,0
agent-properties,26,believe,doubt,indirect,antonym,concept swap,-13.486784,-15.725147,2.238363,1
agent-properties,27,believe,doubt,indirect,antonym,concept swap,-24.76133,-22.294147,-2.467182,0
agent-properties,28,believe,doubt,indirect,antonym,concept swap,-33.063698,-25.310499,-7.753199,0
agent-properties,29,believe,doubt,indirect,antonym,concept swap,-37.895462,-38.245857,0.350395,1
agent-properties,30,believe,doubt,indirect,antonym,concept swap,-16.841072,-18.32741,1.486338,1
agent-properties,31,believe,doubt,indirect,antonym,concept swap,-27.633133,-26.628313,-1.00482,0
agent-properties,32,believe,doubt,indirect,antonym,concept swap,-14.183643,-12.796316,-1.387327,0
agent-properties,33,believe,doubt,indirect,antonym,concept swap,-23.006756,-23.854685,0.847929,1
agent-properties,34,believe,doubt,indirect,antonym,concept swap,-17.075928,-18.96401,1.888083,1
agent-properties,35,believe,doubt,indirect,antonym,concept swap,-28.391018,-26.92474,-1.466278,0
agent-properties,36,believe,doubt,indirect,antonym,concept swap,-18.524813,-20.087667,1.562855,1
agent-properties,37,believe,doubt,indirect,antonym,concept swap,-32.470493,-30.433365,-2.037128,0
agent-properties,38,believe,doubt,indirect,antonym,concept swap,-20.045815,-18.499645,-1.546169,0
agent-properties,39,believe,doubt,indirect,antonym,concept swap,-31.363785,-32.061058,0.697273,1
agent-properties,40,believe,doubt,indirect,antonym,concept swap,-16.186213,-17.737617,1.551405,1
agent-properties,41,believe,doubt,indirect,antonym,concept swap,-27.822344,-26.548906,-1.273438,0
agent-properties,42,believe,doubt,indirect,antonym,concept swap,-15.593369,-13.709661,-1.883707,0
agent-properties,43,believe,doubt,indirect,antonym,concept swap,-24.279469,-25.920843,1.641375,1
agent-properties,44,believe,doubt,indirect,antonym,concept swap,-15.640839,-17.521328,1.880489,1
agent-properties,45,believe,doubt,indirect,antonym,concept swap,-26.127996,-24.53392,-1.594076,0
agent-properties,46,believe,doubt,indirect,antonym,concept swap,-15.456098,-16.780886,1.324788,1
agent-properties,47,believe,doubt,indirect,antonym,concept swap,-27.781906,-25.835003,-1.946903,0
agent-properties,48,believe,doubt,indirect,antonym,concept swap,-23.42547,-20.699703,-2.725767,0
agent-properties,49,believe,doubt,indirect,antonym,concept swap,-32.754211,-31.946663,-0.807549,0
agent-properties,50,believe,doubt,indirect,antonym,concept swap,-14.699079,-16.283142,1.584064,1
agent-properties,51,believe,doubt,indirect,antonym,concept swap,-26.037413,-24.775196,-1.262217,0
agent-properties,52,believe,doubt,indirect,antonym,concept swap,-12.107424,-9.90017,-2.207253,0
agent-properties,53,believe,doubt,indirect,antonym,concept swap,-21.398552,-23.09885,1.700298,1
agent-properties,54,believe,doubt,indirect,antonym,concept swap,-19.71726,-21.346016,1.628756,1
