domain,line_idx,ConceptA,ConceptB,ContextType,ContextDiff,TargetDiff,PLL_0,PLL_1,margin,is_correct
agent-properties,0,believe,doubt,direct,antonym,concept swap,-12.230256,-11.498083,-0.732173,0
agent-properties,1,believe,doubt,direct,antonym,concept swap,-25.790699,-26.369278,0.578579,1
agent-properties,2,believe,doubt,direct,antonym,concept swap,-10.879329,-10.997296,0.117968,1
agent-properties,3,believe,doubt,direct,antonym,concept swap,-23.425192,-23.064369,-0.360823,0
agent-properties,4,believe,doubt,direct,antonym,concept swap,-10.844454,-11.038134,0.19368,1
agent-properties,5,believe,doubt,direct,antonym,concept swap,-23.751421,-23.863434,0.112013,1
agent-properties,6,believe,doubt,direct,antonym,concept swap,-10.956247,-10.264372,-0.691875,0
agent-properties,7,believe,doubt,direct,antonym,concept swap,-24.71504,-25.177269,0.462229,1
agent-properties,8,believe,doubt,direct,antonym,concept swap,-16.031555,-15.006761,-1.024795,0
agent-properties,9,believe,doubt,direct,antonym,concept swap,-29.56823,-30.292263,0.724033,1
agent-properties,10,believe,doubt,indirect,antonym,concept swap,-21.781425,-24.655186,2.87376,1
agent-properties,11,believe,doubt,indirect,antonym,concept swap,-35.910793,-32.731312,-3.179482,0
agent-properties,12,believe,doubt,indirect,antonym,concept swap,-21.397892,-23.77825,2.380358,1
agent-properties,13,believe,doubt,indirect,antonym,concept swap,-34.773197,-32.12096,-2.652237,0
agent-properties,14,believe,doubt,indirect,antonym,concept swap,-21.748068,-21.616169,-0.131899,0
agent-properties,15,believe,doubt,indirect,antonym,concept swap,-32.309826,-31.849857,-0.459969,0
agent-properties,16,believe,doubt,indirect,antonym,concept swap,-26.355154,-25.274162,-1.080992,0
agent-properties,17,believe,doubt,indirect,antonym,concept swap,-36.421318,-38.313358,1.89204,1
agent-properties,18,believe,doubt,indirect,antonym,concept swap,-20.421667,-23.116291,2.694624,1
agent-properties,19,believe,doubt,indirect,antonym,concept swap,-32.301132,-29.671576,-2.629557,0
agent-properties,20,believe,doubt,indirect,antonym,concept swap,-21.771542,-19.504322,-2.26722,0
agent-properties,21,believe,doubt,indirect,antonym,concept swap,-32.734165,-34.845303,2.111137,1
agent-properties,22,believe,doubt,indirect,antonym,concept swap,-21.538345,-23.301546,1.763201,1
agent-properties,23,believe,doubt,indirect,antonym,concept swap,-32.922848,-30.638399,-2.284449,0
agent-properties,24,believe,doubt,indirect,antonym,concept swap,-19.702244,-21.644753,1.942509,1
agent-properties,25,believe,doubt,indirect,antonym,concept swap,-31.023994,-28.894722,-2.129272,0
agent-properties,26,believe,doubt,indirect,antonym,concept swap,-19.468328,-19.894165,0.425837,1
agent-properties,27,believe,doubt,indirect,antonym,concept swap,-28.927214,-28.650581,-0.276632,0
agent-properties,28,believe,doubt,indirect,antonym,concept swap,-16.591372,-16.98147,0.390099,1
agent-properties,29,believe,doubt,indirect,antonym,concept swap,-26.548458,-27.138929,0.590471,1
agent-properties,30,believe,doubt,indirect,antonym,concept swap,-19.645906,-21.574814,1.928907,1
agent-properties,31,believe,doubt,indirect,antonym,concept swap,-28.836834,-26.945343,-1.891491,0
agent-properties,32,believe,doubt,indirect,antonym,concept swap,-20.229052,-17.745243,-2.483809,0
agent-properties,33,believe,doubt,indirect,antonym,concept swap,-29.882023,-32.232655,2.350632,1
agent-properties,34,believe,doubt,indirect,antonym,concept swap,-19.429115,-21.684387,2.255272,1
agent-properties,35,believe,doubt,indirect,antonym,concept swap,-35.212593,-32.402504,-2.810089,0
agent-properties,36,believe,doubt,indirect,antonym,concept swap,-22.143801,-21.985043,-0.158758,0
agent-properties,37,believe,doubt,indirect,antonym,concept swap,-35.571976,-35.643585,0.071609,1
agent-properties,38,believe,doubt,indirect,antonym,concept swap,-22.898193,-21.644623,-1.253571,0
agent-properties,39,believe,doubt,indirect,antonym,concept swap,-34.92963,-35.806534,0.876904,1
agent-properties,40,believe,doubt,indirect,antonym,concept swap,-20.214182,-22.512112,2.29793,1
agent-properties,41,believe,doubt,indirect,antonym,concept swap,-33.550552,-30.698439,-2.852114,0
agent-properties,42,believe,doubt,indirect,antonym,concept swap,-20.13065,-17.189718,-2.940931,0
