contrast,arm_a,arm_b,checkpoint,words,quantity,delta,score_a,score_b
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_10M,10000000,BLiMP,-0.12999999999999545,56.09,56.22
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_10M,10000000,Supplement,-1.480000000000004,52.04,53.52
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_10M,10000000,EWoK,0.6799999999999997,49.57,48.89
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_10M,10000000,Entity,-0.9699999999999989,17.42,18.39
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_10M,10000000,COMPS,-0.0899999999999963,50.14,50.23
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_10M,10000000,Reading,-0.48499999999999943,8.125,8.61
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_10M,10000000,cheap6_no_GlobalPIQA,-0.4125000000000014,38.8975,39.31
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_10M,10000000,cheap5_no_GlobalPIQA_Reading,-0.39800000000000324,45.052,45.45
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_10M,10000000,exEntity5,-0.30100000000000193,43.193,43.494
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_10M,10000000,exEntity4_noReading,-0.25500000000000256,51.96,52.215
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_10M,10000000,EWoK_plus_Entity_sum,-0.14499999999999602,33.495000000000005,33.64
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_20M,20000000,BLiMP,-0.8799999999999955,59.99,60.87
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_20M,20000000,Supplement,0.0,57.9,57.9
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_20M,20000000,EWoK,0.04000000000000625,50.2,50.16
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_20M,20000000,Entity,-1.8100000000000023,17.99,19.8
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_20M,20000000,COMPS,-0.35999999999999943,50.27,50.63
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_20M,20000000,Reading,-0.6750000000000007,8.305,8.98
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_20M,20000000,cheap6_no_GlobalPIQA,-0.6141666666666694,40.77583333333333,41.39
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_20M,20000000,cheap5_no_GlobalPIQA_Reading,-0.6019999999999968,47.27,47.872
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_20M,20000000,exEntity5,-0.375,45.333,45.708
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_20M,20000000,exEntity4_noReading,-0.29999999999999716,54.59,54.89
