contrast,arm_a,arm_b,checkpoint,words,quantity,missing_a,missing_b
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_10M,10000000,Entity,False,True
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_10M,10000000,cheap6_no_GlobalPIQA,False,True
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_10M,10000000,cheap5_no_GlobalPIQA_Reading,False,True
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_10M,10000000,EWoK_plus_Entity_sum,False,True
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_20M,20000000,Entity,False,True
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_20M,20000000,cheap6_no_GlobalPIQA,False,True
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_20M,20000000,cheap5_no_GlobalPIQA_Reading,False,True
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_20M,20000000,EWoK_plus_Entity_sum,False,True
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_30M,30000000,Entity,False,True
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_30M,30000000,cheap6_no_GlobalPIQA,False,True
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_30M,30000000,cheap5_no_GlobalPIQA_Reading,False,True
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_30M,30000000,EWoK_plus_Entity_sum,False,True
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_40M,40000000,Entity,False,True
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_40M,40000000,cheap6_no_GlobalPIQA,False,True
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_40M,40000000,cheap5_no_GlobalPIQA_Reading,False,True
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_40M,40000000,EWoK_plus_Entity_sum,False,True
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_50M,50000000,Entity,False,True
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_50M,50000000,cheap6_no_GlobalPIQA,False,True
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_50M,50000000,cheap5_no_GlobalPIQA_Reading,False,True
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_50M,50000000,EWoK_plus_Entity_sum,False,True
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_60M,60000000,Entity,False,True
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_60M,60000000,cheap6_no_GlobalPIQA,False,True
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_60M,60000000,cheap5_no_GlobalPIQA_Reading,False,True
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_60M,60000000,EWoK_plus_Entity_sum,False,True
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_70M,70000000,Entity,False,True
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_70M,70000000,cheap6_no_GlobalPIQA,False,True
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_70M,70000000,cheap5_no_GlobalPIQA_Reading,False,True
