arm,architecture,seed,role,checkpoint,words,family,score,payload,description
deberta_basin1_view,deberta,43022,V,chck_10M,10000000,BLiMP,56.09,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_10M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_10M,10000000,Supplement,52.04,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_10M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_10M,10000000,EWoK,49.57,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_10M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_10M,10000000,Entity,17.42,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_10M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_10M,10000000,COMPS,50.14,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_10M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_10M,10000000,Reading,8.125,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_10M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_20M,20000000,BLiMP,59.99,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_20M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_20M,20000000,Supplement,57.9,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_20M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_20M,20000000,EWoK,50.2,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_20M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_20M,20000000,Entity,17.99,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_20M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_20M,20000000,COMPS,50.27,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_20M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_20M,20000000,Reading,8.305,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_20M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_30M,30000000,BLiMP,60.3,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_30M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_30M,30000000,Supplement,55.09,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_30M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_30M,30000000,EWoK,49.12,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_30M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_30M,30000000,Entity,24.82,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_30M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_30M,30000000,COMPS,50.3,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_30M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_30M,30000000,Reading,9.165000000000001,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_30M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_40M,40000000,BLiMP,63.29,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_40M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_40M,40000000,Supplement,59.64,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_40M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_40M,40000000,EWoK,49.21,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_40M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_40M,40000000,Entity,27.58,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_40M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_40M,40000000,COMPS,51.11,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_40M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_40M,40000000,Reading,7.795,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_40M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_50M,50000000,BLiMP,64.99,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_50M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_50M,50000000,Supplement,61.24,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_50M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_50M,50000000,EWoK,50.38,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_50M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_50M,50000000,Entity,28.04,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_50M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_50M,50000000,COMPS,51.03,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_50M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_50M,50000000,Reading,8.309999999999999,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_50M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_60M,60000000,BLiMP,65.65,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_60M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_60M,60000000,Supplement,60.59,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_60M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_60M,60000000,EWoK,50.47,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_60M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_60M,60000000,Entity,28.17,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_60M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_60M,60000000,COMPS,51.53,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_60M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_60M,60000000,Reading,7.635,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_60M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_70M,70000000,BLiMP,66.02,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_70M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_70M,70000000,Supplement,58.78,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_70M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_70M,70000000,EWoK,48.47,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_70M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_70M,70000000,Entity,27.72,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_70M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_70M,70000000,COMPS,51.18,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_70M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_70M,70000000,Reading,7.455,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_70M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_80M,80000000,BLiMP,66.3,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_80M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_80M,80000000,Supplement,60.37,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_80M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_80M,80000000,EWoK,49.8,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_80M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_80M,80000000,Entity,27.98,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_80M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_80M,80000000,COMPS,50.93,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_80M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_80M,80000000,Reading,7.6499999999999995,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_80M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_90M,90000000,BLiMP,66.86,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_90M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_90M,90000000,Supplement,59.54,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_90M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_90M,90000000,EWoK,50.45,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_90M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_90M,90000000,Entity,28.19,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_90M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_90M,90000000,COMPS,50.94,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_90M.json,first-basin MAX compact re-expression arm
deberta_basin1_view,deberta,43022,V,chck_90M,90000000,Reading,7.665000000000001,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_90M.json,first-basin MAX compact re-expression arm
