arm,group,rho,checkpoint,BLiMP,Supplement,EWoK,Entity,COMPS,Reading,cheap6,exEntity5
clean_maxgeom,reference,0.0,chck_10M,56.0,51.55,49.76,17.47,49.93,7.945,38.7758,43.037
clean_maxgeom,reference,0.0,chck_20M,58.91,56.74,48.97,18.72,50.14,8.07,40.2583,44.566
clean_maxgeom,reference,0.0,chck_30M,60.98,57.73,48.6,22.02,50.73,8.125,41.3642,45.233
clean_maxgeom,reference,0.0,chck_40M,60.56,57.29,48.33,25.49,50.91,7.755,41.7225,44.969
clean_maxgeom,reference,0.0,chck_50M,63.37,58.29,49.73,23.2,51.56,8.475,42.4375,46.285
clean_maxgeom,reference,0.0,chck_60M,64.54,57.31,50.01,24.93,50.82,7.57,42.53,46.05
clean_maxgeom,reference,0.0,chck_70M,66.31,58.69,49.63,24.44,51.35,7.5,42.9867,46.696
clean_maxgeom,reference,0.0,chck_80M,66.33,58.07,49.31,24.05,51.42,7.13,42.7183,46.452
max_repeat,dose,0.1119,chck_10M,56.22,53.52,48.89,18.39,50.23,8.61,39.31,43.494
max_repeat,dose,0.1119,chck_20M,60.87,57.9,50.16,19.8,50.63,8.98,41.39,45.708
max_repeat,dose,0.1119,chck_30M,62.44,54.98,50.76,23.01,50.38,8.28,41.6417,45.368
max_repeat,dose,0.1119,chck_40M,62.5,56.78,49.47,25.64,50.12,7.735,42.0408,45.321
max_repeat,dose,0.1119,chck_50M,64.34,57.83,50.75,25.61,50.9,7.985,42.9025,46.361
max_repeat,dose,0.1119,chck_60M,65.73,59.44,49.63,21.67,51.56,7.405,42.5725,46.753
max_repeat,dose,0.1119,chck_70M,66.14,58.54,51.68,25.62,51.13,7.955,43.5108,47.089
max_repeat,dose,0.1119,chck_80M,66.03,57.83,50.73,23.48,50.8,8.025,42.8158,46.683
max_view,dose,0.1119,chck_10M,56.09,52.04,49.57,17.42,50.14,8.125,38.8975,43.193
max_view,dose,0.1119,chck_20M,59.99,57.9,50.2,17.99,50.27,8.305,40.7758,45.333
max_view,dose,0.1119,chck_30M,60.3,55.09,49.12,24.82,50.3,9.165,41.4658,44.795
max_view,dose,0.1119,chck_40M,63.29,59.64,49.21,27.58,51.11,7.795,43.1042,46.209
max_view,dose,0.1119,chck_50M,64.99,61.24,50.38,28.04,51.03,8.31,43.9983,47.19
max_view,dose,0.1119,chck_60M,65.65,60.59,50.47,28.17,51.53,7.635,44.0075,47.175
max_view,dose,0.1119,chck_70M,66.02,58.78,48.47,27.72,51.18,7.455,43.2708,46.381
max_view,dose,0.1119,chck_80M,66.3,60.37,49.8,27.98,50.93,7.65,43.8383,47.01
