arm,group,rho,checkpoint,BLiMP,Supplement,EWoK,Entity,COMPS,Reading,cheap6,exEntity5
max_view,dose,0.1119,chck_10M,0.09,0.49,-0.19,-0.05,0.21,0.18,0.1217,0.156
max_view,dose,0.1119,chck_20M,1.08,1.16,1.23,-0.73,0.13,0.235,0.5175,0.767
max_view,dose,0.1119,chck_30M,-0.68,-2.64,0.52,2.8,-0.43,1.04,0.1017,-0.438
max_view,dose,0.1119,chck_40M,2.73,2.35,0.88,2.09,0.2,0.04,1.3817,1.24
max_view,dose,0.1119,chck_50M,1.62,2.95,0.65,4.84,-0.53,-0.165,1.5608,0.905
max_view,dose,0.1119,chck_60M,1.11,3.28,0.46,3.24,0.71,0.065,1.4775,1.125
max_view,dose,0.1119,chck_70M,-0.29,0.09,-1.16,3.28,-0.17,-0.045,0.2842,-0.315
max_view,dose,0.1119,chck_80M,-0.03,2.3,0.49,3.93,-0.49,0.52,1.12,0.558
max_repeat,dose,0.1119,chck_10M,0.22,1.97,-0.87,0.92,0.3,0.665,0.5342,0.457
max_repeat,dose,0.1119,chck_20M,1.96,1.16,1.19,1.08,0.49,0.91,1.1317,1.142
max_repeat,dose,0.1119,chck_30M,1.46,-2.75,2.16,0.99,-0.35,0.155,0.2775,0.135
max_repeat,dose,0.1119,chck_40M,1.94,-0.51,1.14,0.15,-0.79,-0.02,0.3183,0.352
max_repeat,dose,0.1119,chck_50M,0.97,-0.46,1.02,2.41,-0.66,-0.49,0.465,0.076
max_repeat,dose,0.1119,chck_60M,1.19,2.13,-0.38,-3.26,0.74,-0.165,0.0425,0.703
max_repeat,dose,0.1119,chck_70M,-0.17,-0.15,2.05,1.18,-0.22,0.455,0.5242,0.393
max_repeat,dose,0.1119,chck_80M,-0.3,-0.24,1.42,-0.57,-0.62,0.895,0.0975,0.231
