endpoint,words_M,BLiMP,Supplement,EWoK,Entity,COMPS,GlobalPIQA,Reading,cheap6_no_GlobalPIQA,cheap5_no_GlobalPIQA_Reading,relation_state_mean,syntax_comp_mean,volatile_mean,cheap7
chck_70M,70,65.21779044790891,59.73190168055373,49.16536296543151,25.77842373780319,52.06537127737254,37.592233009708735,7.915,43.31230835151165,50.391770021813976,37.471893351617354,59.00502113527839,22.753616504854367,42.49515473125409
chck_72M,72,65.32331717127373,60.67231147840241,48.78025011419416,26.34889121011358,52.018110853712294,37.5631067961165,7.725,43.477980137949366,50.628576165539236,37.56457066215387,59.33791316779614,22.64405339805825,42.63299823197324
chck_74M,74,65.3941488060995,61.13881027329177,50.2443550531018,25.666729171979043,51.836669483351805,35.592233009708735,7.82,43.68345213130399,50.85614255756478,37.95554211254042,59.45654285424769,21.706116504854368,42.527563685361805
chck_76M,76,65.52358948450166,60.890193459014526,49.43560097988016,25.824341280214934,52.020329547493816,37.07766990291262,7.96,43.60900912518418,50.738810950221016,37.629971130047544,59.478037497003335,22.51883495145631,42.675960664859666
chck_78M,78,65.99081795081023,61.18379172864688,50.6686792148141,26.414426133434556,52.07290013439345,38.03398058252427,8.005,44.05593586034987,51.26612303241984,38.541552674124326,59.74916993795019,23.019490291262137,43.19565653494622
chck_80M,80,65.69341966912313,60.70629882388903,50.22898076930683,26.737431853440924,51.70754652256067,39.01941747572816,8.08,43.85894627305343,51.014735527664115,38.48320631137388,59.36908833852428,23.54970873786408,43.167585016292676
chck_82M,82,66.23940044766775,60.78453767028858,49.522329128845904,27.5176619353172,52.04059036973718,39.03398058252427,8.185,44.04825325864277,51.22090391037132,38.51999553208155,59.6881761625645,23.609490291262137,43.33192859062584
chck_84M,84,65.95284390237615,61.21691134217578,50.07857031907269,27.252391459736394,51.95123908476168,40.01941747572816,8.035,44.08115935135378,51.29039122162453,38.66548088940454,59.7069981097712,24.02720873786408,43.500910511978695
chck_86M,86,66.34467436411703,61.15665293295948,49.23162867852014,27.72480466435643,52.225690134531135,40.01941747572816,8.065,44.12474179574736,51.336690154896836,38.47821667143828,59.90900581053588,24.04220873786408,43.53826689288748
chck_88M,88,66.4784863159395,60.92398931070121,48.863165412320406,27.60957375083635,52.35767018133898,38.5631067961165,8.085,44.05298082852274,51.24657699422729,38.23636958157838,59.920048602659904,23.32405339805825,43.26871310960757
chck_90M,90,66.46921794087437,61.40355638677532,49.16266534337769,27.309028020824844,52.26667383672887,38.51941747572816,8.095,44.11769025476352,51.322228305716216,38.23584668210127,60.04648272145952,23.30720873786408,43.31793700061561
chck_92M,92,66.42969995336144,60.9872973758473,49.31969512516105,26.849608236493392,52.32336268799973,38.51941747572816,8.165000000000001,44.01244389647715,51.181932675772586,38.08465168082722,59.91345333906949,23.34220873786408,43.227725836370155
chck_94M,94,66.31850274882797,61.30884267981825,49.22292295541909,26.751031281339905,52.35120822840773,38.51941747572816,8.235,44.031251315635494,51.190501578762586,37.9869771183795,59.99285121901798,23.37720873786408,43.24384648136301
chck_96M,96,66.35940902499033,61.69429480609305,49.10754807243671,26.928827856168034,52.34193382003412,37.53398058252427,8.23,44.11033559662037,51.28640271594445,38.01818796430237,60.13187921703917,22.881990291262134,43.17085630889236
chck_98M,98,66.35385407802757,61.662135107587005,48.91065441169592,26.958311463926368,52.30493886603103,39.01941747572816,8.219999999999999,44.06831565454465,51.237978785453585,37.93448293781115,60.1069760172152,23.61970873786408,43.347044486142295
chck_100M,100,66.35131537229014,61.6569631396532,48.89565286117108,26.97192654169619,52.322650640731695,39.01941747572816,8.225,44.07058475925705,51.23970171110847,37.93378970143364,60.110309717558344,23.62220873786408,43.34898943303864
