pair_id,key,source_words,view_words,ratio_view_to_source,compact_source_content_coverage,repeat_source_content_coverage,compact_minus_repeat_content_coverage,compact_tail_content_coverage,compact_has_tail_content_recovery,compact_content_fraction,repeat_content_fraction,compact_source_absent_content_words,compact_source_absent_content_fraction_of_view,compact_source_absent_content_fraction_of_content,compact_copied_content_words,compact_tail_only_content_words,compact_tail_any_content_words,compact_tail_only_content_fraction_of_content,compact_content_jaccard_source,repeat_content_jaccard_source,compact_vs_repeat_content_jaccard,compact_minus_repeat_active_tokens,compact_minus_repeat_word_groups,compact_minus_repeat_truncated
compact:frontier_consolidation_fwcompact_medium_046028,sid:46028|doc:4526,24,15,0.625,0.7333333333333333,0.6666666666666666,0.06666666666666667,0.6,True,0.6,0.6666666666666666,1,0.06666666666666667,0.1111111111111111,8,1,3,0.1111111111111111,0.6153846153846154,0.75,0.6363636363636364,0,0,0
compact:frontier_consolidation_fwcompact_medium_030624,sid:30624|doc:10861,24,15,0.625,0.8181818181818182,0.6363636363636364,0.18181818181818182,0.75,True,0.6,0.4666666666666667,0,0.0,0.0,9,3,3,0.3333333333333333,0.8,0.6,0.5555555555555556,2,0,0
compact:frontier_consolidation_fwcompact_medium_035003,sid:35003|doc:4709,36,21,0.5833333333333334,0.6428571428571429,0.6428571428571429,0.0,0.4,True,0.42857142857142855,0.42857142857142855,0,0.0,0.0,9,2,2,0.2222222222222222,0.6428571428571429,0.6428571428571429,0.6363636363636364,0,0,0
compact:frontier_consolidation_fwcompact_medium_031347,sid:31347|doc:14654,19,10,0.5263157894736842,0.4444444444444444,0.6666666666666666,-0.2222222222222222,1.0,True,0.4,0.6,0,0.0,0.0,4,3,3,0.75,0.4444444444444444,0.6666666666666666,0.1111111111111111,4,0,0
compact:frontier_consolidation_fwcompact_medium_015071,sid:15071|doc:11237,23,11,0.4782608695652174,0.45454545454545453,0.45454545454545453,0.0,0.5,True,0.6363636363636364,0.45454545454545453,2,0.18181818181818182,0.2857142857142857,5,3,3,0.42857142857142855,0.38461538461538464,0.45454545454545453,0.2,5,0,0
compact:frontier_consolidation_fwcompact_medium_056778,sid:56778|doc:7516,21,13,0.6190476190476191,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,True,0.5384615384615384,0.46153846153846156,1,0.07692307692307693,0.14285714285714285,6,1,1,0.14285714285714285,0.6,0.6666666666666666,0.625,2,0,0
compact:frontier_consolidation_fwcompact_medium_005391,sid:5391|doc:11681,27,20,0.7407407407407407,0.8,0.8,0.0,0.3333333333333333,True,0.6,0.6,1,0.05,0.08333333333333333,11,1,1,0.08333333333333333,0.7333333333333333,0.7857142857142857,0.7692307692307693,1,0,0
compact:frontier_consolidation_fwcompact_medium_023863,sid:23863|doc:4266,23,10,0.43478260869565216,0.5833333333333334,0.4166666666666667,0.16666666666666666,0.5714285714285714,True,0.9,0.5,2,0.2,0.2222222222222222,7,4,4,0.4444444444444444,0.5,0.4166666666666667,0.2727272727272727,4,0,0
compact:frontier_consolidation_fwcompact_medium_037105,sid:37105|doc:16914,29,19,0.6551724137931034,0.5,0.7142857142857143,-0.21428571428571427,0.5,True,0.47368421052631576,0.5263157894736842,2,0.10526315789473684,0.2222222222222222,7,2,2,0.2222222222222222,0.4375,0.7142857142857143,0.35714285714285715,3,0,0
compact:frontier_consolidation_fwcompact_medium_012608,sid:12608|doc:13429,17,11,0.6470588235294118,0.8,0.6,0.2,1.0,True,0.7272727272727273,0.5454545454545454,0,0.0,0.0,8,4,4,0.5,0.8,0.6,0.4,3,0,0
