identity,quantity,window,n,mean,median,min,max,checkpoints
D1_BCmax_equals_BR_plus_RCmax,BLiMP,common10_80,8,0.0,0.0,0.0,0.0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_BCmax_equals_BR_plus_RCmax,BLiMP,endpoint100,1,0.0,0.0,0.0,0.0,chck_100M
D1_BCmax_equals_BR_plus_RCmax,BLiMP,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_BCmax_equals_BR_plus_RCmax,BLiMP,late80_100,3,0.0,0.0,0.0,0.0,chck_80M;chck_90M;chck_100M
D1_BCmax_equals_BR_plus_RCmax,COMPS,common10_80,8,0.0,0.0,0.0,0.0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_BCmax_equals_BR_plus_RCmax,COMPS,endpoint100,1,0.0,0.0,0.0,0.0,chck_100M
D1_BCmax_equals_BR_plus_RCmax,COMPS,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_BCmax_equals_BR_plus_RCmax,COMPS,late80_100,3,0.0,0.0,0.0,0.0,chck_80M;chck_90M;chck_100M
D1_BCmax_equals_BR_plus_RCmax,EWoK,common10_80,8,0.0,0.0,0.0,0.0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_BCmax_equals_BR_plus_RCmax,EWoK,endpoint100,1,0.0,0.0,0.0,0.0,chck_100M
D1_BCmax_equals_BR_plus_RCmax,EWoK,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_BCmax_equals_BR_plus_RCmax,EWoK,late80_100,3,0.0,0.0,0.0,0.0,chck_80M;chck_90M;chck_100M
D1_BCmax_equals_BR_plus_RCmax,EWoK_plus_Entity_sum,common10_80,1,0.0,0.0,0.0,0.0,chck_80M
D1_BCmax_equals_BR_plus_RCmax,EWoK_plus_Entity_sum,endpoint100,1,0.0,0.0,0.0,0.0,chck_100M
D1_BCmax_equals_BR_plus_RCmax,EWoK_plus_Entity_sum,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_BCmax_equals_BR_plus_RCmax,EWoK_plus_Entity_sum,late80_100,3,0.0,0.0,0.0,0.0,chck_80M;chck_90M;chck_100M
D1_BCmax_equals_BR_plus_RCmax,Entity,common10_80,1,0.0,0.0,0.0,0.0,chck_80M
D1_BCmax_equals_BR_plus_RCmax,Entity,endpoint100,1,0.0,0.0,0.0,0.0,chck_100M
D1_BCmax_equals_BR_plus_RCmax,Entity,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_BCmax_equals_BR_plus_RCmax,Entity,late80_100,3,0.0,0.0,0.0,0.0,chck_80M;chck_90M;chck_100M
D1_BCmax_equals_BR_plus_RCmax,Reading,common10_80,8,0.0,0.0,0.0,0.0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_BCmax_equals_BR_plus_RCmax,Reading,endpoint100,1,0.0,0.0,0.0,0.0,chck_100M
D1_BCmax_equals_BR_plus_RCmax,Reading,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_BCmax_equals_BR_plus_RCmax,Reading,late80_100,3,0.0,0.0,0.0,0.0,chck_80M;chck_90M;chck_100M
D1_BCmax_equals_BR_plus_RCmax,Supplement,common10_80,8,0.0,0.0,0.0,0.0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_BCmax_equals_BR_plus_RCmax,Supplement,endpoint100,1,0.0,0.0,0.0,0.0,chck_100M
D1_BCmax_equals_BR_plus_RCmax,Supplement,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_BCmax_equals_BR_plus_RCmax,Supplement,late80_100,3,0.0,0.0,0.0,0.0,chck_80M;chck_90M;chck_100M
D1_BCmax_equals_BR_plus_RCmax,cheap5_no_GlobalPIQA_Reading,common10_80,1,0.0,0.0,0.0,0.0,chck_80M
D1_BCmax_equals_BR_plus_RCmax,cheap5_no_GlobalPIQA_Reading,endpoint100,1,0.0,0.0,0.0,0.0,chck_100M
