contrast,arm_a,arm_b,checkpoint,words,quantity,missing_a,missing_b
D1_VminusB,D1_V,D1_B,chck_10M,10000000,Entity,False,True
D1_VminusB,D1_V,D1_B,chck_10M,10000000,cheap6_no_GlobalPIQA,False,True
D1_VminusB,D1_V,D1_B,chck_10M,10000000,cheap5_no_GlobalPIQA_Reading,False,True
D1_VminusB,D1_V,D1_B,chck_10M,10000000,EWoK_plus_Entity_sum,False,True
D1_VminusB,D1_V,D1_B,chck_20M,20000000,Entity,False,True
D1_VminusB,D1_V,D1_B,chck_20M,20000000,cheap6_no_GlobalPIQA,False,True
D1_VminusB,D1_V,D1_B,chck_20M,20000000,cheap5_no_GlobalPIQA_Reading,False,True
D1_VminusB,D1_V,D1_B,chck_20M,20000000,EWoK_plus_Entity_sum,False,True
D1_VminusB,D1_V,D1_B,chck_30M,30000000,Entity,False,True
D1_VminusB,D1_V,D1_B,chck_30M,30000000,cheap6_no_GlobalPIQA,False,True
D1_VminusB,D1_V,D1_B,chck_30M,30000000,cheap5_no_GlobalPIQA_Reading,False,True
D1_VminusB,D1_V,D1_B,chck_30M,30000000,EWoK_plus_Entity_sum,False,True
D1_VminusB,D1_V,D1_B,chck_40M,40000000,Entity,False,True
D1_VminusB,D1_V,D1_B,chck_40M,40000000,cheap6_no_GlobalPIQA,False,True
D1_VminusB,D1_V,D1_B,chck_40M,40000000,cheap5_no_GlobalPIQA_Reading,False,True
D1_VminusB,D1_V,D1_B,chck_40M,40000000,EWoK_plus_Entity_sum,False,True
D1_VminusB,D1_V,D1_B,chck_50M,50000000,Entity,False,True
D1_VminusB,D1_V,D1_B,chck_50M,50000000,cheap6_no_GlobalPIQA,False,True
D1_VminusB,D1_V,D1_B,chck_50M,50000000,cheap5_no_GlobalPIQA_Reading,False,True
D1_VminusB,D1_V,D1_B,chck_50M,50000000,EWoK_plus_Entity_sum,False,True
D1_VminusB,D1_V,D1_B,chck_60M,60000000,Entity,False,True
D1_VminusB,D1_V,D1_B,chck_60M,60000000,cheap6_no_GlobalPIQA,False,True
D1_VminusB,D1_V,D1_B,chck_60M,60000000,cheap5_no_GlobalPIQA_Reading,False,True
D1_VminusB,D1_V,D1_B,chck_60M,60000000,EWoK_plus_Entity_sum,False,True
D1_VminusB,D1_V,D1_B,chck_70M,70000000,Entity,False,True
D1_VminusB,D1_V,D1_B,chck_70M,70000000,cheap6_no_GlobalPIQA,False,True
D1_VminusB,D1_V,D1_B,chck_70M,70000000,cheap5_no_GlobalPIQA_Reading,False,True
D1_VminusB,D1_V,D1_B,chck_70M,70000000,EWoK_plus_Entity_sum,False,True
D1_BminusR,D1_B,D1_R,chck_10M,10000000,Entity,True,False
D1_BminusR,D1_B,D1_R,chck_10M,10000000,cheap6_no_GlobalPIQA,True,False
D1_BminusR,D1_B,D1_R,chck_10M,10000000,cheap5_no_GlobalPIQA_Reading,True,False
D1_BminusR,D1_B,D1_R,chck_10M,10000000,EWoK_plus_Entity_sum,True,False
D1_BminusR,D1_B,D1_R,chck_20M,20000000,Entity,True,False
D1_BminusR,D1_B,D1_R,chck_20M,20000000,cheap6_no_GlobalPIQA,True,False
D1_BminusR,D1_B,D1_R,chck_20M,20000000,cheap5_no_GlobalPIQA_Reading,True,False
D1_BminusR,D1_B,D1_R,chck_20M,20000000,EWoK_plus_Entity_sum,True,False
D1_BminusR,D1_B,D1_R,chck_30M,30000000,Entity,True,False
D1_BminusR,D1_B,D1_R,chck_30M,30000000,cheap6_no_GlobalPIQA,True,False
D1_BminusR,D1_B,D1_R,chck_30M,30000000,cheap5_no_GlobalPIQA_Reading,True,False
D1_BminusR,D1_B,D1_R,chck_30M,30000000,EWoK_plus_Entity_sum,True,False
D1_BminusR,D1_B,D1_R,chck_40M,40000000,Entity,True,False
D1_BminusR,D1_B,D1_R,chck_40M,40000000,cheap6_no_GlobalPIQA,True,False
D1_BminusR,D1_B,D1_R,chck_40M,40000000,cheap5_no_GlobalPIQA_Reading,True,False
D1_BminusR,D1_B,D1_R,chck_40M,40000000,EWoK_plus_Entity_sum,True,False
D1_BminusR,D1_B,D1_R,chck_50M,50000000,Entity,True,False
D1_BminusR,D1_B,D1_R,chck_50M,50000000,cheap6_no_GlobalPIQA,True,False
D1_BminusR,D1_B,D1_R,chck_50M,50000000,cheap5_no_GlobalPIQA_Reading,True,False
D1_BminusR,D1_B,D1_R,chck_50M,50000000,EWoK_plus_Entity_sum,True,False
D1_BminusR,D1_B,D1_R,chck_60M,60000000,Entity,True,False
D1_BminusR,D1_B,D1_R,chck_60M,60000000,cheap6_no_GlobalPIQA,True,False
D1_BminusR,D1_B,D1_R,chck_60M,60000000,cheap5_no_GlobalPIQA_Reading,True,False
D1_BminusR,D1_B,D1_R,chck_60M,60000000,EWoK_plus_Entity_sum,True,False
D1_BminusR,D1_B,D1_R,chck_70M,70000000,Entity,True,False
D1_BminusR,D1_B,D1_R,chck_70M,70000000,cheap6_no_GlobalPIQA,True,False
D1_BminusR,D1_B,D1_R,chck_70M,70000000,cheap5_no_GlobalPIQA_Reading,True,False
D1_BminusR,D1_B,D1_R,chck_70M,70000000,EWoK_plus_Entity_sum,True,False
D1_VminusCold,D1_V,D1_Cold,chck_90M,90000000,BLiMP,False,True
D1_VminusCold,D1_V,D1_Cold,chck_90M,90000000,Supplement,False,True
D1_VminusCold,D1_V,D1_Cold,chck_90M,90000000,EWoK,False,True
D1_VminusCold,D1_V,D1_Cold,chck_90M,90000000,Entity,False,True
D1_VminusCold,D1_V,D1_Cold,chck_90M,90000000,COMPS,False,True
D1_VminusCold,D1_V,D1_Cold,chck_90M,90000000,Reading,False,True
D1_VminusCold,D1_V,D1_Cold,chck_90M,90000000,cheap6_no_GlobalPIQA,False,True
D1_VminusCold,D1_V,D1_Cold,chck_90M,90000000,cheap5_no_GlobalPIQA_Reading,False,True
D1_VminusCold,D1_V,D1_Cold,chck_90M,90000000,exEntity5,False,True
D1_VminusCold,D1_V,D1_Cold,chck_90M,90000000,exEntity4_noReading,False,True
D1_VminusCold,D1_V,D1_Cold,chck_90M,90000000,EWoK_plus_Entity_sum,False,True
D1_VminusCold,D1_V,D1_Cold,chck_100M,100000000,BLiMP,False,True
D1_VminusCold,D1_V,D1_Cold,chck_100M,100000000,Supplement,False,True
D1_VminusCold,D1_V,D1_Cold,chck_100M,100000000,EWoK,False,True
D1_VminusCold,D1_V,D1_Cold,chck_100M,100000000,Entity,False,True
D1_VminusCold,D1_V,D1_Cold,chck_100M,100000000,COMPS,False,True
D1_VminusCold,D1_V,D1_Cold,chck_100M,100000000,Reading,False,True
D1_VminusCold,D1_V,D1_Cold,chck_100M,100000000,cheap6_no_GlobalPIQA,False,True
D1_VminusCold,D1_V,D1_Cold,chck_100M,100000000,cheap5_no_GlobalPIQA_Reading,False,True
D1_VminusCold,D1_V,D1_Cold,chck_100M,100000000,exEntity5,False,True
D1_VminusCold,D1_V,D1_Cold,chck_100M,100000000,exEntity4_noReading,False,True
D1_VminusCold,D1_V,D1_Cold,chck_100M,100000000,EWoK_plus_Entity_sum,False,True
D1_RminusCold,D1_R,D1_Cold,chck_90M,90000000,BLiMP,False,True
D1_RminusCold,D1_R,D1_Cold,chck_90M,90000000,Supplement,False,True
D1_RminusCold,D1_R,D1_Cold,chck_90M,90000000,EWoK,False,True
D1_RminusCold,D1_R,D1_Cold,chck_90M,90000000,Entity,False,True
D1_RminusCold,D1_R,D1_Cold,chck_90M,90000000,COMPS,False,True
D1_RminusCold,D1_R,D1_Cold,chck_90M,90000000,Reading,False,True
D1_RminusCold,D1_R,D1_Cold,chck_90M,90000000,cheap6_no_GlobalPIQA,False,True
D1_RminusCold,D1_R,D1_Cold,chck_90M,90000000,cheap5_no_GlobalPIQA_Reading,False,True
D1_RminusCold,D1_R,D1_Cold,chck_90M,90000000,exEntity5,False,True
D1_RminusCold,D1_R,D1_Cold,chck_90M,90000000,exEntity4_noReading,False,True
D1_RminusCold,D1_R,D1_Cold,chck_90M,90000000,EWoK_plus_Entity_sum,False,True
D1_RminusCold,D1_R,D1_Cold,chck_100M,100000000,BLiMP,False,True
D1_RminusCold,D1_R,D1_Cold,chck_100M,100000000,Supplement,False,True
D1_RminusCold,D1_R,D1_Cold,chck_100M,100000000,EWoK,False,True
D1_RminusCold,D1_R,D1_Cold,chck_100M,100000000,Entity,False,True
D1_RminusCold,D1_R,D1_Cold,chck_100M,100000000,COMPS,False,True
D1_RminusCold,D1_R,D1_Cold,chck_100M,100000000,Reading,False,True
D1_RminusCold,D1_R,D1_Cold,chck_100M,100000000,cheap6_no_GlobalPIQA,False,True
D1_RminusCold,D1_R,D1_Cold,chck_100M,100000000,cheap5_no_GlobalPIQA_Reading,False,True
D1_RminusCold,D1_R,D1_Cold,chck_100M,100000000,exEntity5,False,True
D1_RminusCold,D1_R,D1_Cold,chck_100M,100000000,exEntity4_noReading,False,True
D1_RminusCold,D1_R,D1_Cold,chck_100M,100000000,EWoK_plus_Entity_sum,False,True
D1_BminusCold,D1_B,D1_Cold,chck_10M,10000000,Entity,True,False
D1_BminusCold,D1_B,D1_Cold,chck_10M,10000000,cheap6_no_GlobalPIQA,True,False
D1_BminusCold,D1_B,D1_Cold,chck_10M,10000000,cheap5_no_GlobalPIQA_Reading,True,False
D1_BminusCold,D1_B,D1_Cold,chck_10M,10000000,EWoK_plus_Entity_sum,True,False
D1_BminusCold,D1_B,D1_Cold,chck_20M,20000000,Entity,True,False
D1_BminusCold,D1_B,D1_Cold,chck_20M,20000000,cheap6_no_GlobalPIQA,True,False
D1_BminusCold,D1_B,D1_Cold,chck_20M,20000000,cheap5_no_GlobalPIQA_Reading,True,False
D1_BminusCold,D1_B,D1_Cold,chck_20M,20000000,EWoK_plus_Entity_sum,True,False
D1_BminusCold,D1_B,D1_Cold,chck_30M,30000000,Entity,True,False
D1_BminusCold,D1_B,D1_Cold,chck_30M,30000000,cheap6_no_GlobalPIQA,True,False
D1_BminusCold,D1_B,D1_Cold,chck_30M,30000000,cheap5_no_GlobalPIQA_Reading,True,False
D1_BminusCold,D1_B,D1_Cold,chck_30M,30000000,EWoK_plus_Entity_sum,True,False
D1_BminusCold,D1_B,D1_Cold,chck_40M,40000000,Entity,True,False
D1_BminusCold,D1_B,D1_Cold,chck_40M,40000000,cheap6_no_GlobalPIQA,True,False
D1_BminusCold,D1_B,D1_Cold,chck_40M,40000000,cheap5_no_GlobalPIQA_Reading,True,False
D1_BminusCold,D1_B,D1_Cold,chck_40M,40000000,EWoK_plus_Entity_sum,True,False
D1_BminusCold,D1_B,D1_Cold,chck_50M,50000000,Entity,True,False
D1_BminusCold,D1_B,D1_Cold,chck_50M,50000000,cheap6_no_GlobalPIQA,True,False
D1_BminusCold,D1_B,D1_Cold,chck_50M,50000000,cheap5_no_GlobalPIQA_Reading,True,False
D1_BminusCold,D1_B,D1_Cold,chck_50M,50000000,EWoK_plus_Entity_sum,True,False
D1_BminusCold,D1_B,D1_Cold,chck_60M,60000000,Entity,True,False
D1_BminusCold,D1_B,D1_Cold,chck_60M,60000000,cheap6_no_GlobalPIQA,True,False
D1_BminusCold,D1_B,D1_Cold,chck_60M,60000000,cheap5_no_GlobalPIQA_Reading,True,False
D1_BminusCold,D1_B,D1_Cold,chck_60M,60000000,EWoK_plus_Entity_sum,True,False
D1_BminusCold,D1_B,D1_Cold,chck_70M,70000000,Entity,True,False
D1_BminusCold,D1_B,D1_Cold,chck_70M,70000000,cheap6_no_GlobalPIQA,True,False
D1_BminusCold,D1_B,D1_Cold,chck_70M,70000000,cheap5_no_GlobalPIQA_Reading,True,False
D1_BminusCold,D1_B,D1_Cold,chck_70M,70000000,EWoK_plus_Entity_sum,True,False
D1_BminusCold,D1_B,D1_Cold,chck_90M,90000000,BLiMP,False,True
D1_BminusCold,D1_B,D1_Cold,chck_90M,90000000,Supplement,False,True
D1_BminusCold,D1_B,D1_Cold,chck_90M,90000000,EWoK,False,True
D1_BminusCold,D1_B,D1_Cold,chck_90M,90000000,Entity,False,True
D1_BminusCold,D1_B,D1_Cold,chck_90M,90000000,COMPS,False,True
