BLiMP,BLiMP_clean_spread,COMPS,COMPS_clean_spread,EWoK,EWoK_clean_spread,Entity,Entity_clean_spread,Reading,Reading_clean_spread,Supplement,Supplement_clean_spread,a_complete,b_complete,cheap5,cheap5_clean_spread,cheap6,cheap6_clean_spread,checkpoint,clean_available_seeds,complete_stable6_contrast,contrast,exEntity5,exEntity5_clean_spread,kind
,,,,,,,,,,,,False,False,,,,,chck_10M,,False,child_minus_adult,,,primary_register_contrast
,,,,,,,,,,,,False,True,,,,,chck_10M,,False,child_minus_view,,,arm_minus_proportional_view
,,,,,,,,,,,,False,True,,,,,chck_10M,,False,adult_minus_view,,,arm_minus_proportional_view
,,,,,,,,,,,,False,,,,,,chck_10M,1,False,child_minus_clean_mean,,,arm_or_view_minus_clean_mean
,,,,,,,,,,,,False,,,,,,chck_10M,1,False,adult_minus_clean_mean,,,arm_or_view_minus_clean_mean
0.09000000000000341,,0.21000000000000085,,-0.18999999999999773,,-0.04999999999999716,,0.17999999999999972,,0.490000000000002,,True,,0.10999999999999943,,0.1216666666666697,,chck_10M,1,True,view_minus_clean_mean,0.1559999999999988,,arm_or_view_minus_clean_mean
,,,,,,,,,,,,False,False,,,,,chck_20M,,False,child_minus_adult,,,primary_register_contrast
,,,,,,,,,,,,False,True,,,,,chck_20M,,False,child_minus_view,,,arm_minus_proportional_view
,,,,,,,,,,,,False,True,,,,,chck_20M,,False,adult_minus_view,,,arm_minus_proportional_view
,,,,,,,,,,,,False,,,,,,chck_20M,1,False,child_minus_clean_mean,,,arm_or_view_minus_clean_mean
,,,,,,,,,,,,False,,,,,,chck_20M,1,False,adult_minus_clean_mean,,,arm_or_view_minus_clean_mean
1.0800000000000054,,0.13000000000000256,,1.230000000000004,,-0.7300000000000004,,0.23499999999999943,,1.1599999999999966,,True,,0.5740000000000052,,0.5174999999999983,,chck_20M,1,True,view_minus_clean_mean,0.7669999999999959,,arm_or_view_minus_clean_mean
,,,,,,,,,,,,False,False,,,,,chck_30M,,False,child_minus_adult,,,primary_register_contrast
,,,,,,,,,,,,False,True,,,,,chck_30M,,False,child_minus_view,,,arm_minus_proportional_view
,,,,,,,,,,,,False,True,,,,,chck_30M,,False,adult_minus_view,,,arm_minus_proportional_view
,,,,,,,,,,,,False,,,,,,chck_30M,1,False,child_minus_clean_mean,,,arm_or_view_minus_clean_mean
