arm_key,basin,data_arm,seed,checkpoint,words,predictions,group,numops_group,split_group,official_style_entity_score,micro_accuracy,micro_n,subtask_count,n_rows,macro_score_pp,n_scored,pred_option0_frac_micro,pred_not_in_options_frac_micro
basin2_max_view,seed43122_second_basin,view,43122,chck_80M,80000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_80M/Entity/chck_80M/full_second_basin_max_view_seed43122_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,all_18_subtasks,all,all,27.96375857418497,0.2761061946902655,6780,18,,,,,
basin2_max_view,seed43122_second_basin,view,43122,chck_80M,80000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_80M/Entity/chck_80M/full_second_basin_max_view_seed43122_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,numops_0,0,all,,0.3900064892926671,,,3,38.943025969309055,1541,0.3900064892926671,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_80M,80000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_80M/Entity/chck_80M/full_second_basin_max_view_seed43122_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,numops_1,1,all,,0.16169544740973313,,,3,16.15326228529361,1274,0.16169544740973313,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_80M,80000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_80M/Entity/chck_80M/full_second_basin_max_view_seed43122_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,numops_2,2,all,,0.21035332785538208,,,3,21.00990077201793,1217,0.21035332785538208,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_80M,80000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_80M/Entity/chck_80M/full_second_basin_max_view_seed43122_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,numops_3,3,all,,0.25887096774193546,,,3,25.865074838636236,1240,0.25887096774193546,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_80M,80000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_80M/Entity/chck_80M/full_second_basin_max_view_seed43122_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,numops_4,4,all,,0.3191489361702128,,,3,31.74209142200731,1175,0.3191489361702128,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_80M,80000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_80M/Entity/chck_80M/full_second_basin_max_view_seed43122_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,numops_5,5,all,,0.33933933933933935,,,3,34.06919615784566,333,0.33933933933933935,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_80M,80000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_80M/Entity/chck_80M/full_second_basin_max_view_seed43122_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,zero_ops,zero,all,,0.3900064892926671,,,3,38.943025969309055,1541,0.3900064892926671,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_80M,80000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_80M/Entity/chck_80M/full_second_basin_max_view_seed43122_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,nonzero_ops,nonzero,all,,0.24260355029585798,,,15,25.76790509516015,5239,0.24260355029585798,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_80M,80000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_80M/Entity/chck_80M/full_second_basin_max_view_seed43122_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,split_ambiref,all,ambiref,,0.26220302375809934,,,6,26.677762738304427,2315,0.26220302375809934,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_80M,80000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_80M/Entity/chck_80M/full_second_basin_max_view_seed43122_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,ambiref_zero_ops,zero,ambiref,,0.281496062992126,,,1,28.1496062992126,508,0.281496062992126,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_80M,80000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_80M/Entity/chck_80M/full_second_basin_max_view_seed43122_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,ambiref_nonzero_ops,nonzero,ambiref,,0.2567791920309906,,,5,26.383394026122794,1807,0.2567791920309906,0.0
