BLiMP_clean_mean,BLiMP_clean_n,BLiMP_clean_spread,BLiMP_vc_delta,BLiMP_view,COMPS_clean_mean,COMPS_clean_n,COMPS_clean_spread,COMPS_vc_delta,COMPS_view,EWoK_clean_mean,EWoK_clean_n,EWoK_clean_spread,EWoK_vc_delta,EWoK_view,Entity_clean_mean,Entity_clean_n,Entity_clean_spread,Entity_vc_delta,Entity_view,Reading_clean_mean,Reading_clean_n,Reading_clean_spread,Reading_vc_delta,Reading_view,Supplement_clean_mean,Supplement_clean_n,Supplement_clean_spread,Supplement_vc_delta,Supplement_view,cheap5_clean_mean,cheap5_clean_n,cheap5_clean_spread,cheap5_vc_delta,cheap5_view,cheap6_clean_mean,cheap6_clean_n,cheap6_clean_spread,cheap6_vc_delta,cheap6_view,checkpoint,complete_stable6_delta,displaced_clean_words,exEntity5_clean_mean,exEntity5_clean_n,exEntity5_clean_spread,exEntity5_vc_delta,exEntity5_view,label,rho,score_path,unique_docs,words_admitted
56.0,1,,,,49.93,1,,,,49.76,1,,,,17.47,1,,,,7.945,1,,,,51.55,1,,,,44.942,1,,,,38.77583333333333,1,,,,chck_10M,False,105962,43.037,1,,,,quarter_1x,0.0105962,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_quarter_1x_seed43022_chck_10M.json,2861,105962
56.0,1,,,,49.93,1,,,,49.76,1,,,,17.47,1,,,,7.945,1,,,,51.55,1,,,,44.942,1,,,,38.77583333333333,1,,,,chck_10M,False,211853,43.037,1,,,,half_1x,0.0211853,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_half_1x_seed43022_chck_10M.json,4247,211853
56.0,1,,,,49.93,1,,,,49.76,1,,,,17.47,1,,,,7.945,1,,,,51.55,1,,,,44.942,1,,,,38.77583333333333,1,,,,chck_10M,False,423559,43.037,1,,,,full_1x_maxgeom,0.0423559,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_full_1x_seed43022_chck_10M.json,4529,423559
56.0,1,,0.09000000000000341,56.09,49.93,1,,0.21000000000000085,50.14,49.76,1,,-0.18999999999999773,49.57,17.47,1,,-0.04999999999999716,17.42,7.945,1,,0.17999999999999972,8.125,51.55,1,,0.490000000000002,52.04,44.942,1,,0.10999999999999943,45.052,38.77583333333333,1,,0.1216666666666697,38.8975,chck_10M,True,1118587,43.037,1,,0.1559999999999988,43.193,max_2p64x,0.111872,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_10M.json,5261,1118587
58.91,1,,,,50.14,1,,,,48.97,1,,,,18.72,1,,,,8.07,1,,,,56.74,1,,,,46.696,1,,,,40.25833333333333,1,,,,chck_20M,False,105962,44.566,1,,,,quarter_1x,0.0105962,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_quarter_1x_seed43022_chck_20M.json,2861,105962
58.91,1,,,,50.14,1,,,,48.97,1,,,,18.72,1,,,,8.07,1,,,,56.74,1,,,,46.696,1,,,,40.25833333333333,1,,,,chck_20M,False,211853,44.566,1,,,,half_1x,0.0211853,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_half_1x_seed43022_chck_20M.json,4247,211853
58.91,1,,,,50.14,1,,,,48.97,1,,,,18.72,1,,,,8.07,1,,,,56.74,1,,,,46.696,1,,,,40.25833333333333,1,,,,chck_20M,False,423559,44.566,1,,,,full_1x_maxgeom,0.0423559,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_full_1x_seed43022_chck_20M.json,4529,423559
58.91,1,,1.0800000000000054,59.99,50.14,1,,0.13000000000000256,50.27,48.97,1,,1.230000000000004,50.2,18.72,1,,-0.7300000000000004,17.99,8.07,1,,0.23499999999999943,8.305,56.74,1,,1.1599999999999966,57.9,46.696,1,,0.5740000000000052,47.27,40.25833333333333,1,,0.5174999999999983,40.77583333333333,chck_20M,True,1118587,44.566,1,,0.7669999999999959,45.333,max_2p64x,0.111872,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_20M.json,5261,1118587
60.98,1,,,,50.73,1,,,,48.6,1,,,,22.02,1,,,,8.125,1,,,,57.73,1,,,,48.012,1,,,,41.36416666666666,1,,,,chck_30M,False,105962,45.233,1,,,,quarter_1x,0.0105962,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_quarter_1x_seed43022_chck_30M.json,2861,105962
60.98,1,,,,50.73,1,,,,48.6,1,,,,22.02,1,,,,8.125,1,,,,57.73,1,,,,48.012,1,,,,41.36416666666666,1,,,,chck_30M,False,211853,45.233,1,,,,half_1x,0.0211853,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_half_1x_seed43022_chck_30M.json,4247,211853
60.98,1,,,,50.73,1,,,,48.6,1,,,,22.02,1,,,,8.125,1,,,,57.73,1,,,,48.012,1,,,,41.36416666666666,1,,,,chck_30M,False,423559,45.233,1,,,,full_1x_maxgeom,0.0423559,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_full_1x_seed43022_chck_30M.json,4529,423559
60.98,1,,-0.6799999999999997,60.3,50.73,1,,-0.4299999999999997,50.3,48.6,1,,0.519999999999996,49.12,22.02,1,,2.8000000000000007,24.82,8.125,1,,1.040000000000001,9.165000000000001,57.73,1,,-2.6399999999999935,55.09,48.012,1,,-0.08599999999999852,47.926,41.36416666666666,1,,0.10166666666667368,41.465833333333336,chck_30M,True,1118587,45.233,1,,-0.4379999999999953,44.795,max_2p64x,0.111872,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_30M.json,5261,1118587
