endpoint,anchor,source,n_common_sentences_filtered,delta_row_context_loss,delta_isolation_loss,delta_context_gain,se_delta_context_gain
chck82_slow_scale1p75,coherent86_repaired_alpha075,bnc_spoken,14,0.05845294254166739,-0.01993661267416818,-0.07838955521583557,0.029635828182461698
chck82_slow_scale1p75,coherent86_repaired_alpha075,childes,10,0.022239410143811256,-0.0025467057203059085,-0.024786115864117164,0.029874911667175846
chck82_slow_scale1p75,coherent86_repaired_alpha075,gutenberg,14,-0.00014752974467618124,0.020879174241729612,0.021026703986405795,0.01947737498312532
chck82_slow_scale1p75,coherent86_repaired_alpha075,open_subtitles,14,0.008717372481312071,0.0032591064061437336,-0.0054582660751683375,0.025626017506569742
chck82_slow_scale1p75,coherent86_repaired_alpha075,simple_wiki,12,-0.004719872027635574,0.01075779398282369,0.015477666010459265,0.02146267685071296
chck82_slow_scale1p75,coherent86_repaired_alpha075,switchboard,13,0.006455086744748629,0.02679708370795617,0.02034199696320754,0.025164828656895764
dense_focus_seed62064_u0080,coherent86_repaired_alpha075,bnc_spoken,14,0.05532863310405186,0.13214763147490366,0.0768189983708518,0.08773360124909434
dense_focus_seed62064_u0080,coherent86_repaired_alpha075,childes,10,0.009333892653376096,0.05003118157328572,0.040697288919909626,0.01625487332750232
dense_focus_seed62064_u0080,coherent86_repaired_alpha075,gutenberg,14,0.10693741749439921,0.056167790915683975,-0.050769626578715234,0.05771539634565722
dense_focus_seed62064_u0080,coherent86_repaired_alpha075,open_subtitles,14,0.0974993480901633,0.14813912340572902,0.050639775315565724,0.0895572149540773
dense_focus_seed62064_u0080,coherent86_repaired_alpha075,simple_wiki,12,0.03945294270912806,0.14168969790140787,0.10223675519227982,0.06899804563323246
dense_focus_seed62064_u0080,coherent86_repaired_alpha075,switchboard,13,0.1202633403814756,0.05877456642114199,-0.0614887739603336,0.029113373636161205
dense_focus_seed62065_u0080,coherent86_repaired_alpha075,bnc_spoken,14,0.054618545940944126,0.13111596873828343,0.0764974227973393,0.08758863488301816
dense_focus_seed62065_u0080,coherent86_repaired_alpha075,childes,10,0.012490136014821473,0.05275825570570305,0.04026811969088158,0.017239689546913746
dense_focus_seed62065_u0080,coherent86_repaired_alpha075,gutenberg,14,0.11143081089747804,0.05831373793937798,-0.05311707295810005,0.05883707892435231
dense_focus_seed62065_u0080,coherent86_repaired_alpha075,open_subtitles,14,0.1009484598679202,0.1484616579754012,0.047513198107481,0.09042176964012782
dense_focus_seed62065_u0080,coherent86_repaired_alpha075,simple_wiki,12,0.04437817633152008,0.15090092023213705,0.10652274390061696,0.07099005919048487
dense_focus_seed62065_u0080,coherent86_repaired_alpha075,switchboard,13,0.12728465291169974,0.061686259049635664,-0.06559839386206406,0.02922889104809633
sparse_focus_seed62064_u0080,coherent86_repaired_alpha075,bnc_spoken,14,0.01970226424080985,0.016799053975514004,-0.0029032102652958463,0.01743704037426992
sparse_focus_seed62064_u0080,coherent86_repaired_alpha075,childes,10,-0.007734186140442034,-0.0001522855702205561,0.0075819005702214785,0.012074537973518663
sparse_focus_seed62064_u0080,coherent86_repaired_alpha075,gutenberg,14,0.017609415841954097,0.007949580687896482,-0.009659835154057614,0.013070110797755679
sparse_focus_seed62064_u0080,coherent86_repaired_alpha075,open_subtitles,14,0.017529132376824106,0.017344526946544647,-0.00018460543027945926,0.01691280508699341
sparse_focus_seed62064_u0080,coherent86_repaired_alpha075,simple_wiki,12,0.011570262412230173,0.01949082811673482,0.007920565704504648,0.010219251777463063
sparse_focus_seed62064_u0080,coherent86_repaired_alpha075,switchboard,13,0.010700370256717388,0.0006325749250558707,-0.010067795331661519,0.010879910277754251
