tail_name,update,rows,words,qwen_rows,compact_modified_rows,topup_rows,inherited_wwm_total_targets,inherited_wwm_qwen_targets,inherited_wwm_nonqwen_targets,inherited_wwm_qwen_target_fraction,inherited_wwm_compact_modified_targets,correspondence_focus_total_targets,correspondence_focus_qwen_targets,correspondence_focus_nonqwen_targets,correspondence_focus_qwen_target_fraction,correspondence_focus_candidate_groups,correspondence_focus_selected_groups,correspondence_focus_selected_pair_refs,correspondence_focus_compact_modified_targets,target_ratio_focus_vs_wwm,qwen_target_ratio_focus_vs_wwm
unchanged_inherited,1,252,39652,33,0,0,8728,911,7817,0.10437671860678277,0,8071,254,7817,0.03147069755916243,528,194,85,0,0.9247250229147571,0.278814489571899
unchanged_inherited,2,255,39663,44,0,0,8774,1271,7503,0.14485981308411214,0,7827,324,7503,0.041395170563434266,704,247,99,0,0.8920674720765899,0.2549173878835563
unchanged_inherited,3,256,39583,47,0,0,8803,1248,7555,0.1417698511870953,0,7898,343,7555,0.04342871613066599,752,258,115,0,0.8971941383619221,0.2748397435897436
unchanged_inherited,4,257,39592,56,0,0,8731,1557,7174,0.17833008819150153,0,7558,384,7174,0.05080709182323366,896,301,147,0,0.8656511281640132,0.2466281310211946
unchanged_inherited,5,258,39619,58,0,0,8547,1634,6913,0.19117819117819118,0,7347,434,6913,0.05907172995780591,928,318,144,0,0.8595998595998596,0.26560587515299877
unchanged_inherited,6,254,39559,33,0,0,8998,1007,7991,0.11191375861302512,0,8207,216,7991,0.026318995979042283,528,165,86,0,0.9120915759057568,0.21449851042701093
unchanged_inherited,7,257,39546,46,0,0,8969,1223,7746,0.1363585684022745,0,8082,336,7746,0.041573867854491464,736,245,109,0,0.9011038019846137,0.2747342600163532
unchanged_inherited,8,256,39559,39,0,0,8585,1122,7463,0.1306930693069307,0,7770,307,7463,0.03951093951093951,617,230,104,0,0.9050669772859639,0.2736185383244207
unchanged_inherited,9,256,39605,36,0,0,8621,974,7647,0.11297993272242199,0,7897,250,7647,0.03165759149043941,576,196,88,0,0.9160190233151606,0.25667351129363447
unchanged_inherited,10,259,39583,54,0,0,8746,1498,7248,0.1712782986508118,0,7658,410,7248,0.05353878297205537,864,304,140,0,0.8756002744111594,0.27369826435246997
unchanged_inherited,11,257,39689,50,0,0,8791,1283,7508,0.14594471618700944,0,7891,383,7508,0.04853630718540109,800,289,128,0,0.8976225685360028,0.2985190958690569
unchanged_inherited,12,255,39643,34,0,0,8826,944,7882,0.10695671878540676,0,8128,246,7882,0.03026574803149606,544,188,83,0,0.9209154769997734,0.2605932203389831
unchanged_inherited,13,256,39636,49,0,0,8639,1342,7297,0.15534205347841185,0,7631,334,7297,0.04376883763595859,784,256,118,0,0.8833198286838755,0.2488822652757079
unchanged_inherited,14,258,39637,57,0,0,8660,1553,7107,0.17933025404157044,0,7510,403,7107,0.05366178428761651,912,300,144,0,0.8672055427251733,0.25949774629748873
unchanged_inherited,15,256,39658,41,0,0,8970,1104,7866,0.12307692307692308,0,8187,321,7866,0.03920850128252107,656,220,103,0,0.9127090301003344,0.2907608695652174
unchanged_inherited,16,255,39593,37,0,0,8957,1010,7947,0.1127609690744669,0,8257,310,7947,0.037543902143635705,589,222,98,0,0.9218488333147259,0.3069306930693069
unchanged_inherited,17,257,39573,45,0,0,8711,1191,7520,0.13672368270003443,0,7847,327,7520,0.04167197655154836,711,264,108,0,0.9008150614165997,0.27455919395465994
unchanged_inherited,18,255,39584,46,0,0,8628,1288,7340,0.1492814093648586,0,7659,319,7340,0.041650345998172085,736,254,118,0,0.8876912378303199,0.24767080745341616
unchanged_inherited,19,259,39664,65,0,0,8522,1753,6769,0.20570288664632716,0,7246,477,6769,0.06582942313000276,1038,383,167,0,0.8502698896972541,0.27210496292070735
unchanged_inherited,20,254,39554,42,0,0,8855,1177,7678,0.13291925465838508,0,7999,321,7678,0.040130016252031504,672,220,107,0,0.9033314511575381,0.2727272727272727
unchanged_inherited,21,256,39574,44,0,0,8802,1123,7679,0.12758463985457852,0,7987,308,7679,0.03856266432953549,701,250,114,0,0.9074074074074074,0.2742653606411398
unchanged_inherited,22,256,39682,47,0,0,8707,1267,7440,0.14551510279085794,0,7815,375,7440,0.04798464491362764,752,276,120,0,0.8975536924313771,0.2959747434885556
unchanged_inherited,23,255,39660,37,0,0,8690,1033,7657,0.1188722669735328,0,7920,263,7657,0.033207070707070706,592,202,92,0,0.9113924050632911,0.25459825750242016
unchanged_inherited,24,258,39598,61,0,0,8986,1724,7262,0.19185399510349432,0,7680,418,7262,0.054427083333333334,976,316,159,0,0.8546628088137103,0.24245939675174014
unchanged_inherited,25,255,39536,44,0,0,8775,1276,7499,0.14541310541310543,0,7861,362,7499,0.04605012084976466,703,253,111,0,0.8958404558404558,0.2836990595611285
unchanged_inherited,26,256,39541,47,0,0,8583,1356,7227,0.15798671793079344,0,7601,374,7227,0.049204052098408106,752,270,126,0,0.8855877898170803,0.275811209439528
unchanged_inherited,27,255,39553,41,0,0,8706,1163,7543,0.1335860326211808,0,7839,296,7543,0.037759918356933285,656,224,110,0,0.9004135079255686,0.2545141874462597
unchanged_inherited,28,257,39577,63,0,0,8821,1814,7007,0.20564561841061105,0,7466,459,7007,0.06147870345566568,1008,348,167,0,0.8463892982655028,0.25303197353914003
unchanged_inherited,29,256,39636,52,0,0,8694,1487,7207,0.17103749712445365,0,7607,400,7207,0.05258314710135402,832,296,138,0,0.8749712445364619,0.26899798251513113
unchanged_inherited,30,259,39611,63,0,0,8546,1606,6940,0.1879241750526562,0,7408,468,6940,0.06317494600431965,1008,353,156,0,0.8668382869178564,0.29140722291407223
unchanged_inherited,31,257,39664,44,0,0,8940,1181,7759,0.13210290827740492,0,8140,381,7759,0.04680589680589681,701,279,119,0,0.9105145413870246,0.32260795935647757
unchanged_inherited,32,257,39575,49,0,0,8875,1367,7508,0.1540281690140845,0,7851,343,7508,0.043688702076168644,784,260,123,0,0.8846197183098592,0.25091441111923923
unchanged_inherited,33,258,39633,46,0,0,9004,1243,7761,0.13804975566414926,0,8130,369,7761,0.04538745387453875,736,276,109,0,0.9029320302087961,0.29686242960579245
unchanged_inherited,34,256,39570,50,0,0,8688,1410,7278,0.162292817679558,0,7652,374,7278,0.04887611082070047,800,284,123,0,0.8807550644567219,0.2652482269503546
unchanged_inherited,35,254,39586,36,0,0,8609,996,7613,0.11569287954466256,0,7864,251,7613,0.031917599186164804,575,186,84,0,0.9134626553606691,0.2520080321285141
unchanged_inherited,36,256,39646,44,0,0,8867,1170,7697,0.13194992669448516,0,8018,321,7697,0.04003492142678972,704,257,112,0,0.9042517198601556,0.2743589743589744
unchanged_inherited,37,257,39561,56,0,0,8775,1652,7123,0.18826210826210826,0,7573,450,7123,0.05942162947312822,896,342,149,0,0.863019943019943,0.27239709443099275
unchanged_inherited,38,255,39562,41,0,0,8888,1092,7796,0.12286228622862286,0,8127,331,7796,0.040728436077273285,652,219,101,0,0.9143789378937894,0.3031135531135531
unchanged_inherited,39,257,39669,51,0,0,8817,1496,7321,0.16967222411250993,0,7685,364,7321,0.04736499674690956,816,287,128,0,0.8716116592945446,0.24331550802139038
unchanged_inherited,40,259,39620,54,0,0,8568,1411,7157,0.16468253968253968,0,7607,450,7157,0.059156040489023266,864,326,141,0,0.8878384687208216,0.3189227498228207
unchanged_inherited,41,256,39670,43,0,0,8748,1155,7593,0.13203017832647462,0,7951,358,7593,0.04502578292038737,688,261,111,0,0.9088934613625972,0.30995670995670993
unchanged_inherited,42,257,39608,51,0,0,8496,1441,7055,0.16960922787193974,0,7444,389,7055,0.052256851155292855,816,296,134,0,0.8761770244821092,0.26995142262317834
unchanged_inherited,43,257,39602,47,0,0,8652,1231,7421,0.1422792417938049,0,7725,304,7421,0.03935275080906149,752,245,113,0,0.8928571428571429,0.2469536961819659
unchanged_inherited,44,258,39553,55,0,0,8900,1461,7439,0.16415730337078652,0,7863,424,7439,0.05392343889100852,880,313,142,0,0.8834831460674157,0.29021218343600275
unchanged_inherited,45,256,39631,49,0,0,8697,1373,7324,0.1578705300678395,0,7673,349,7324,0.04548416525478952,784,261,119,0,0.8822582499712545,0.2541879096868172
unchanged_inherited,46,255,39580,45,0,0,8419,1186,7233,0.14087183751039317,0,7562,329,7233,0.04350700872784977,720,252,119,0,0.8982064378192184,0.2774030354131535
unchanged_inherited,47,255,39644,47,0,0,8664,1332,7332,0.15373961218836565,0,7663,331,7332,0.04319457131671669,752,252,128,0,0.8844644506001846,0.2484984984984985
unchanged_inherited,48,256,39574,38,0,0,8647,1064,7583,0.12304845611194634,0,7871,288,7583,0.03659001397535256,608,214,98,0,0.9102578929108361,0.2706766917293233
unchanged_inherited,49,257,39535,60,0,0,8445,1693,6752,0.2004736530491415,0,7198,446,6752,0.06196165601555988,960,342,149,0,0.8523386619301362,0.26343768458357947
unchanged_inherited,50,256,39633,46,0,0,8875,1191,7684,0.13419718309859155,0,8014,330,7684,0.04117793860743699,736,236,109,0,0.9029859154929577,0.2770780856423174
unchanged_inherited,51,259,39687,57,0,0,8745,1554,7191,0.1777015437392796,0,7635,444,7191,0.058153241650294694,912,328,142,0,0.8730703259005146,0.2857142857142857
unchanged_inherited,52,259,39576,58,0,0,8792,1541,7251,0.1752729754322111,0,7646,395,7251,0.05166099921527596,926,305,137,0,0.8696542311191993,0.2563270603504218
unchanged_inherited,53,257,39594,53,0,0,8821,1402,7419,0.15893889581680082,0,7818,399,7419,0.05103607060629317,848,309,145,0,0.8862940709670105,0.2845934379457917
unchanged_inherited,54,259,39604,50,0,0,8877,1325,7552,0.14926213810972175,0,7913,361,7552,0.0456211297864274,798,273,121,0,0.8914047538582854,0.2724528301886792
unchanged_inherited,55,256,39562,49,0,0,8827,1426,7401,0.1615497904157698,0,7729,328,7401,0.04243757277784966,784,255,127,0,0.8756089271553189,0.2300140252454418
unchanged_inherited,56,256,39650,49,0,0,8808,1411,7397,0.1601952770208901,0,7733,336,7397,0.04345014871330661,784,276,128,0,0.8779518619436876,0.23812898653437278
unchanged_inherited,57,255,39676,35,0,0,8942,988,7954,0.11048982330574815,0,8208,254,7954,0.03094541910331384,560,194,95,0,0.9179154551554463,0.25708502024291496
unchanged_inherited,58,257,39650,50,0,0,8788,1437,7351,0.1635184342284934,0,7719,368,7351,0.04767456924472082,800,266,130,0,0.8783568502503414,0.25608907446068196
unchanged_inherited,59,256,39567,45,0,0,8467,1205,7262,0.1423172316050549,0,7609,347,7262,0.045603890130109084,720,264,117,0,0.8986654068737451,0.2879668049792531
unchanged_inherited,60,257,39622,57,0,0,8745,1526,7219,0.17449971412235563,0,7631,412,7219,0.05399030271261958,912,313,144,0,0.8726129216695254,0.2699868938401048
unchanged_inherited,61,257,39626,52,0,0,8638,1371,7267,0.15871729567029405,0,7657,390,7267,0.050933786078098474,832,300,133,0,0.8864320444547349,0.2844638949671772
unchanged_inherited,62,255,39582,34,0,0,9069,1015,8054,0.11191972654096373,0,8297,243,8054,0.029287694347354464,542,181,82,0,0.9148748483846069,0.23940886699507388
unchanged_inherited,63,260,39622,66,0,0,8522,1713,6809,0.20100915278103731,0,7295,486,6809,0.06662097326936257,1056,362,164,0,0.8560197136822342,0.28371278458844135
unchanged_inherited,64,258,39542,53,0,0,8470,1331,7139,0.15714285714285714,0,7517,378,7139,0.050286018358387655,848,294,133,0,0.8874852420306966,0.28399699474079637
unchanged_inherited,65,255,39544,39,0,0,8812,1109,7703,0.1258511121198366,0,8004,301,7703,0.037606196901549226,624,219,96,0,0.9083068542896051,0.27141568981064024
unchanged_inherited,66,259,39582,63,0,0,8757,1658,7099,0.18933424688820372,0,7531,432,7099,0.05736290001327845,1008,330,154,0,0.859997716112824,0.2605548854041013
unchanged_inherited,67,257,39542,53,0,0,8498,1422,7076,0.167333490232996,0,7444,368,7076,0.049435787211176786,848,281,140,0,0.8759708166627441,0.2587904360056259
unchanged_inherited,68,255,39652,44,0,0,8742,1185,7557,0.13555250514756348,0,7912,355,7557,0.0448685540950455,704,247,114,0,0.9050560512468543,0.29957805907172996
unchanged_inherited,69,256,39625,49,0,0,8728,1396,7332,0.1599450045829514,0,7708,376,7332,0.04878048780487805,784,270,123,0,0.8831347387717691,0.2693409742120344
unchanged_inherited,70,257,39615,55,0,0,8745,1509,7236,0.1725557461406518,0,7615,379,7236,0.04977019041365725,880,291,136,0,0.8707833047455689,0.25115970841616964
unchanged_inherited,71,257,39686,54,0,0,8617,1511,7106,0.17535105024950678,0,7517,411,7106,0.05467606758015166,864,303,140,0,0.8723453638157131,0.27200529450694905
unchanged_inherited,72,257,39673,41,0,0,9033,1131,7902,0.12520757223513782,0,8204,302,7902,0.03681131155533886,656,227,107,0,0.9082253957710616,0.26702033598585323
unchanged_inherited,73,257,39630,52,0,0,8801,1382,7419,0.15702761049880695,0,7802,383,7419,0.049089976928992564,832,276,131,0,0.8864901715714123,0.2771345875542692
unchanged_inherited,74,257,39675,51,0,0,8553,1422,7131,0.16625745352507892,0,7519,388,7131,0.0516026067296183,816,296,126,0,0.8791067461709342,0.27285513361462727
unchanged_inherited,75,254,39624,43,0,0,8793,1221,7572,0.1388604571818492,0,7888,316,7572,0.04006085192697769,688,227,112,0,0.8970772205163198,0.2588042588042588
unchanged_inherited,76,257,39653,50,0,0,8612,1396,7216,0.16209939619136088,0,7612,396,7216,0.05202312138728324,800,295,138,0,0.8838829540176498,0.2836676217765043
unchanged_inherited,77,255,39603,43,0,0,8784,1196,7588,0.13615664845173042,0,7910,322,7588,0.04070796460176991,688,249,114,0,0.9005009107468124,0.2692307692307692
unchanged_inherited,78,254,39560,42,0,0,8592,1213,7379,0.1411778398510242,0,7685,306,7379,0.03981782693558881,672,228,104,0,0.8944366852886406,0.2522671063478978
unchanged_inherited,79,256,39656,40,0,0,8636,993,7643,0.11498378879110699,0,7931,288,7643,0.036313201361745054,639,228,104,0,0.9183649837887911,0.29003021148036257
unchanged_inherited,80,217,33586,41,0,0,7300,1136,6164,0.15561643835616437,0,6455,291,6164,0.04508133230054222,656,232,108,0,0.8842465753424658,0.25616197183098594
