case_id,source,target_token,prefix_tokens,later_tokens,target_idx,wwm_lp_full,wwm_lp_deleted,wwm_lp_shuffled,wwm_lp_same_near,wwm_lp_cross_near,wwm_delta_deleted,wwm_delta_shuffled,wwm_delta_same_near,wwm_delta_cross_near,wwm_spec_same_vs_cross,wwm_spec_deleted_vs_cross,cont_lp_full,cont_lp_deleted,cont_lp_shuffled,cont_lp_same_near,cont_lp_cross_near,cont_delta_deleted,cont_delta_shuffled,cont_delta_same_near,cont_delta_cross_near,cont_spec_same_vs_cross,cont_spec_deleted_vs_cross,cont_minus_wwm_delta_deleted,cont_minus_wwm_delta_shuffled,cont_minus_wwm_delta_same_near,cont_minus_wwm_delta_cross_near,cont_minus_wwm_spec_same_vs_cross,cont_minus_wwm_spec_deleted_vs_cross,wwm_sensitivity_score
0,bnc_spoken.train.txt,Ġitself,105,105,27,-9.488822937011719,-9.487948417663574,-9.488823890686035,-9.487963676452637,-9.48882007598877,-0.0008745193481445312,9.5367431640625e-07,-0.0008592605590820312,-2.86102294921875e-06,-0.0008563995361328125,-0.0008716583251953125,-8.856104850769043,-8.85610294342041,-8.856104850769043,-8.856104850769043,-10.446754455566406,-1.9073486328125e-06,0.0,0.0,1.5906496047973633,-1.5906496047973633,-1.590651512145996,0.0008726119995117188,-9.5367431640625e-07,0.0008592605590820312,1.5906524658203125,-1.5897932052612305,-1.5897798538208008,0.0008745193481445312
1,bnc_spoken.train.txt,Ġknow,120,106,33,-5.834277153015137,-5.834235191345215,-5.834227561950684,-5.834226608276367,-5.833528518676758,-4.1961669921875e-05,-4.9591064453125e-05,-5.054473876953125e-05,-0.0007486343383789062,0.000698089599609375,0.0007066726684570312,-5.5463337898254395,-5.546335697174072,-5.5463337898254395,-5.546334266662598,-6.275917053222656,1.9073486328125e-06,0.0,4.76837158203125e-07,0.7295832633972168,-0.7295827865600586,-0.729581356048584,4.38690185546875e-05,4.9591064453125e-05,5.1021575927734375e-05,0.7303318977355957,-0.730280876159668,-0.730288028717041,5.054473876953125e-05
2,bnc_spoken.train.txt,cling,97,97,24,-10.378887176513672,-10.378887176513672,-10.378887176513672,-10.378891944885254,-10.378885269165039,0.0,0.0,4.76837158203125e-06,-1.9073486328125e-06,6.67572021484375e-06,1.9073486328125e-06,-10.305736541748047,-10.305736541748047,-10.305736541748047,-10.30573558807373,-10.485353469848633,0.0,0.0,-9.5367431640625e-07,0.17961692810058594,-0.17961788177490234,-0.17961692810058594,0.0,0.0,-5.7220458984375e-06,0.17961883544921875,-0.1796245574951172,-0.17961883544921875,4.76837158203125e-06
3,bnc_spoken.train.txt,Ġwent,90,91,23,-7.872221946716309,-7.872180938720703,-7.872220993041992,-7.872234344482422,-7.872481346130371,-4.100799560546875e-05,-9.5367431640625e-07,1.239776611328125e-05,0.0002593994140625,-0.00024700164794921875,-0.00030040740966796875,-7.680054664611816,-7.680054187774658,-7.680054664611816,-7.680054664611816,-8.496476173400879,-4.76837158203125e-07,0.0,0.0,0.8164215087890625,-0.8164215087890625,-0.8164219856262207,4.0531158447265625e-05,9.5367431640625e-07,-1.239776611328125e-05,0.816162109375,-0.8161745071411133,-0.8161215782165527,4.100799560546875e-05
4,bnc_spoken.train.txt,Ġtwenty,105,99,24,-6.844854831695557,-6.844871520996094,-6.84485387802124,-6.844860076904297,-6.844669818878174,1.6689300537109375e-05,-9.5367431640625e-07,5.245208740234375e-06,-0.0001850128173828125,0.00019025802612304688,0.00020170211791992188,-6.422975540161133,-6.422975063323975,-6.422975540161133,-6.422975540161133,-8.646111488342285,-4.76837158203125e-07,0.0,0.0,2.2231359481811523,-2.2231359481811523,-2.2231364250183105,-1.71661376953125e-05,9.5367431640625e-07,-5.245208740234375e-06,2.223320960998535,-2.2233262062072754,-2.2233381271362305,1.6689300537109375e-05
5,bnc_spoken.train.txt,Ġthing,90,90,22,-7.317648887634277,-7.3189592361450195,-7.3179545402526855,-7.317971706390381,-7.318881034851074,0.0013103485107421875,0.0003056526184082031,0.0003228187561035156,0.001232147216796875,-0.0009093284606933594,7.82012939453125e-05,-7.212686538696289,-7.212687015533447,-7.212687015533447,-7.212686538696289,-8.435121536254883,4.76837158203125e-07,4.76837158203125e-07,0.0,1.2224349975585938,-1.2224349975585938,-1.2224345207214355,-0.0013098716735839844,-0.00030517578125,-0.0003228187561035156,1.2212028503417969,-1.2215256690979004,-1.2225127220153809,0.0013103485107421875
6,bnc_spoken.train.txt,Ġdoesn,96,105,26,-7.844118118286133,-7.844118118286133,-7.844119071960449,-7.844120979309082,-7.844118118286133,0.0,9.5367431640625e-07,2.86102294921875e-06,0.0,2.86102294921875e-06,0.0,-7.891993045806885,-7.891993522644043,-7.891993522644043,-7.891992092132568,-7.365296363830566,4.76837158203125e-07,4.76837158203125e-07,-9.5367431640625e-07,-0.5266966819763184,0.526695728302002,0.5266971588134766,4.76837158203125e-07,-4.76837158203125e-07,-3.814697265625e-06,-0.5266966819763184,0.5266928672790527,0.5266971588134766,2.86102294921875e-06
7,bnc_spoken.train.txt,Ġplace,94,100,25,-8.385048866271973,-8.385669708251953,-8.385699272155762,-8.385318756103516,-8.38566780090332,0.0006208419799804688,0.0006504058837890625,0.00026988983154296875,0.0006189346313476562,-0.0003490447998046875,1.9073486328125e-06,-8.149349212646484,-8.149349212646484,-8.149349212646484,-8.149349212646484,-8.806025505065918,0.0,0.0,0.0,0.6566762924194336,-0.6566762924194336,-0.6566762924194336,-0.0006208419799804688,-0.0006504058837890625,-0.00026988983154296875,0.6560573577880859,-0.6563272476196289,-0.6566781997680664,0.0006504058837890625
8,bnc_spoken.train.txt,Ġusually,105,106,27,-10.821859359741211,-10.82091236114502,-10.820539474487305,-10.821843147277832,-10.821839332580566,-0.0009469985961914062,-0.00131988525390625,-1.621246337890625e-05,-2.002716064453125e-05,3.814697265625e-06,-0.000926971435546875,-9.745418548583984,-9.745420455932617,-9.7454195022583,-9.745418548583984,-10.345024108886719,1.9073486328125e-06,9.5367431640625e-07,0.0,0.5996055603027344,-0.5996055603027344,-0.5996036529541016,0.0009489059448242188,0.0013208389282226562,1.621246337890625e-05,0.5996255874633789,-0.599609375,-0.5986766815185547,0.00131988525390625
9,bnc_spoken.train.txt,Ġlike,99,106,29,-6.067235946655273,-6.067287445068359,-6.067122459411621,-6.0672407150268555,-6.067239761352539,5.14984130859375e-05,-0.00011348724365234375,4.76837158203125e-06,3.814697265625e-06,9.5367431640625e-07,4.76837158203125e-05,-5.975749969482422,-5.975754261016846,-5.97575044631958,-5.975751876831055,-6.027535438537598,4.291534423828125e-06,4.76837158203125e-07,1.9073486328125e-06,0.05178546905517578,-0.05178356170654297,-0.05178117752075195,-4.7206878662109375e-05,0.00011396408081054688,-2.86102294921875e-06,0.051781654357910156,-0.051784515380859375,-0.051828861236572266,0.00011348724365234375
