case_id,source,target_token,prefix_tokens,later_tokens,target_idx,wwm_lp_full,wwm_lp_deleted,wwm_lp_shuffled,wwm_lp_unrelated,wwm_delta_deleted,wwm_delta_shuffled,wwm_delta_unrelated,wwm_spec_deleted_vs_unrelated,wwm_spec_shuffled_vs_unrelated,rtd_mlm_lp_full,rtd_mlm_lp_deleted,rtd_mlm_lp_shuffled,rtd_mlm_lp_unrelated,rtd_mlm_delta_deleted,rtd_mlm_delta_shuffled,rtd_mlm_delta_unrelated,rtd_mlm_spec_deleted_vs_unrelated,rtd_mlm_spec_shuffled_vs_unrelated,rtd_minus_wwm_delta_deleted,rtd_minus_wwm_delta_shuffled,rtd_minus_wwm_delta_unrelated,rtd_minus_wwm_spec_deleted_vs_unrelated,rtd_minus_wwm_spec_shuffled_vs_unrelated
0,bnc_spoken.train.txt,Ġemployed,97,114,28,-12.238832473754883,-12.238834381103516,-12.238831520080566,-12.238826751708984,1.9073486328125e-06,-9.5367431640625e-07,-5.7220458984375e-06,7.62939453125e-06,4.76837158203125e-06,-9.678171157836914,-9.69162368774414,-9.67829704284668,-9.675085067749023,0.013452529907226562,0.000125885009765625,-0.003086090087890625,0.016538619995117188,0.00321197509765625,0.01345062255859375,0.00012683868408203125,-0.0030803680419921875,0.016530990600585938,0.0032072067260742188
1,bnc_spoken.train.txt,ĠAnt,91,111,27,-13.281707763671875,-13.281688690185547,-13.28169059753418,-13.281749725341797,-1.9073486328125e-05,-1.71661376953125e-05,4.1961669921875e-05,-6.103515625e-05,-5.91278076171875e-05,-12.064058303833008,-12.084354400634766,-12.06430721282959,-12.11195182800293,0.020296096801757812,0.00024890899658203125,0.047893524169921875,-0.027597427368164062,-0.047644615173339844,0.020315170288085938,0.00026607513427734375,0.0478515625,-0.027536392211914062,-0.047585487365722656
2,bnc_spoken.train.txt,Ġfamiliar,100,104,29,-13.495777130126953,-13.495823860168457,-13.495841026306152,-13.49588394165039,4.673004150390625e-05,6.389617919921875e-05,0.0001068115234375,-6.008148193359375e-05,-4.291534423828125e-05,-12.609906196594238,-12.604878425598145,-12.609204292297363,-12.580880165100098,-0.00502777099609375,-0.000701904296875,-0.029026031494140625,0.023998260498046875,0.028324127197265625,-0.005074501037597656,-0.0007658004760742188,-0.029132843017578125,0.02405834197998047,0.028367042541503906
3,bnc_spoken.train.txt,Ġever,94,100,25,-8.651164054870605,-8.651129722595215,-8.65113353729248,-8.651166915893555,-3.4332275390625e-05,-3.0517578125e-05,2.86102294921875e-06,-3.719329833984375e-05,-3.337860107421875e-05,-8.820823669433594,-8.821020126342773,-8.821964263916016,-8.82179069519043,0.0001964569091796875,0.001140594482421875,0.0009670257568359375,-0.00077056884765625,0.0001735687255859375,0.0002307891845703125,0.001171112060546875,0.0009641647338867188,-0.0007333755493164062,0.00020694732666015625
4,bnc_spoken.train.txt,Ġeducation,88,91,22,-9.983810424804688,-9.984037399291992,-9.983806610107422,-9.983769416809082,0.0002269744873046875,-3.814697265625e-06,-4.100799560546875e-05,0.00026798248291015625,3.719329833984375e-05,-9.167996406555176,-9.195823669433594,-9.16756820678711,-9.171585083007812,0.02782726287841797,-0.00042819976806640625,0.0035886764526367188,0.02423858642578125,-0.004016876220703125,0.02760028839111328,-0.00042438507080078125,0.0036296844482421875,0.023970603942871094,-0.004054069519042969
5,bnc_spoken.train.txt,Ġfour,103,112,29,-6.641827583312988,-6.641823768615723,-6.641826629638672,-6.641794204711914,-3.814697265625e-06,-9.5367431640625e-07,-3.337860107421875e-05,2.956390380859375e-05,3.24249267578125e-05,-6.963624954223633,-6.9754109382629395,-6.9626030921936035,-6.951116561889648,0.01178598403930664,-0.0010218620300292969,-0.012508392333984375,0.024294376373291016,0.011486530303955078,0.011789798736572266,-0.0010209083557128906,-0.012475013732910156,0.024264812469482422,0.011454105377197266
6,bnc_spoken.train.txt,Ġsomething,85,91,23,-7.0399580001831055,-7.040585041046143,-7.039967060089111,-7.039941787719727,0.0006270408630371094,9.059906005859375e-06,-1.621246337890625e-05,0.0006432533264160156,2.5272369384765625e-05,-7.419335842132568,-7.419858932495117,-7.419350624084473,-7.419520378112793,0.0005230903625488281,1.4781951904296875e-05,0.00018453598022460938,0.00033855438232421875,-0.0001697540283203125,-0.00010395050048828125,5.7220458984375e-06,0.00020074844360351562,-0.0003046989440917969,-0.00019502639770507812
7,bnc_spoken.train.txt,Ġany,97,102,25,-6.628808975219727,-6.628812789916992,-6.628812313079834,-6.629195213317871,3.814697265625e-06,3.337860107421875e-06,0.00038623809814453125,-0.00038242340087890625,-0.0003829002380371094,-6.517167091369629,-6.504456996917725,-6.517444133758545,-6.502732753753662,-0.012710094451904297,0.0002770423889160156,-0.014434337615966797,0.0017242431640625,0.014711380004882812,-0.012713909149169922,0.00027370452880859375,-0.014820575714111328,0.0021066665649414062,0.015094280242919922
8,bnc_spoken.train.txt,Ġstreet,92,87,23,-8.980644226074219,-8.980623245239258,-8.98062515258789,-8.980901718139648,-2.09808349609375e-05,-1.9073486328125e-05,0.0002574920654296875,-0.000278472900390625,-0.0002765655517578125,-9.98696517944336,-9.976642608642578,-9.985127449035645,-9.984737396240234,-0.01032257080078125,-0.0018377304077148438,-0.002227783203125,-0.00809478759765625,0.00039005279541015625,-0.010301589965820312,-0.0018186569213867188,-0.0024852752685546875,-0.007816314697265625,0.0006666183471679688
9,bnc_spoken.train.txt,Ġexplain,98,94,23,-11.663622856140137,-11.666271209716797,-11.664558410644531,-11.663665771484375,0.0026483535766601562,0.0009355545043945312,4.291534423828125e-05,0.002605438232421875,0.00089263916015625,-10.244958877563477,-10.250821113586426,-10.244237899780273,-10.245296478271484,0.005862236022949219,-0.000720977783203125,0.0003376007080078125,0.005524635314941406,-0.0010585784912109375,0.0032138824462890625,-0.0016565322875976562,0.00029468536376953125,0.0029191970825195312,-0.0019512176513671875
