pair_id,origin,domains,source_words,second_words,view_content_recall,repeat_content_recall,supplied_content_recall,supplied_entity_recall,view_anchor_recall,repeat_anchor_recall,view_bigram_coverage,repeat_bigram_coverage,view_trigram_coverage,repeat_trigram_coverage,view_sequence_ratio,repeat_sequence_ratio,view_complete,repeat_complete,view_pronoun_shift,repeat_pronoun_shift,view_voice_shift,repeat_voice_shift,view_anchor_order_inversion,repeat_anchor_order_inversion,view_prep_shift,repeat_prep_shift,view_event_reexpression,repeat_event_reexpression,view_identity_variation,repeat_identity_variation,view_role_reexpression,repeat_role_reexpression,source_state_hits,view_state_hits,repeat_state_hits,source_property_hits,view_property_hits,repeat_property_hits,view_entity_signature_hits,repeat_entity_signature_hits
compact:frontier_consolidation_fwcompact_medium_046028,old_selected_1x_medium,science_physical,24,15,0.9,1.0,0.6923076923076923,1.0,1.0,0.0,0.5,0.9285714285714286,0.3076923076923077,0.8461538461538461,0.5128205128205128,0.5128205128205128,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
compact:frontier_consolidation_fwcompact_medium_030624,old_selected_1x_medium,no_domain,24,15,1.0,1.0,0.6153846153846154,1.0,nan,nan,0.6428571428571429,1.0,0.46153846153846156,1.0,0.6842105263157895,0.7567567567567568,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0
compact:frontier_consolidation_fwcompact_medium_035003,old_selected_1x_medium,no_domain,36,21,0.8571428571428571,1.0,0.6470588235294118,1.0,1.0,0.5,0.4,0.95,0.2631578947368421,0.8947368421052632,0.45614035087719296,0.49122807017543857,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,2,1,1,0
compact:frontier_consolidation_fwcompact_medium_031347,old_selected_1x_medium,science_physical,19,10,1.0,1.0,0.46153846153846156,1.0,1.0,0.0,0.3333333333333333,0.8888888888888888,0.125,0.75,0.5517241379310345,0.5517241379310345,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
compact:frontier_consolidation_fwcompact_medium_015071,old_selected_1x_medium,science_physical,23,11,0.6666666666666666,1.0,0.46153846153846156,1.0,1.0,0.0,0.18181818181818182,0.9090909090909091,0.0,0.8,0.3888888888888889,0.4444444444444444,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
compact:frontier_consolidation_fwcompact_medium_056778,old_selected_1x_medium,science_physical,21,13,0.7,1.0,0.6666666666666666,1.0,nan,0.0,0.3076923076923077,0.9166666666666666,0.16666666666666666,0.9090909090909091,0.5,0.6857142857142857,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1
compact:frontier_consolidation_fwcompact_medium_005391,old_selected_1x_medium,causal_relational|quant_numeric,27,20,0.9230769230769231,1.0,0.7333333333333333,1.0,1.0,0.75,0.7894736842105263,0.9473684210526315,0.6111111111111112,0.8888888888888888,0.6808510638297872,0.7659574468085106,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,2,2,1,0,0,0,1,1
compact:frontier_consolidation_fwcompact_medium_023863,old_selected_1x_medium,geography_places,23,10,0.7777777777777778,1.0,0.5833333333333334,1.0,0.5,0.5,0.3333333333333333,0.8888888888888888,0.0,0.75,0.24242424242424243,0.48484848484848486,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,3,1,1,2,0,1,0,0
compact:frontier_consolidation_fwcompact_medium_037105,old_selected_1x_medium,causal_relational,29,19,0.7272727272727273,1.0,0.5333333333333333,1.0,nan,0.0,0.5555555555555556,0.9444444444444444,0.35294117647058826,0.8823529411764706,0.625,0.5416666666666666,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
compact:frontier_consolidation_fwcompact_medium_012608,old_selected_1x_medium,no_domain,17,11,1.0,1.0,0.7,1.0,nan,0.0,0.6,0.9,0.3333333333333333,0.7777777777777778,0.6428571428571429,0.42857142857142855,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
compact:frontier_consolidation_fwcompact_medium_013869,old_selected_1x_medium,no_domain,31,20,1.0,1.0,0.9333333333333333,1.0,1.0,0.0,0.631578947368421,0.9473684210526315,0.3888888888888889,0.8888888888888888,0.5490196078431373,0.6666666666666666,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
compact:frontier_consolidation_fwcompact_medium_035424,old_selected_1x_medium,science_physical,24,14,0.8888888888888888,1.0,0.6153846153846154,1.0,nan,0.0,0.46153846153846156,0.9230769230769231,0.16666666666666666,0.9166666666666666,0.5789473684210527,0.6842105263157895,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
compact:frontier_consolidation_fwcompact_medium_009947,old_selected_1x_medium,no_domain,10,6,0.5,1.0,0.5,1.0,0.0,0.5,0.4,0.8,0.0,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
compact:frontier_consolidation_fwcompact_medium_014872,old_selected_1x_medium,quant_numeric,29,16,0.9166666666666666,1.0,0.5333333333333333,1.0,nan,nan,0.7058823529411765,1.0,0.5,1.0,0.6530612244897959,0.6808510638297872,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
compact:frontier_consolidation_fwcompact_medium_004256,old_selected_1x_medium,geography_places,15,10,1.0,1.0,0.75,1.0,1.0,nan,0.7,1.0,0.4444444444444444,1.0,0.4444444444444444,0.7692307692307693,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
compact:frontier_consolidation_fwcompact_medium_019309,old_selected_1x_medium,causal_relational|institutions_society,41,28,0.95,1.0,0.6923076923076923,0.8333333333333334,1.0,0.9090909090909091,0.6666666666666666,0.9629629629629629,0.46153846153846156,0.9230769230769231,0.5217391304347826,0.5507246376811594,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0
