group_type,group,arm,pairs,words,state_hits,state_per_1000,property_hits,property_per_1000,state_to_property_ratio
domain,causal_relational,view,2660,37709,950,25.19292476597099,213,5.6485189212124425,4.460093896713615
domain,causal_relational,repeat,2660,37709,828,21.95762284865682,489,12.967726537431382,1.6932515337423313
domain,geography_places,view,1834,27433,609,22.19954069915795,168,6.1240112273539165,3.625
domain,geography_places,repeat,1834,27433,515,18.773010607662304,291,10.607662304523748,1.7697594501718212
domain,institutions_society,view,2368,35431,760,21.45014253055234,188,5.306087889136632,4.042553191489362
domain,institutions_society,repeat,2368,35431,626,17.668143715954955,423,11.938697750557422,1.4799054373522458
domain,media_culture,view,832,12292,233,18.955418158151645,81,6.589651806052717,2.876543209876543
domain,media_culture,repeat,832,12292,211,17.165636186137323,134,10.901399284087212,1.5746268656716418
domain,no_domain,view,20838,250586,5841,23.309362853471463,2118,8.452188071161197,2.7577903682719547
domain,no_domain,repeat,20838,250586,4783,19.087259463816814,3664,14.62172667267924,1.3054039301310043
domain,people_history,view,790,12072,291,24.105367793240557,53,4.390324718356528,5.490566037735849
domain,people_history,repeat,790,12072,207,17.147117296222664,126,10.43737574552684,1.6428571428571428
domain,quant_numeric,view,2831,41736,852,20.414031052328923,247,5.91815219474794,3.4493927125506074
domain,quant_numeric,repeat,2831,41736,778,18.640981406938852,441,10.566417481311099,1.7641723356009071
domain,science_physical,view,3922,56829,1208,21.256752714283202,385,6.774710095197874,3.137662337662338
domain,science_physical,repeat,3922,56829,1000,17.596649597916556,753,13.250277147231166,1.3280212483399734
origin,medium_unused_accepted,view,5839,76707,1560,20.337126989714108,521,6.792078949769904,2.9942418426103647
origin,medium_unused_accepted,repeat,5839,76707,1324,17.26048470152659,770,10.03819729620504,1.7194805194805194
origin,old_selected_1x_medium,view,12155,161708,3479,21.514087119994063,1116,6.901328320182056,3.117383512544803
origin,old_selected_1x_medium,repeat,12155,161708,2801,17.321344645904965,1757,10.86526331412175,1.5941946499715425
origin,war_expansion_accepted,view,15297,189707,4733,24.949000300463346,1591,8.38661725713864,2.974858579509742
origin,war_expansion_accepted,repeat,15297,189707,3986,21.011349080424022,3295,17.368889919718303,1.209711684370258
