endpoint,word,child_aoa,model_aoa_log10_step,n_subword_tokens,n_points,first_step,last_step
control,airplane,20.857213364310372,7.041794803384003,1,12,1000000.0,30000000.0
control,animal,24.330089945071023,6.847640268862069,1,12,1000000.0,30000000.0
control,arm,21.99539913263884,6.8977771461450175,1,12,1000000.0,30000000.0
control,asleep,24.723574946808974,7.001358476991439,1,12,1000000.0,30000000.0
control,aunt,25.525525066233225,7.138846249987527,1,12,1000000.0,30000000.0
control,awake,25.8884576271836,7.03368123490646,1,12,1000000.0,30000000.0
control,backyard,27.587137860896238,7.294195627950892,2,12,1000000.0,30000000.0
control,bad,25.24613058723793,6.767849409093061,1,12,1000000.0,30000000.0
control,basket,26.039532817543783,7.123375084599845,1,12,1000000.0,30000000.0
control,bat,27.097241206641463,7.1616974050900835,1,12,1000000.0,30000000.0
control,bath,18.505566610748357,7.036116189910281,1,12,1000000.0,30000000.0
control,beach,26.499831193868143,7.002926900102238,1,12,1000000.0,30000000.0
control,bed,20.670831293608018,6.847240852363097,1,12,1000000.0,30000000.0
control,bedroom,25.160391755050476,6.814303490591112,1,12,1000000.0,30000000.0
control,better,27.4836269032841,6.177050149373433,1,12,1000000.0,30000000.0
control,bib,24.42989021903271,7.071380303970377,1,12,1000000.0,30000000.0
control,big,22.607359585163238,6.766295811470597,1,12,1000000.0,30000000.0
control,bird,18.06848056468084,6.783664071918494,1,12,1000000.0,30000000.0
control,bite,22.943816797389026,7.1734035713429565,1,12,1000000.0,30000000.0
control,black,25.804687037784696,6.791021696106416,1,12,1000000.0,30000000.0
control,block,21.984059781669306,7.299873438178085,1,12,1000000.0,30000000.0
control,blue,22.642599694308036,6.800708545466313,1,12,1000000.0,30000000.0
control,boat,21.092331322802426,6.787633436500394,1,12,1000000.0,30000000.0
control,boots,21.72477463112487,7.21823589640017,1,12,1000000.0,30000000.0
control,bottle,20.82785610568821,6.77831311453541,1,12,1000000.0,30000000.0
control,bottom,22.21268312207221,6.868772978828494,1,12,1000000.0,30000000.0
control,bowl,22.558643297425284,6.991336953784412,1,12,1000000.0,30000000.0
control,box,22.744450977282813,6.8448922868892295,1,12,1000000.0,30000000.0
control,boy,23.9923879977722,6.948168732459629,1,12,1000000.0,30000000.0
control,bread,22.252228192835148,7.298353881709596,1,12,1000000.0,30000000.0
control,break,25.062903657705817,6.877870534723769,1,12,1000000.0,30000000.0
control,breakfast,24.161838030910175,6.8826596419028965,1,12,1000000.0,30000000.0
control,bring,26.76659041051839,6.786593827713403,1,12,1000000.0,30000000.0
control,broken,23.62808164061539,7.1504303175660135,1,12,1000000.0,30000000.0
control,brother,27.4731814681999,6.904306659015062,1,12,1000000.0,30000000.0
control,brown,26.727189326690834,6.878577011297193,1,12,1000000.0,30000000.0
control,build,26.870721478274586,6.861371600453652,1,12,1000000.0,30000000.0
control,bus,20.85319790543193,6.79231706524138,1,12,1000000.0,30000000.0
control,butter,25.064198626684203,7.08488538028742,1,12,1000000.0,30000000.0
control,button,23.297598677811564,7.032948374200116,1,12,1000000.0,30000000.0
control,buy,27.89149822311601,6.843002116480016,1,12,1000000.0,30000000.0
control,cake,22.219009204871558,7.170307812227342,1,12,1000000.0,30000000.0
control,camera,25.871615597327157,6.821746912276205,1,12,1000000.0,30000000.0
control,candy,23.38912238818194,7.056695652294762,1,12,1000000.0,30000000.0
control,car,17.496796781553705,6.804825635156404,1,12,1000000.0,30000000.0
control,careful,26.38063961823633,6.825420552109719,1,12,1000000.0,30000000.0
control,carry,25.336988814569168,6.888600415674404,1,12,1000000.0,30000000.0
control,cat,18.228507346753123,6.912722798085997,1,12,1000000.0,30000000.0
control,catch,25.372205870213676,6.949783024753164,1,12,1000000.0,30000000.0
control,cereal,22.708870905740664,7.415844690151349,1,12,1000000.0,30000000.0
control,chair,21.225459750312105,7.0169674190658755,1,12,1000000.0,30000000.0
control,cheek,23.2702739213262,7.225141578915691,1,12,1000000.0,30000000.0
control,cheerios,24.062888534669234,7.274843436992105,2,12,1000000.0,30000000.0
control,chocolate,24.58033128800783,7.11383324063434,1,12,1000000.0,30000000.0
control,climb,25.58444891978825,7.083097894694771,1,12,1000000.0,30000000.0
control,clock,23.99618230263423,7.0756230630531665,1,12,1000000.0,30000000.0
control,close,24.519368084825462,6.48571332031128,1,12,1000000.0,30000000.0
control,coat,22.922576688186258,7.074251054576936,1,12,1000000.0,30000000.0
control,coffee,24.665622637597178,7.0247390521686,1,12,1000000.0,30000000.0
control,cold,21.557924255355925,6.937477732324332,1,12,1000000.0,30000000.0
control,comb,25.991290549889374,7.007763559370102,1,12,1000000.0,30000000.0
control,cook,25.150438741536785,7.167999885702217,1,12,1000000.0,30000000.0
control,corn,24.30521021007631,7.2950122589932525,1,12,1000000.0,30000000.0
control,couch,24.274913544484477,6.767345265819089,1,12,1000000.0,30000000.0
control,cover,29.120587673006845,6.9959063286522625,1,12,1000000.0,30000000.0
control,cry,23.357992706748902,6.832514034215693,1,12,1000000.0,30000000.0
control,cup,20.04657761410228,7.0247896320802266,1,12,1000000.0,30000000.0
control,cut,26.48415491454615,7.090003207160449,1,12,1000000.0,30000000.0
control,day,28.57030413820359,6.785232320380633,1,12,1000000.0,30000000.0
control,dinner,24.335488629604637,6.9748444039433215,1,12,1000000.0,30000000.0
control,dish,28.392517499821075,7.325926926329971,1,12,1000000.0,30000000.0
control,doctor,25.058857514368704,6.843889458002399,1,12,1000000.0,30000000.0
control,doll,23.083057299428276,6.933356966784391,1,12,1000000.0,30000000.0
control,door,21.094330119099542,6.772640001685516,1,12,1000000.0,30000000.0
control,draw,25.332147277029616,7.063889144372073,1,12,1000000.0,30000000.0
control,drawer,28.011508334888347,7.082293780268893,1,12,1000000.0,30000000.0
control,drive,25.239924635828906,7.025010830991879,1,12,1000000.0,30000000.0
control,drop,26.122703160314753,7.026774432626929,1,12,1000000.0,30000000.0
control,ear,18.557045885439496,6.865182449831633,1,12,1000000.0,30000000.0
control,eat,20.38286318166485,7.067938649008319,1,12,1000000.0,30000000.0
control,egg,21.979637752951344,7.165213883440508,1,12,1000000.0,30000000.0
control,eye,17.56441529060678,6.891881297002771,1,12,1000000.0,30000000.0
control,face,23.708999528999072,6.28000553416274,1,12,1000000.0,30000000.0
control,fall,23.398800241984326,6.900026884197307,1,12,1000000.0,30000000.0
control,farm,28.02073014859909,6.943464609009253,1,12,1000000.0,30000000.0
control,fast,25.50491253156236,6.679997035144916,1,12,1000000.0,30000000.0
control,feed,27.19892571562119,7.029843302177482,1,12,1000000.0,30000000.0
control,find,25.64249106636554,6.757912365164002,1,12,1000000.0,30000000.0
control,finger,21.849311819029033,6.8031676373579675,1,12,1000000.0,30000000.0
control,finish,27.879604149197586,7.210530639825897,1,12,1000000.0,30000000.0
control,first,28.986200167021508,6.219731679655043,1,12,1000000.0,30000000.0
control,fit,29.91292643388448,7.1595478279201785,1,12,1000000.0,30000000.0
control,fix,25.022576246429,7.007426441502832,1,12,1000000.0,30000000.0
control,flag,27.41475309249198,7.036336652190529,1,12,1000000.0,30000000.0
control,flower,21.001766818807774,6.956111726061194,1,12,1000000.0,30000000.0
control,food,23.482138731792105,6.935158284633596,1,12,1000000.0,30000000.0
control,foot,21.095607950124922,6.911256627028339,1,12,1000000.0,30000000.0
control,friend,26.671894161677375,6.810561892631578,1,12,1000000.0,30000000.0
control,game,26.554617597246853,6.938283654488839,1,12,1000000.0,30000000.0
control,garage,27.447544584468154,7.317400003893695,1,12,1000000.0,30000000.0
control,get,24.364636413972246,6.701658479608453,1,12,1000000.0,30000000.0
control,girl,24.667729430346036,6.82561258967901,1,12,1000000.0,30000000.0
control,give,25.598843914428592,6.722652500236225,1,12,1000000.0,30000000.0
control,glass,26.12412706803039,6.94108871222761,1,12,1000000.0,30000000.0
control,glasses,23.829833304182998,7.291179457943103,1,12,1000000.0,30000000.0
control,gloves,27.18554578254517,7.204272629818322,1,12,1000000.0,30000000.0
control,go,19.7106217091394,6.502431975601951,1,12,1000000.0,30000000.0
control,grandpa,18.888869147169988,7.163123016466264,1,12,1000000.0,30000000.0
control,grass,23.607923804559615,6.591638539495575,1,12,1000000.0,30000000.0
control,green,24.21157425029654,6.846960714896573,1,12,1000000.0,30000000.0
control,hair,19.9970789541941,6.8968074274351086,1,12,1000000.0,30000000.0
control,hammer,26.73579634805976,7.354216134709983,1,12,1000000.0,30000000.0
control,hand,21.18568722469747,6.772612923880118,1,12,1000000.0,30000000.0
control,happy,23.945755954119555,6.813830067680654,1,12,1000000.0,30000000.0
control,hard,28.11969960472,6.774071121291152,1,12,1000000.0,30000000.0
control,hat,18.89138270526583,6.8740912665283345,1,12,1000000.0,30000000.0
control,have,25.902575376900778,6.126562850421264,1,12,1000000.0,30000000.0
control,head,21.410556416835345,6.606232209116284,1,12,1000000.0,30000000.0
control,hear,26.993574492322516,6.796059576286164,1,12,1000000.0,30000000.0
control,heavy,24.999180520722337,6.745471131816973,1,12,1000000.0,30000000.0
control,help,22.549129293001915,6.780134227396943,1,12,1000000.0,30000000.0
control,hide,25.18501031653013,6.8596369882564385,1,12,1000000.0,30000000.0
control,high,26.708808302132432,6.8380180351438655,1,12,1000000.0,30000000.0
control,hit,24.603751287542018,7.277222608909526,1,12,1000000.0,30000000.0
control,hold,25.248945239146906,6.876454794213496,1,12,1000000.0,30000000.0
control,home,21.78006375395454,6.489122841642989,1,12,1000000.0,30000000.0
control,horse,21.207865708611973,6.834598719012747,1,12,1000000.0,30000000.0
control,hose,28.234924324341566,6.886621117910888,2,12,1000000.0,30000000.0
control,hot,18.922355478495714,6.96329882802031,1,12,1000000.0,30000000.0
control,house,23.090503002489797,6.756510509082271,1,12,1000000.0,30000000.0
control,hurry,27.95475143625973,7.033483152975322,1,12,1000000.0,30000000.0
control,hurt,24.746533842465965,6.78959290096369,1,12,1000000.0,30000000.0
control,ice,23.464365625838706,6.907366496573917,1,12,1000000.0,30000000.0
control,jacket,23.477574623889407,7.16451848091145,1,12,1000000.0,30000000.0
control,jeans,28.96130506431679,6.93892128146639,2,12,1000000.0,30000000.0
control,juice,19.337110489192803,7.21265182855282,1,12,1000000.0,30000000.0
control,jump,22.877728721484658,6.9053404529016715,1,12,1000000.0,30000000.0
control,kiss,21.57034386718253,6.989795741002986,1,12,1000000.0,30000000.0
control,knife,25.31616693081719,6.980177230782739,1,12,1000000.0,30000000.0
control,knock,26.086781584080928,7.008134664750783,1,12,1000000.0,30000000.0
control,later,28.08468448252086,6.598577204513575,1,12,1000000.0,30000000.0
control,leg,22.967834744581136,6.935113334685632,1,12,1000000.0,30000000.0
control,lick,27.831628726846333,6.916316574326878,2,12,1000000.0,30000000.0
