mode,word,delta_exp_1M,delta_exp_2M,child_aoa,childes_logfreq,whole_logfreq
source_childes_only_then_current,put,1871.0,3672.0,26.847988805835868,8.021962568335118,7.124482288250216
source_childes_only_then_current,like,1618.4625,3205.0,25.75007721668643,8.39985910501987,7.952476164256436
source_childes_only_then_current,see,1598.0,3157.1375,23.26497097971234,8.208395569017808,7.6188430602245445
source_childes_only_then_current,go,1489.0,3094.1375,19.7106217091394,8.247803201271969,7.733992192149176
source_childes_only_then_current,mommy,1490.0,3025.0,,7.626455930350997,6.302261769097063
source_childes_only_then_current,look,1193.0,2290.0,24.098423511314476,7.780686376934893,7.14748452410013
source_childes_only_then_current,get,960.0,1950.0,24.364636413972246,8.04227475150112,7.6429580928170475
source_childes_only_then_current,eat,968.95,1857.0,20.38286318166485,7.331113266273134,6.2681583439782855
source_childes_only_then_current,baby,817.0,1669.0,,7.175692297978997,6.21861007980149
source_childes_only_then_current,play,817.0,1614.0,22.7220598630656,7.207273408240402,6.2902812735777855
source_childes_only_then_current,big,734.0,1560.0,22.607359585163238,7.265422010189091,6.499644173307944
source_childes_only_then_current,book,633.0,1168.0,,6.978649343360932,6.172337137990999
source_childes_only_then_current,people,-615.0,-1147.8625000000002,27.729170763166103,6.404745353268232,7.132980661780615
source_childes_only_then_current,time,-570.0,-1179.0,,6.927813891533989,7.378511749771549
source_childes_only_then_current,hungry,538.0,1133.0,24.654359259781693,6.722314153130227,5.572933196231209
source_childes_only_then_current,make,501.0,960.0,26.76673663101711,7.3972868419386195,7.0313038839767765
source_childes_only_then_current,good,532.0,854.2750000000001,24.339939004434495,7.600181777990932,7.357941968329268
source_childes_only_then_current,daddy,479.0,959.0,,6.583093192468943,5.536566255637849
source_childes_only_then_current,read,494.0,923.0,23.095216853951683,6.73485758023231,5.9181005289211
source_childes_only_then_current,yellow,489.0,862.0,23.813112283182036,6.53013136649,5.506976523661272
source_childes_only_then_current,first,-471.0,-872.0,28.986200167021508,6.618980001647649,7.050300301516208
source_childes_only_then_current,have,-436.0,-924.0,25.902575376900778,8.291184240371877,8.416511711975142
source_childes_only_then_current,stick,468.0,848.0,24.602147570761282,6.508367098579312,5.429367558538547
source_childes_only_then_current,bear,463.0,809.0,20.255559869502484,6.498474957747266,5.4672370176518
source_childes_only_then_current,new,-409.0,-910.8625,28.840785987993776,5.949930372666764,6.741116108230288
source_childes_only_then_current,write,418.0,878.0,28.395648019984414,6.570657574939623,5.5861431786687765
source_childes_only_then_current,table,428.0,847.0,23.623454640728905,6.546427981822358,5.630871222045353
source_childes_only_then_current,dog,424.0,852.0,,6.633390585291819,5.781684431017422
source_childes_only_then_current,car,437.0,807.0,17.496796781553705,6.62156859774509,5.896343099492617
source_childes_only_then_current,ball,392.0,803.0,,6.376740527463105,5.355193796189734
source_childes_only_then_current,black,395.0,771.0,25.804687037784696,6.698661765079163,6.04335703694208
source_childes_only_then_current,cat,359.0,784.0,18.228507346753123,6.389211563037923,5.3447476054258445
source_childes_only_then_current,nice,376.0,723.0,25.83342302182803,6.645579355069875,6.035493394175703
source_childes_only_then_current,old,-367.0,-731.0,,5.629342642087174,6.566538806248726
source_childes_only_then_current,tape,349.0,758.1375,26.896831500589155,6.3027367025279215,5.141692795841268
source_childes_only_then_current,sit,326.0,742.0,21.993039748466675,6.420673822302685,5.566453403781075
source_childes_only_then_current,milk,360.0,631.0,18.255048075517685,6.248671456845309,5.192428933788718
source_childes_only_then_current,say,337.0,642.0,27.143040225343398,7.261067136062021,7.005158720929226
source_childes_only_then_current,think,276.0,655.0,,7.608888336748274,7.4157799838344545
source_childes_only_then_current,food,280.0,628.0,23.482138731792105,6.401528985631022,5.749408909348354
source_childes_first,put,1871.0,3672.0,26.847988805835868,8.021962568335118,7.124482288250216
source_childes_first,like,1618.4625,3205.0,25.75007721668643,8.39985910501987,7.952476164256436
source_childes_first,see,1598.0,3157.1375,23.26497097971234,8.208395569017808,7.6188430602245445
source_childes_first,go,1489.0,3094.1375,19.7106217091394,8.247803201271969,7.733992192149176
source_childes_first,mommy,1490.0,3025.0,,7.626455930350997,6.302261769097063
source_childes_first,look,1193.0,2290.0,24.098423511314476,7.780686376934893,7.14748452410013
source_childes_first,get,960.0,1950.0,24.364636413972246,8.04227475150112,7.6429580928170475
source_childes_first,eat,968.95,1857.0,20.38286318166485,7.331113266273134,6.2681583439782855
source_childes_first,baby,817.0,1669.0,,7.175692297978997,6.21861007980149
source_childes_first,play,817.0,1614.0,22.7220598630656,7.207273408240402,6.2902812735777855
source_childes_first,big,734.0,1560.0,22.607359585163238,7.265422010189091,6.499644173307944
source_childes_first,book,633.0,1168.0,,6.978649343360932,6.172337137990999
source_childes_first,people,-615.0,-1147.8625000000002,27.729170763166103,6.404745353268232,7.132980661780615
source_childes_first,time,-570.0,-1179.0,,6.927813891533989,7.378511749771549
source_childes_first,hungry,538.0,1133.0,24.654359259781693,6.722314153130227,5.572933196231209
source_childes_first,make,501.0,960.0,26.76673663101711,7.3972868419386195,7.0313038839767765
source_childes_first,good,532.0,854.2750000000001,24.339939004434495,7.600181777990932,7.357941968329268
source_childes_first,daddy,479.0,959.0,,6.583093192468943,5.536566255637849
source_childes_first,read,494.0,923.0,23.095216853951683,6.73485758023231,5.9181005289211
source_childes_first,yellow,489.0,862.0,23.813112283182036,6.53013136649,5.506976523661272
source_childes_first,first,-471.0,-872.0,28.986200167021508,6.618980001647649,7.050300301516208
source_childes_first,have,-436.0,-924.0,25.902575376900778,8.291184240371877,8.416511711975142
source_childes_first,stick,468.0,848.0,24.602147570761282,6.508367098579312,5.429367558538547
source_childes_first,bear,463.0,809.0,20.255559869502484,6.498474957747266,5.4672370176518
source_childes_first,new,-409.0,-910.8625,28.840785987993776,5.949930372666764,6.741116108230288
source_childes_first,write,418.0,878.0,28.395648019984414,6.570657574939623,5.5861431786687765
source_childes_first,table,428.0,847.0,23.623454640728905,6.546427981822358,5.630871222045353
source_childes_first,dog,424.0,852.0,,6.633390585291819,5.781684431017422
source_childes_first,car,437.0,807.0,17.496796781553705,6.62156859774509,5.896343099492617
source_childes_first,ball,392.0,803.0,,6.376740527463105,5.355193796189734
source_childes_first,black,395.0,771.0,25.804687037784696,6.698661765079163,6.04335703694208
source_childes_first,cat,359.0,784.0,18.228507346753123,6.389211563037923,5.3447476054258445
source_childes_first,nice,376.0,723.0,25.83342302182803,6.645579355069875,6.035493394175703
source_childes_first,old,-367.0,-731.0,,5.629342642087174,6.566538806248726
source_childes_first,tape,349.0,758.1375,26.896831500589155,6.3027367025279215,5.141692795841268
source_childes_first,sit,326.0,742.0,21.993039748466675,6.420673822302685,5.566453403781075
source_childes_first,milk,360.0,631.0,18.255048075517685,6.248671456845309,5.192428933788718
source_childes_first,say,337.0,642.0,27.143040225343398,7.261067136062021,7.005158720929226
source_childes_first,think,276.0,655.0,,7.608888336748274,7.4157799838344545
source_childes_first,food,280.0,628.0,23.482138731792105,6.401528985631022,5.749408909348354
sort__childes_freq,have,4923.862499999999,7850.887500000001,25.902575376900778,8.291184240371877,8.416511711975142
sort__childes_freq,like,2739.4625,4834.0,25.75007721668643,8.39985910501987,7.952476164256436
sort__childes_freq,go,2066.175,3799.1375,19.7106217091394,8.247803201271969,7.733992192149176
sort__childes_freq,see,1663.0,2921.0249999999996,23.26497097971234,8.208395569017808,7.6188430602245445
sort__childes_freq,think,1635.8625000000002,2832.8875,,7.608888336748274,7.4157799838344545
sort__childes_freq,get,1480.0,2874.0,24.364636413972246,8.04227475150112,7.6429580928170475
sort__childes_freq,look,836.0,1657.0,24.098423511314476,7.780686376934893,7.14748452410013
sort__childes_freq,good,634.8625000000002,1513.1625,24.339939004434495,7.600181777990932,7.357941968329268
sort__childes_freq,put,671.0,1355.0,26.847988805835868,8.021962568335118,7.124482288250216
sort__childes_freq,say,615.0,1163.0,27.143040225343398,7.261067136062021,7.005158720929226
sort__childes_freq,make,427.0,963.0,26.76673663101711,7.3972868419386195,7.0313038839767765
sort__childes_freq,new,-455.0,-783.8625,28.840785987993776,5.949930372666764,6.741116108230288
sort__childes_freq,old,-421.0,-715.0,,5.629342642087174,6.566538806248726
sort__childes_freq,day,-379.0,-493.7249999999999,28.57030413820359,6.327324362435809,6.75868085978167
sort__childes_freq,night,-367.0,-505.0,24.482917590787725,6.07085159485008,6.329373251515157
sort__childes_freq,first,-334.0,-420.0,28.986200167021508,6.618980001647649,7.050300301516208
sort__childes_freq,take,210.3499999999999,647.0,26.912440144087405,7.147369047691428,6.954261885436218
sort__childes_freq,white,-270.0,-487.0,26.40244979152026,5.391111291718112,5.726864034099522
sort__childes_freq,home,-341.51250000000005,-304.0,21.78006375395454,6.673945816250395,6.5919548996104025
sort__childes_freq,face,-269.0,-431.0,23.708999528999072,5.228087334055585,5.802435545617071
