mode,word,actual_1M,candidate_1M,actual_2M,candidate_2M,actual_10M,candidate_10M
source_childes_only_then_current,airplane,55.0,210.0,99.0,403.0,606.0,606.0
source_childes_only_then_current,dog,327.0,751.0,660.0,1512.0,3243.0,3243.0
source_childes_only_then_current,mommy,578.0,2068.0,1067.0,4092.0,5458.0,5458.0
source_childes_only_then_current,car,336.0,773.0,728.0,1535.0,3637.0,3637.0
source_childes_only_then_current,book,424.0,1057.0,944.0,2112.0,4793.0,4793.0
source_childes_only_then_current,zoo,51.0,118.0,93.0,250.0,523.0,523.0
source_childes_only_then_current,bath,80.0,178.0,133.0,320.0,566.0,566.0
source_childes_only_then_current,spaghetti,22.0,51.0,28.0,106.0,166.0,166.0
source_childes_first,airplane,55.0,210.0,99.0,403.0,606.0,606.0
source_childes_first,dog,327.0,751.0,660.0,1512.0,3243.0,3243.0
source_childes_first,mommy,578.0,2068.0,1067.0,4092.0,5458.0,5458.0
source_childes_first,car,336.0,773.0,728.0,1535.0,3637.0,3637.0
source_childes_first,book,424.0,1057.0,944.0,2112.0,4793.0,4793.0
source_childes_first,zoo,51.0,118.0,93.0,250.0,523.0,523.0
source_childes_first,bath,80.0,178.0,133.0,320.0,566.0,566.0
source_childes_first,spaghetti,22.0,51.0,28.0,106.0,166.0,166.0
sort__childes_freq,airplane,55.0,30.0,99.0,73.0,606.0,606.0
sort__childes_freq,dog,327.0,164.0,660.0,430.0,3243.0,3243.0
sort__childes_freq,mommy,578.0,647.0,1067.0,1404.0,5458.0,5458.0
sort__childes_freq,car,336.0,285.0,728.0,768.0,3637.0,3637.0
sort__childes_freq,book,424.0,407.0,944.0,1121.0,4793.0,4793.0
sort__childes_freq,zoo,51.0,7.0,93.0,32.0,523.0,523.0
sort__childes_freq,bath,80.0,11.0,133.0,36.0,566.0,566.0
sort__childes_freq,spaghetti,22.0,1.0,28.0,10.0,166.0,166.0
sort__childes_ratio,airplane,55.0,341.0,99.0,503.0,606.0,606.0
sort__childes_ratio,dog,327.0,1112.0,660.0,1775.0,3243.0,3243.0
sort__childes_ratio,mommy,578.0,2996.0,1067.0,4496.0,5458.0,5458.0
sort__childes_ratio,car,336.0,706.0,728.0,1579.0,3637.0,3637.0
sort__childes_ratio,book,424.0,1518.0,944.0,2493.0,4793.0,4793.0
sort__childes_ratio,zoo,51.0,277.0,93.0,400.0,523.0,523.0
sort__childes_ratio,bath,80.0,237.0,133.0,365.0,566.0,566.0
sort__childes_ratio,spaghetti,22.0,104.0,28.0,149.0,166.0,166.0
sort__spoken_freq,airplane,55.0,22.0,99.0,47.0,606.0,606.0
sort__spoken_freq,dog,327.0,112.0,660.0,346.0,3243.0,3243.0
sort__spoken_freq,mommy,578.0,484.0,1067.0,1121.0,5458.0,5458.0
sort__spoken_freq,car,336.0,267.0,728.0,691.0,3637.0,3637.0
sort__spoken_freq,book,424.0,326.0,944.0,879.0,4793.0,4793.0
sort__spoken_freq,zoo,51.0,5.0,93.0,24.0,523.0,523.0
sort__spoken_freq,bath,80.0,9.0,133.0,27.0,566.0,566.0
sort__spoken_freq,spaghetti,22.0,1.0,28.0,6.0,166.0,166.0
sort__childes_composite,airplane,55.0,63.0,99.0,176.0,606.0,606.0
sort__childes_composite,dog,327.0,307.0,660.0,773.0,3243.0,3243.0
sort__childes_composite,mommy,578.0,1383.0,1067.0,2482.0,5458.0,5458.0
sort__childes_composite,car,336.0,479.0,728.0,1072.0,3637.0,3637.0
sort__childes_composite,book,424.0,810.0,944.0,1689.0,4793.0,4793.0
sort__childes_composite,zoo,51.0,18.0,93.0,61.0,523.0,523.0
sort__childes_composite,bath,80.0,23.0,133.0,98.0,566.0,566.0
sort__childes_composite,spaghetti,22.0,9.0,28.0,34.0,166.0,166.0
sort__cdi_density,airplane,55.0,302.0,99.0,410.0,606.0,606.0
sort__cdi_density,dog,327.0,1177.0,660.0,1797.0,3243.0,3243.0
sort__cdi_density,mommy,578.0,2585.0,1067.0,3787.0,5458.0,5458.0
sort__cdi_density,car,336.0,1088.0,728.0,1698.0,3637.0,3637.0
sort__cdi_density,book,424.0,1312.0,944.0,2078.0,4793.0,4793.0
sort__cdi_density,zoo,51.0,239.0,93.0,323.0,523.0,523.0
sort__cdi_density,bath,80.0,262.0,133.0,343.0,566.0,566.0
sort__cdi_density,spaghetti,22.0,79.0,28.0,134.0,166.0,166.0
sort__whole_freq,airplane,55.0,2.0,99.0,22.0,606.0,606.0
sort__whole_freq,dog,327.0,69.0,660.0,176.3625,3243.0,3243.0
sort__whole_freq,mommy,578.0,99.0,1067.0,318.0,5458.0,5458.0
sort__whole_freq,car,336.0,124.0,728.0,380.0,3637.0,3637.0
sort__whole_freq,book,424.0,128.0,944.0,491.725,4793.0,4793.0
sort__whole_freq,zoo,51.0,3.0,93.0,6.0,523.0,523.0
sort__whole_freq,bath,80.0,0.0,133.0,8.0,566.0,566.0
sort__whole_freq,spaghetti,22.0,0.0,28.0,1.0,166.0,166.0
source_written_first_control,airplane,55.0,6.0,99.0,17.0,606.0,606.0
source_written_first_control,dog,327.0,312.0,660.0,528.0,3243.0,3243.0
source_written_first_control,mommy,578.0,0.0,1067.0,4.0,5458.0,5458.0
source_written_first_control,car,336.0,97.0,728.0,181.0,3637.0,3637.0
source_written_first_control,book,424.0,273.0,944.0,517.0,4793.0,4793.0
source_written_first_control,zoo,51.0,13.0,93.0,36.0,523.0,523.0
source_written_first_control,bath,80.0,14.0,133.0,43.0,566.0,566.0
source_written_first_control,spaghetti,22.0,0.0,28.0,2.0,166.0,166.0
sort__child_early,airplane,55.0,268.0,99.0,427.0,606.0,606.0
sort__child_early,dog,327.0,857.0,660.0,1383.0,3243.0,3243.0
sort__child_early,mommy,578.0,1004.60625,1067.0,2057.0,5458.0,5458.0
sort__child_early,car,336.0,1673.0,728.0,2414.0,3637.0,3637.0
sort__child_early,book,424.0,674.0,944.0,1300.0,4793.0,4793.0
sort__child_early,zoo,51.0,32.0,93.0,107.0,523.0,523.0
sort__child_early,bath,80.0,244.0,133.0,375.0,566.0,566.0
sort__child_early,spaghetti,22.0,24.0,28.0,61.0,166.0,166.0
