mode,word,actual_1M,candidate_1M,actual_2M,candidate_2M,actual_10M,candidate_10M
source_childes_only_then_current,airplane,23.0,23.0,23.0,23.0,23.0,23.0
source_childes_only_then_current,dog,89.0,89.0,89.0,89.0,89.0,89.0
source_childes_only_then_current,mommy,190.0,190.0,190.0,190.0,190.0,190.0
source_childes_only_then_current,car,97.0,97.0,97.0,97.0,97.0,97.0
source_childes_only_then_current,book,145.0,145.0,145.0,145.0,145.0,145.0
source_childes_only_then_current,zoo,6.0,6.0,6.0,6.0,6.0,6.0
source_childes_only_then_current,bath,32.0,32.0,32.0,32.0,32.0,32.0
source_childes_only_then_current,spaghetti,1.0,1.0,1.0,1.0,1.0,1.0
source_childes_first,airplane,23.0,23.0,23.0,23.0,23.0,23.0
source_childes_first,dog,89.0,89.0,89.0,89.0,89.0,89.0
source_childes_first,mommy,190.0,190.0,190.0,190.0,190.0,190.0
source_childes_first,car,97.0,97.0,97.0,97.0,97.0,97.0
source_childes_first,book,145.0,145.0,145.0,145.0,145.0,145.0
source_childes_first,zoo,6.0,6.0,6.0,6.0,6.0,6.0
source_childes_first,bath,32.0,32.0,32.0,32.0,32.0,32.0
source_childes_first,spaghetti,1.0,1.0,1.0,1.0,1.0,1.0
sort__childes_freq,airplane,23.0,23.0,23.0,23.0,23.0,23.0
sort__childes_freq,dog,89.0,89.0,89.0,89.0,89.0,89.0
sort__childes_freq,mommy,190.0,190.0,190.0,190.0,190.0,190.0
sort__childes_freq,car,97.0,97.0,97.0,97.0,97.0,97.0
sort__childes_freq,book,145.0,145.0,145.0,145.0,145.0,145.0
sort__childes_freq,zoo,6.0,6.0,6.0,6.0,6.0,6.0
sort__childes_freq,bath,32.0,32.0,32.0,32.0,32.0,32.0
sort__childes_freq,spaghetti,1.0,1.0,1.0,1.0,1.0,1.0
sort__childes_ratio,airplane,23.0,23.0,23.0,23.0,23.0,23.0
sort__childes_ratio,dog,89.0,89.0,89.0,89.0,89.0,89.0
sort__childes_ratio,mommy,190.0,190.0,190.0,190.0,190.0,190.0
sort__childes_ratio,car,97.0,97.0,97.0,97.0,97.0,97.0
sort__childes_ratio,book,145.0,145.0,145.0,145.0,145.0,145.0
sort__childes_ratio,zoo,6.0,6.0,6.0,6.0,6.0,6.0
sort__childes_ratio,bath,32.0,32.0,32.0,32.0,32.0,32.0
sort__childes_ratio,spaghetti,1.0,1.0,1.0,1.0,1.0,1.0
sort__spoken_freq,airplane,23.0,23.0,23.0,23.0,23.0,23.0
sort__spoken_freq,dog,89.0,89.0,89.0,89.0,89.0,89.0
sort__spoken_freq,mommy,190.0,190.0,190.0,190.0,190.0,190.0
sort__spoken_freq,car,97.0,97.0,97.0,97.0,97.0,97.0
sort__spoken_freq,book,145.0,145.0,145.0,145.0,145.0,145.0
sort__spoken_freq,zoo,6.0,6.0,6.0,6.0,6.0,6.0
sort__spoken_freq,bath,32.0,32.0,32.0,32.0,32.0,32.0
sort__spoken_freq,spaghetti,1.0,1.0,1.0,1.0,1.0,1.0
sort__childes_composite,airplane,23.0,23.0,23.0,23.0,23.0,23.0
sort__childes_composite,dog,89.0,89.0,89.0,89.0,89.0,89.0
sort__childes_composite,mommy,190.0,190.0,190.0,190.0,190.0,190.0
sort__childes_composite,car,97.0,97.0,97.0,97.0,97.0,97.0
sort__childes_composite,book,145.0,145.0,145.0,145.0,145.0,145.0
sort__childes_composite,zoo,6.0,6.0,6.0,6.0,6.0,6.0
sort__childes_composite,bath,32.0,32.0,32.0,32.0,32.0,32.0
sort__childes_composite,spaghetti,1.0,1.0,1.0,1.0,1.0,1.0
sort__cdi_density,airplane,23.0,23.0,23.0,23.0,23.0,23.0
sort__cdi_density,dog,89.0,89.0,89.0,89.0,89.0,89.0
sort__cdi_density,mommy,190.0,190.0,190.0,190.0,190.0,190.0
sort__cdi_density,car,97.0,97.0,97.0,97.0,97.0,97.0
sort__cdi_density,book,145.0,145.0,145.0,145.0,145.0,145.0
sort__cdi_density,zoo,6.0,6.0,6.0,6.0,6.0,6.0
sort__cdi_density,bath,32.0,32.0,32.0,32.0,32.0,32.0
sort__cdi_density,spaghetti,1.0,1.0,1.0,1.0,1.0,1.0
sort__whole_freq,airplane,23.0,23.0,23.0,23.0,23.0,23.0
sort__whole_freq,dog,89.0,89.0,89.0,89.0,89.0,89.0
sort__whole_freq,mommy,190.0,190.0,190.0,190.0,190.0,190.0
sort__whole_freq,car,97.0,97.0,97.0,97.0,97.0,97.0
sort__whole_freq,book,145.0,145.0,145.0,145.0,145.0,145.0
sort__whole_freq,zoo,6.0,6.0,6.0,6.0,6.0,6.0
sort__whole_freq,bath,32.0,32.0,32.0,32.0,32.0,32.0
sort__whole_freq,spaghetti,1.0,1.0,1.0,1.0,1.0,1.0
source_written_first_control,airplane,23.0,23.0,23.0,23.0,23.0,23.0
source_written_first_control,dog,89.0,89.0,89.0,89.0,89.0,89.0
source_written_first_control,mommy,190.0,190.0,190.0,190.0,190.0,190.0
source_written_first_control,car,97.0,97.0,97.0,97.0,97.0,97.0
source_written_first_control,book,145.0,145.0,145.0,145.0,145.0,145.0
source_written_first_control,zoo,6.0,6.0,6.0,6.0,6.0,6.0
source_written_first_control,bath,32.0,32.0,32.0,32.0,32.0,32.0
source_written_first_control,spaghetti,1.0,1.0,1.0,1.0,1.0,1.0
sort__child_early,airplane,23.0,23.0,23.0,23.0,23.0,23.0
sort__child_early,dog,89.0,89.0,89.0,89.0,89.0,89.0
sort__child_early,mommy,190.0,190.0,190.0,190.0,190.0,190.0
sort__child_early,car,97.0,97.0,97.0,97.0,97.0,97.0
sort__child_early,book,145.0,145.0,145.0,145.0,145.0,145.0
sort__child_early,zoo,6.0,6.0,6.0,6.0,6.0,6.0
sort__child_early,bath,32.0,32.0,32.0,32.0,32.0,32.0
sort__child_early,spaghetti,1.0,1.0,1.0,1.0,1.0,1.0
