mode,word,pred_model_aoa,pred_model_status,measured_model_aoa,child_aoa,oracle_only
current,airplane,7.128999109174602,ok,,20.857213364310372,0
current,animal,7.019592388779804,ok,,24.330089945071023,0
current,ankle,,threshold_below_lower_asymptote,,,0
current,ant,,threshold_above_upper_asymptote,,25.413634821019915,0
current,apple,,threshold_above_upper_asymptote,,18.28091715859917,0
current,arm,7.003001066785892,ok,6.725838454412328,21.99539913263884,0
current,asleep,6.627335295438137,ok,7.243230436993157,24.723574946808974,0
current,aunt,7.00014505764799,ok,6.923067207370445,25.525525066233225,0
current,awake,7.152802367448912,ok,,25.8884576271836,0
current,baby,6.868392058550788,ok,,,0
current,backyard,6.8862811828280455,ok,7.175732232914403,27.587137860896238,0
current,bad,6.768595298548513,ok,6.703423777826876,25.24613058723793,0
current,ball,6.867430734665804,ok,,,0
current,balloon,,threshold_above_upper_asymptote,,18.890724143191804,0
current,banana,,threshold_above_upper_asymptote,,16.111616257951134,0
current,basement,,threshold_above_upper_asymptote,,,0
current,basket,,threshold_above_upper_asymptote,,26.039532817543783,0
current,bat,7.124120632029696,ok,,27.097241206641463,0
current,bath,7.08332076171603,ok,7.152780239871319,18.505566610748357,0
current,bathroom,7.02148498116823,ok,7.640538512676481,23.557409105204858,0
current,bathtub,,threshold_above_upper_asymptote,,22.49947524893918,0
current,beach,6.938587181265612,ok,7.2886553257249584,26.499831193868143,0
current,beads,7.324912921263,ok,,,0
current,beans,7.259946969757898,ok,,25.33209562564099,0
current,bear,7.060678446302513,ok,,20.255559869502484,0
current,bed,6.884867496284409,ok,6.937220315880226,20.670831293608018,0
current,bedroom,7.059402497200491,ok,7.047629378867176,25.160391755050476,0
current,bee,,threshold_above_upper_asymptote,,21.516560770858195,0
current,belt,,threshold_above_upper_asymptote,,28.65699534588996,0
current,bench,,threshold_above_upper_asymptote,,,0
current,better,,threshold_below_lower_asymptote,6.69970685892443,27.4836269032841,0
current,bib,7.241485654240867,ok,7.470658950713971,24.42989021903271,0
current,bicycle,,threshold_above_upper_asymptote,,22.29181500457535,0
current,big,,threshold_below_lower_asymptote,6.701221799096622,22.607359585163238,0
current,bird,6.946262163030328,ok,7.38864451128322,18.06848056468084,0
current,bite,7.125741414951278,ok,,22.943816797389026,0
current,black,6.718165285390741,ok,6.722076141829876,25.804687037784696,0
current,blanket,7.293416797879172,ok,,21.042952598226645,0
current,block,7.048689074135757,ok,7.062174455707691,21.984059781669306,0
current,blow,7.195723504967104,ok,,24.239916417068418,0
current,blue,7.00231062660575,ok,,22.642599694308036,0
current,boat,6.95366879512118,ok,6.5780324209038445,21.092331322802426,0
current,book,,threshold_below_lower_asymptote,,,0
current,boots,7.022607962614634,ok,7.760202494714075,21.72477463112487,0
current,bottle,7.078465280371637,ok,,20.82785610568821,0
current,bottom,,threshold_below_lower_asymptote,7.013460797577626,22.21268312207221,0
current,bowl,6.972257248106008,ok,7.328332814792982,22.558643297425284,0
current,box,6.9426879229844705,ok,,22.744450977282813,0
current,boy,6.697609297820297,ok,6.4882097140909885,23.9923879977722,0
current,bread,6.968769983592968,ok,7.10238267327022,22.252228192835148,0
current,break,6.909022734008346,ok,6.992826914673613,25.062903657705817,0
current,breakfast,7.055864141245705,ok,7.724263176442575,24.161838030910175,0
current,bring,7.037980637782434,ok,,26.76659041051839,0
current,broken,7.068715928625581,ok,,23.62808164061539,0
current,broom,,threshold_above_upper_asymptote,,24.2589798322677,0
current,brother,,threshold_below_lower_asymptote,6.8830968196742575,27.4731814681999,0
current,brown,7.097036268268856,ok,,26.727189326690834,0
current,brush,,threshold_above_upper_asymptote,,22.41074269142454,0
current,bubbles,,threshold_above_upper_asymptote,,18.6969613851801,0
current,bucket,7.17139694516942,ok,7.76684742072982,26.218844749584207,0
current,bug,,threshold_above_upper_asymptote,,22.30427491762293,0
current,build,6.906540908212818,ok,6.818922245114364,26.870721478274586,0
current,bump,,threshold_above_upper_asymptote,,26.798361550951917,0
current,bunny,7.345553278931348,ok,,21.125256823558722,0
current,bus,7.051764630589358,ok,7.015037407211515,20.85319790543193,0
current,butter,7.0392001644747575,ok,,25.064198626684203,0
current,butterfly,,threshold_above_upper_asymptote,,23.08087199144578,0
current,buttocks,6.969509976176773,ok,,22.21268312207221,0
current,button,,threshold_above_upper_asymptote,,23.297598677811564,0
current,buy,6.816782681815838,ok,6.854213213347617,27.89149822311601,0
current,cake,6.999280053163829,ok,7.42885920195677,22.219009204871558,0
current,camera,7.053652880905499,ok,7.593374305668603,25.871615597327157,0
current,camping,,threshold_above_upper_asymptote,,,0
current,candy,7.097778756575157,ok,7.5277429984617905,23.38912238818194,0
current,car,6.886678520183084,ok,6.955669784047243,17.496796781553705,0
current,careful,6.814872716725096,ok,6.921162218776732,26.38063961823633,0
current,carrots,,threshold_above_upper_asymptote,,23.78948237489513,0
current,carry,6.965815347664978,ok,7.234091308768786,25.336988814569168,0
current,cat,6.965180775727702,ok,6.811454401616483,18.228507346753123,0
current,catch,7.011083187615676,ok,,25.372205870213676,0
current,cereal,,threshold_above_upper_asymptote,,22.708870905740664,0
current,chair,7.029147458907238,ok,7.582304558629823,21.225459750312105,0
current,chalk,,threshold_above_upper_asymptote,,27.61672611437907,0
current,chase,,threshold_above_upper_asymptote,,28.842892462186086,0
current,cheek,,threshold_above_upper_asymptote,,23.2702739213262,0
current,cheerios,,threshold_above_upper_asymptote,7.88888180710685,24.062888534669234,0
current,cheese,7.22099316503665,ok,,18.558248075188768,0
current,child,,threshold_below_lower_asymptote,,,0
current,chin,,threshold_above_upper_asymptote,7.782377686819169,23.9251259404125,0
current,chocolate,7.18002026918939,ok,,24.58033128800783,0
current,church,6.939219930972319,ok,,,0
current,circus,7.272898645553815,ok,,,0
current,climb,7.102337550485011,ok,7.0341928935101485,25.58444891978825,0
current,clock,6.954860609409889,ok,7.259743420737998,23.99618230263423,0
current,close,7.00456692208155,ok,,24.519368084825462,0
current,closet,,threshold_above_upper_asymptote,,26.335369068359697,0
current,cloud,7.176955750660442,ok,,25.376185134448264,0
current,clown,,threshold_above_upper_asymptote,,,0
current,coat,7.017036351522881,ok,7.058638759291494,22.922576688186258,0
current,coffee,6.977671955355843,ok,7.0756059712216,24.665622637597178,0
current,coke,,threshold_below_lower_asymptote,,,0
current,cold,6.926628510354516,ok,7.162526933372835,21.557924255355925,0
current,comb,7.040244100823463,ok,7.015460730530572,25.991290549889374,0
current,cook,7.097797614637075,ok,,25.150438741536785,0
current,cookie,,threshold_above_upper_asymptote,,19.063897306535317,0
current,corn,7.043417966446799,ok,7.0061047374140575,24.30521021007631,0
current,couch,7.004413542929687,ok,7.029849255172657,24.274913544484477,0
current,country,,threshold_below_lower_asymptote,,,0
current,cover,7.033495514783837,ok,7.1603592672834795,29.120587673006845,0
current,cow,,threshold_above_upper_asymptote,,20.301428582055962,0
current,cowboy,,threshold_above_upper_asymptote,,,0
current,cracker,,threshold_above_upper_asymptote,,20.635361433164334,0
current,crayon,,threshold_above_upper_asymptote,,23.199101707700617,0
current,crib,,threshold_above_upper_asymptote,7.777648210023684,25.501641294998937,0
current,cry,6.954284193520691,ok,7.043897072165148,23.357992706748902,0
current,cup,6.857424657911358,ok,7.004636370012655,20.04657761410228,0
current,cut,6.964801746033175,ok,7.411136371987506,26.48415491454615,0
current,cute,,threshold_above_upper_asymptote,,27.646593332551518,0
current,daddy,6.95931142334056,ok,,,0
current,dance,7.075153043254697,ok,6.977861542481049,23.335263733647373,0
current,dark,6.968380026780086,ok,,26.0144061423592,0
current,day,,threshold_below_lower_asymptote,6.755711034627276,28.57030413820359,0
current,deer,,threshold_above_upper_asymptote,,27.88841176179346,0
current,diaper,,threshold_above_upper_asymptote,,20.32324248611525,0
current,dinner,6.915840294160925,ok,7.142528292760819,24.335488629604637,0
current,dirty,,threshold_above_upper_asymptote,,22.77759428568781,0
current,dish,7.169512879571412,ok,7.693096266004384,28.392517499821075,0
current,doctor,6.9041604426066865,ok,6.753394551812259,25.058857514368704,0
current,dog,6.9852946278602746,ok,,,0
current,doll,7.037491352929263,ok,7.522442192232571,23.083057299428276,0
current,donkey,,threshold_above_upper_asymptote,,,0
current,donut,,threshold_above_upper_asymptote,,26.470267452063016,0
current,door,,threshold_below_lower_asymptote,6.688988403347932,21.094330119099542,0
current,downtown,,threshold_above_upper_asymptote,,,0
current,draw,7.074311372745859,ok,,25.332147277029616,0
current,drawer,7.128683928986842,ok,7.26984634718111,28.011508334888347,0
current,drive,7.076735231123341,ok,7.722365437887102,25.239924635828906,0
current,drop,7.154162697683635,ok,,26.122703160314753,0
