arm,epoch,subset,n,a_correct,b_correct,joint_correct,a_acc,b_acc,joint_acc,expected_joint_independent_count,gating_count,gating_frac,mean_a_margin,mean_b_margin,mean_joint_min_margin
answer_clean,0,all_pairs,200,78,128,6,0.39,0.64,0.03,49.92,-43.92,-0.21960000000000002,-0.5935204692939409,0.6779117414331263,-1.6480311468704292
answer_clean,0,updated_entity_in_source_119,119,50,74,5,0.42016806722689076,0.6218487394957983,0.04201680672268908,31.092436974789916,-26.092436974789916,-0.21926417625873879,-0.5210784046206877,0.6062274799775613,-1.6361295648697831
answer_clean,0,updated_entity_not_in_source_81,81,28,54,1,0.345679012345679,0.6666666666666666,0.012345679012345678,18.666666666666668,-17.666666666666668,-0.21810699588477364,-0.6999477001102017,0.7832256564110549,-1.6655161870936004
answer_clean,0,both_entities_in_source_115,115,49,71,5,0.4260869565217391,0.6173913043478261,0.043478260869565216,30.252173913043478,-25.252173913043478,-0.21958412098298677,-0.5140561461521269,0.6035798309463543,-1.661822342202433
answer_clean,0,not_both_entities_in_source_85,85,29,57,1,0.3411764705882353,0.6705882352941176,0.011764705882352941,19.44705882352941,-18.44705882352941,-0.2170242214532872,-0.7010310241328656,0.7784784438564061,-1.6293724708330122
answer_clean,5,all_pairs,200,77,138,18,0.385,0.69,0.09,53.13,-35.13,-0.17565,-0.5974487811044868,0.9512740342301653,-1.4958763656728702
answer_clean,5,updated_entity_in_source_119,119,45,79,7,0.37815126050420167,0.6638655462184874,0.058823529411764705,29.873949579831933,-22.873949579831933,-0.19221806369606664,-0.5007102430570501,0.877003899820136,-1.444758842875989
answer_clean,5,updated_entity_not_in_source_81,81,32,59,11,0.3950617283950617,0.7283950617283951,0.13580246913580246,23.308641975308642,-12.308641975308642,-0.15195854290504496,-0.7395708308284987,1.060386947746134,-1.5709749485473004
answer_clean,5,both_entities_in_source_115,115,44,77,7,0.3826086956521739,0.6695652173913044,0.06086956521739131,29.46086956521739,-22.46086956521739,-0.1953119092627599,-0.48967020642719505,0.8695543670053181,-1.46150400918717
answer_clean,5,not_both_entities_in_source_85,85,33,61,11,0.38823529411764707,0.7176470588235294,0.12941176470588237,23.68235294117647,-12.682352941176472,-0.14920415224913494,-0.7432668527267051,1.061835936946135,-1.5423801420946994
answer_clean,10,all_pairs,200,81,147,30,0.405,0.735,0.15,59.535,-29.534999999999997,-0.14767500000000003,-0.4855987712132071,1.1849384287967784,-1.3501753761117299
answer_clean,10,updated_entity_in_source_119,119,47,84,14,0.3949579831932773,0.7058823529411765,0.11764705882352941,33.1764705882353,-19.176470588235297,-0.1611468116658428,-0.43005352867352464,1.1242512424092908,-1.3205743280635651
answer_clean,10,updated_entity_not_in_source_81,81,34,63,16,0.41975308641975306,0.7777777777777778,0.19753086419753085,26.444444444444443,-10.444444444444443,-0.1289437585733882,-0.5672022756850862,1.2740961470697538,-1.3936633355898982
answer_clean,10,both_entities_in_source_115,115,46,81,14,0.4,0.7043478260869566,0.12173913043478261,32.4,-18.4,-0.16000000000000003,-0.4173548151015674,1.1195879660542052,-1.3312119910145226
answer_clean,10,not_both_entities_in_source_85,85,35,66,16,0.4117647058823529,0.7764705882352941,0.18823529411764706,27.176470588235293,-11.176470588235293,-0.13148788927335642,-0.5779288294818961,1.2733537607426124,-1.3758317206550106
answer_clean,15,all_pairs,200,82,153,35,0.41,0.765,0.175,62.73,-27.729999999999997,-0.13865,-0.3613418888324596,1.3082616478260898,-1.2513726259732003
answer_clean,15,updated_entity_in_source_119,119,47,89,17,0.3949579831932773,0.7478991596638656,0.14285714285714285,35.15126050420168,-18.15126050420168,-0.15253160087564438,-0.3153347773011107,1.235657102204592,-1.2521341194891715
answer_clean,15,updated_entity_not_in_source_81,81,35,64,18,0.43209876543209874,0.7901234567901234,0.2222222222222222,27.65432098765432,-9.65432098765432,-0.11918914799573233,-0.4289325835513549,1.4149275852206358,-1.2502538885855388
answer_clean,15,both_entities_in_source_115,115,46,86,17,0.4,0.7478260869565218,0.14782608695652175,34.4,-17.4,-0.15130434782608695,-0.2944404773600569,1.2253801570751084,-1.2535444226367307
answer_clean,15,not_both_entities_in_source_85,85,36,67,18,0.4235294117647059,0.788235294117647,0.21176470588235294,28.376470588235293,-10.376470588235293,-0.12207612456747405,-0.45185556317747494,1.4203954294303585,-1.2484343128401885
answer_clean,20,all_pairs,200,83,161,44,0.415,0.805,0.22,66.815,-22.814999999999998,-0.11407500000000001,-0.30705186574751353,1.479544347144058,-1.1792589891346836
answer_clean,20,updated_entity_in_source_119,119,49,94,24,0.4117647058823529,0.7899159663865546,0.20168067226890757,38.705882352941174,-14.705882352941174,-0.12357884330202668,-0.27127938043541094,1.396822242843792,-1.1731271994237036
answer_clean,20,updated_entity_not_in_source_81,81,34,67,20,0.41975308641975306,0.8271604938271605,0.24691358024691357,28.123456790123456,-8.123456790123456,-0.10028959000152415,-0.35960650466282473,1.6010743522271649,-1.1882674209322968
answer_clean,20,both_entities_in_source_115,115,48,91,24,0.41739130434782606,0.7913043478260869,0.20869565217391303,37.982608695652175,-13.982608695652175,-0.12158790170132325,-0.2450334322083254,1.379901088875264,-1.1684498120535836
answer_clean,20,not_both_entities_in_source_85,85,35,70,20,0.4117647058823529,0.8235294117647058,0.23529411764705882,28.823529411764707,-8.823529411764707,-0.1038062283737024,-0.3909591581828857,1.6143558142136027,-1.1938831698914665
uniform_wwm,0,all_pairs,200,78,128,6,0.39,0.64,0.03,49.92,-43.92,-0.21960000000000002,-0.5935204692939409,0.6779117414331263,-1.6480311468704292
uniform_wwm,0,updated_entity_in_source_119,119,50,74,5,0.42016806722689076,0.6218487394957983,0.04201680672268908,31.092436974789916,-26.092436974789916,-0.21926417625873879,-0.5210784046206877,0.6062274799775613,-1.6361295648697831
uniform_wwm,0,updated_entity_not_in_source_81,81,28,54,1,0.345679012345679,0.6666666666666666,0.012345679012345678,18.666666666666668,-17.666666666666668,-0.21810699588477364,-0.6999477001102017,0.7832256564110549,-1.6655161870936004
uniform_wwm,0,both_entities_in_source_115,115,49,71,5,0.4260869565217391,0.6173913043478261,0.043478260869565216,30.252173913043478,-25.252173913043478,-0.21958412098298677,-0.5140561461521269,0.6035798309463543,-1.661822342202433
uniform_wwm,0,not_both_entities_in_source_85,85,29,57,1,0.3411764705882353,0.6705882352941176,0.011764705882352941,19.44705882352941,-18.44705882352941,-0.2170242214532872,-0.7010310241328656,0.7784784438564061,-1.6293724708330122
uniform_wwm,5,all_pairs,200,65,137,5,0.325,0.685,0.025,44.525,-39.525,-0.19762500000000002,-0.6037635116569853,0.7141345174961118,-1.4396144923479934
uniform_wwm,5,updated_entity_in_source_119,119,39,80,2,0.3277310924369748,0.6722689075630253,0.01680672268907563,26.218487394957982,-24.218487394957982,-0.20351670079796627,-0.5294652342881336,0.6305797289411214,-1.3864867738849347
uniform_wwm,5,updated_entity_not_in_source_81,81,26,57,3,0.32098765432098764,0.7037037037037037,0.037037037037037035,18.296296296296298,-15.296296296296298,-0.18884316415180613,-0.7129177710013475,0.8368878488299867,-1.5176663256455738
uniform_wwm,5,both_entities_in_source_115,115,38,76,1,0.33043478260869563,0.6608695652173913,0.008695652173913044,25.11304347826087,-24.11304347826087,-0.20967863894139882,-0.517278415420406,0.6184520792782664,-1.4028146121665783
uniform_wwm,5,not_both_entities_in_source_85,85,27,61,4,0.3176470588235294,0.7176470588235294,0.047058823529411764,19.376470588235293,-15.376470588235293,-0.18089965397923874,-0.7207727595064749,0.843587228026138,-1.489402565534614
uniform_wwm,10,all_pairs,200,65,142,7,0.325,0.71,0.035,46.15,-39.15,-0.19574999999999998,-0.6143902639977742,0.7339298978792655,-1.405683645982922
uniform_wwm,10,updated_entity_in_source_119,119,40,82,3,0.33613445378151263,0.6890756302521008,0.025210084033613446,27.563025210084035,-24.563025210084035,-0.20641197655532803,-0.5373062575604192,0.6489042318087566,-1.3531633221812518
uniform_wwm,10,updated_entity_not_in_source_81,81,25,60,4,0.30864197530864196,0.7407407407407407,0.04938271604938271,18.51851851851852,-14.518518518518519,-0.17924096936442613,-0.7276371376526538,0.8588441480322357,-1.482843134037228
uniform_wwm,10,both_entities_in_source_115,115,39,78,2,0.3391304347826087,0.6782608695652174,0.017391304347826087,26.452173913043477,-24.452173913043477,-0.2126275992438563,-0.524568845739487,0.6347960966610423,-1.3688035473906095
uniform_wwm,10,not_both_entities_in_source_85,85,26,64,5,0.3058823529411765,0.7529411764705882,0.058823529411764705,19.576470588235296,-14.576470588235296,-0.1714878892733564,-0.735913359288398,0.86805209952745,-1.4555802499607569
uniform_wwm,15,all_pairs,200,64,140,6,0.32,0.7,0.03,44.8,-38.8,-0.19399999999999998,-0.6023526678859005,0.7175358561238774,-1.388399136003752
uniform_wwm,15,updated_entity_in_source_119,119,38,81,2,0.31932773109243695,0.680672268907563,0.01680672268907563,25.865546218487395,-23.865546218487395,-0.2005508085587176,-0.5209055827638059,0.6261109067975456,-1.320584434908621
uniform_wwm,15,updated_entity_not_in_source_81,81,26,59,4,0.32098765432098764,0.7283950617283951,0.04938271604938271,18.938271604938272,-14.938271604938272,-0.1844231062338058,-0.7220094966455207,0.8518515224181181,-1.4880281413163514
uniform_wwm,15,both_entities_in_source_115,115,37,77,1,0.3217391304347826,0.6695652173913044,0.008695652173913044,24.77391304347826,-23.77391304347826,-0.20672967863894137,-0.5091657549765974,0.6120772906384938,-1.3349730495017555
uniform_wwm,15,not_both_entities_in_source_85,85,27,63,5,0.3176470588235294,0.7411764705882353,0.058823529411764705,20.011764705882353,-15.011764705882353,-0.1766089965397924,-0.7284290794690751,0.860215091780573,-1.4606814883299823
uniform_wwm,20,all_pairs,200,64,142,7,0.32,0.71,0.035,45.44,-38.44,-0.19219999999999998,-0.5827753032343819,0.705539397942831,-1.369239667476836
uniform_wwm,20,updated_entity_in_source_119,119,38,83,2,0.31932773109243695,0.6974789915966386,0.01680672268907563,26.50420168067227,-24.50420168067227,-0.20591766118211988,-0.5074949812117864,0.6148865159342642,-1.2942294751052126
uniform_wwm,20,updated_entity_not_in_source_81,81,26,59,5,0.32098765432098764,0.7283950617283951,0.06172839506172839,18.938271604938272,-13.938271604938272,-0.17207742722146013,-0.6933723195391827,0.8387207924986266,-1.4794398266400846
uniform_wwm,20,both_entities_in_source_115,115,37,80,2,0.3217391304347826,0.6956521739130435,0.017391304347826087,25.73913043478261,-23.73913043478261,-0.20642722117202264,-0.495488772904213,0.6014562264026508,-1.307186016350521
uniform_wwm,20,not_both_entities_in_source_85,85,27,62,5,0.3176470588235294,0.7294117647058823,0.058823529411764705,19.694117647058825,-14.694117647058825,-0.17287197231833906,-0.7008688442693162,0.8463578064971924,-1.4531946072359676
answer_corrupt_update_state,0,all_pairs,200,78,128,6,0.39,0.64,0.03,49.92,-43.92,-0.21960000000000002,-0.5935204692939409,0.6779117414331263,-1.6480311468704292
answer_corrupt_update_state,0,updated_entity_in_source_119,119,50,74,5,0.42016806722689076,0.6218487394957983,0.04201680672268908,31.092436974789916,-26.092436974789916,-0.21926417625873879,-0.5210784046206877,0.6062274799775613,-1.6361295648697831
answer_corrupt_update_state,0,updated_entity_not_in_source_81,81,28,54,1,0.345679012345679,0.6666666666666666,0.012345679012345678,18.666666666666668,-17.666666666666668,-0.21810699588477364,-0.6999477001102017,0.7832256564110549,-1.6655161870936004
answer_corrupt_update_state,0,both_entities_in_source_115,115,49,71,5,0.4260869565217391,0.6173913043478261,0.043478260869565216,30.252173913043478,-25.252173913043478,-0.21958412098298677,-0.5140561461521269,0.6035798309463543,-1.661822342202433
answer_corrupt_update_state,0,not_both_entities_in_source_85,85,29,57,1,0.3411764705882353,0.6705882352941176,0.011764705882352941,19.44705882352941,-18.44705882352941,-0.2170242214532872,-0.7010310241328656,0.7784784438564061,-1.6293724708330122
answer_corrupt_update_state,5,all_pairs,200,95,119,14,0.475,0.595,0.07,56.525,-42.525,-0.21262499999999995,-0.14531015432476851,0.4296733483213494,-1.3390448385207878
answer_corrupt_update_state,5,updated_entity_in_source_119,119,61,66,8,0.5126050420168067,0.5546218487394958,0.06722689075630252,33.831932773109244,-25.831932773109244,-0.21707506532024573,-0.01617159132503659,0.287380235180951,-1.2648827194101897
answer_corrupt_update_state,5,updated_entity_not_in_source_81,81,34,53,6,0.41975308641975306,0.654320987654321,0.07407407407407407,22.246913580246915,-16.246913580246915,-0.2005791800030483,-0.3350322407070907,0.6387212552807001,-1.447999062893148
