endpoint,anchor,input_form,bin_field,bin,n_masked_tokens,delta_isolation_token_loss,se_delta,fraction_improved
clean_pres64_u0080,chck82_slow_scale1p75,no_special,target_edge_bin,0_edge_token,203,-0.02297178287233405,0.04700666449451357,0.5172413793103449
clean_pres64_u0080,chck82_slow_scale1p75,no_special,target_edge_bin,1,188,0.05932026075624116,0.02211594100705987,0.3882978723404255
clean_pres64_u0080,chck82_slow_scale1p75,no_special,target_edge_bin,16+,231,0.02842483579914904,0.02298752705799813,0.5064935064935064
clean_pres64_u0080,chck82_slow_scale1p75,no_special,target_edge_bin,2-3,380,0.0597771558755707,0.016352463057107244,0.41578947368421054
clean_pres64_u0080,chck82_slow_scale1p75,no_special,target_edge_bin,4-7,677,0.03620102312329147,0.01081762921311202,0.44903988183161003
clean_pres64_u0080,chck82_slow_scale1p75,no_special,target_edge_bin,8-15,557,0.03825433796489314,0.012001194462444156,0.4631956912028725
clean_pres64_u0080,chck82_slow_scale1p75,no_special,input_edge_bin,0_edge_token,203,-0.02297178287233405,0.04700666449451357,0.5172413793103449
clean_pres64_u0080,chck82_slow_scale1p75,no_special,input_edge_bin,1,188,0.05932026075624116,0.02211594100705987,0.3882978723404255
clean_pres64_u0080,chck82_slow_scale1p75,no_special,input_edge_bin,16+,231,0.02842483579914904,0.02298752705799813,0.5064935064935064
clean_pres64_u0080,chck82_slow_scale1p75,no_special,input_edge_bin,2-3,380,0.0597771558755707,0.016352463057107244,0.41578947368421054
clean_pres64_u0080,chck82_slow_scale1p75,no_special,input_edge_bin,4-7,677,0.03620102312329147,0.01081762921311202,0.44903988183161003
clean_pres64_u0080,chck82_slow_scale1p75,no_special,input_edge_bin,8-15,557,0.03825433796489314,0.012001194462444156,0.4631956912028725
clean_pres64_u0080,chck82_slow_scale1p75,no_special,distance_to_boundary_special_bin,NA,2236,0.03648754575238087,0.007399014706840271,0.4539355992844365
clean_pres65_u0080,chck82_slow_scale1p75,no_special,target_edge_bin,0_edge_token,203,-0.024349063412507702,0.04620892090841202,0.5172413793103449
clean_pres65_u0080,chck82_slow_scale1p75,no_special,target_edge_bin,1,188,0.06035857119819566,0.021844444306512417,0.3670212765957447
clean_pres65_u0080,chck82_slow_scale1p75,no_special,target_edge_bin,16+,231,0.028704620931913383,0.022731007759006494,0.5151515151515151
clean_pres65_u0080,chck82_slow_scale1p75,no_special,target_edge_bin,2-3,380,0.05870426556838969,0.016123574642663823,0.4342105263157895
clean_pres65_u0080,chck82_slow_scale1p75,no_special,target_edge_bin,4-7,677,0.036913912519150306,0.010688176942067034,0.4460856720827179
clean_pres65_u0080,chck82_slow_scale1p75,no_special,target_edge_bin,8-15,557,0.03822746519931758,0.011890249814258593,0.4578096947935368
clean_pres65_u0080,chck82_slow_scale1p75,no_special,input_edge_bin,0_edge_token,203,-0.024349063412507702,0.04620892090841202,0.5172413793103449
clean_pres65_u0080,chck82_slow_scale1p75,no_special,input_edge_bin,1,188,0.06035857119819566,0.021844444306512417,0.3670212765957447
clean_pres65_u0080,chck82_slow_scale1p75,no_special,input_edge_bin,16+,231,0.028704620931913383,0.022731007759006494,0.5151515151515151
clean_pres65_u0080,chck82_slow_scale1p75,no_special,input_edge_bin,2-3,380,0.05870426556838969,0.016123574642663823,0.4342105263157895
clean_pres65_u0080,chck82_slow_scale1p75,no_special,input_edge_bin,4-7,677,0.036913912519150306,0.010688176942067034,0.4460856720827179
clean_pres65_u0080,chck82_slow_scale1p75,no_special,input_edge_bin,8-15,557,0.03822746519931758,0.011890249814258593,0.4578096947935368
clean_pres65_u0080,chck82_slow_scale1p75,no_special,distance_to_boundary_special_bin,NA,2236,0.03650552627695279,0.007300535605725596,0.4539355992844365
coherent86_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,0_edge_token,203,-0.028519628433570303,0.015569257455258938,0.5369458128078818
coherent86_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,1,188,-0.003145696754782353,0.011653922513825027,0.5
coherent86_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,16+,231,-0.007567108448081271,0.008596706775095992,0.5194805194805194
coherent86_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,2-3,380,0.00034220880309619945,0.007133368704183431,0.47368421052631576
coherent86_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,4-7,677,-0.014269480200624643,0.0054007056732562056,0.5273264401772526
coherent86_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,8-15,557,-0.0076466092603326,0.005668681191236684,0.5206463195691203
coherent86_alpha075,chck82_slow_scale1p75,no_special,input_edge_bin,0_edge_token,203,-0.028519628433570303,0.015569257455258938,0.5369458128078818
coherent86_alpha075,chck82_slow_scale1p75,no_special,input_edge_bin,1,188,-0.003145696754782353,0.011653922513825027,0.5
coherent86_alpha075,chck82_slow_scale1p75,no_special,input_edge_bin,16+,231,-0.007567108448081271,0.008596706775095992,0.5194805194805194
coherent86_alpha075,chck82_slow_scale1p75,no_special,input_edge_bin,2-3,380,0.00034220880309619945,0.007133368704183431,0.47368421052631576
coherent86_alpha075,chck82_slow_scale1p75,no_special,input_edge_bin,4-7,677,-0.014269480200624643,0.0054007056732562056,0.5273264401772526
coherent86_alpha075,chck82_slow_scale1p75,no_special,input_edge_bin,8-15,557,-0.0076466092603326,0.005668681191236684,0.5206463195691203
coherent86_alpha075,chck82_slow_scale1p75,no_special,distance_to_boundary_special_bin,NA,2236,-0.009802521342608323,0.0031442233538203634,0.5143112701252236
dense64_u0080,chck82_slow_scale1p75,no_special,target_edge_bin,0_edge_token,203,0.015606160809256118,0.056744214471239646,0.5123152709359606
dense64_u0080,chck82_slow_scale1p75,no_special,target_edge_bin,1,188,0.09137919327040049,0.028531413143854906,0.3776595744680851
dense64_u0080,chck82_slow_scale1p75,no_special,target_edge_bin,16+,231,0.05086905430602736,0.030418494041228088,0.4675324675324675
dense64_u0080,chck82_slow_scale1p75,no_special,target_edge_bin,2-3,380,0.09708705643666499,0.021400170157063046,0.3868421052631579
dense64_u0080,chck82_slow_scale1p75,no_special,target_edge_bin,4-7,677,0.06977268979600608,0.014513720396678902,0.42097488921713444
dense64_u0080,chck82_slow_scale1p75,no_special,target_edge_bin,8-15,557,0.07575104730279414,0.016013431438412773,0.4111310592459605
dense64_u0080,chck82_slow_scale1p75,no_special,input_edge_bin,0_edge_token,203,0.015606160809256118,0.056744214471239646,0.5123152709359606
dense64_u0080,chck82_slow_scale1p75,no_special,input_edge_bin,1,188,0.09137919327040049,0.028531413143854906,0.3776595744680851
dense64_u0080,chck82_slow_scale1p75,no_special,input_edge_bin,16+,231,0.05086905430602736,0.030418494041228088,0.4675324675324675
dense64_u0080,chck82_slow_scale1p75,no_special,input_edge_bin,2-3,380,0.09708705643666499,0.021400170157063046,0.3868421052631579
dense64_u0080,chck82_slow_scale1p75,no_special,input_edge_bin,4-7,677,0.06977268979600608,0.014513720396678902,0.42097488921713444
dense64_u0080,chck82_slow_scale1p75,no_special,input_edge_bin,8-15,557,0.07575104730279414,0.016013431438412773,0.4111310592459605
dense64_u0080,chck82_slow_scale1p75,no_special,distance_to_boundary_special_bin,NA,2236,0.07085000729395874,0.0095171988307757,0.4221824686940966
dense65_u0080,chck82_slow_scale1p75,no_special,target_edge_bin,0_edge_token,203,0.013800676133577699,0.057821823695764225,0.5221674876847291
dense65_u0080,chck82_slow_scale1p75,no_special,target_edge_bin,1,188,0.09427716806557657,0.02876643533672842,0.3776595744680851
dense65_u0080,chck82_slow_scale1p75,no_special,target_edge_bin,16+,231,0.05265292676165196,0.030666106573161985,0.46320346320346323
dense65_u0080,chck82_slow_scale1p75,no_special,target_edge_bin,2-3,380,0.09840276697474397,0.021552192422943074,0.3815789473684211
dense65_u0080,chck82_slow_scale1p75,no_special,target_edge_bin,4-7,677,0.07204398881685041,0.014580505728773325,0.4076809453471196
dense65_u0080,chck82_slow_scale1p75,no_special,target_edge_bin,8-15,557,0.07810954198487395,0.016182842226156624,0.40933572710951527
dense65_u0080,chck82_slow_scale1p75,no_special,input_edge_bin,0_edge_token,203,0.013800676133577699,0.057821823695764225,0.5221674876847291
dense65_u0080,chck82_slow_scale1p75,no_special,input_edge_bin,1,188,0.09427716806557657,0.02876643533672842,0.3776595744680851
dense65_u0080,chck82_slow_scale1p75,no_special,input_edge_bin,16+,231,0.05265292676165196,0.030666106573161985,0.46320346320346323
dense65_u0080,chck82_slow_scale1p75,no_special,input_edge_bin,2-3,380,0.09840276697474397,0.021552192422943074,0.3815789473684211
dense65_u0080,chck82_slow_scale1p75,no_special,input_edge_bin,4-7,677,0.07204398881685041,0.014580505728773325,0.4076809453471196
dense65_u0080,chck82_slow_scale1p75,no_special,input_edge_bin,8-15,557,0.07810954198487395,0.016182842226156624,0.40933572710951527
dense65_u0080,chck82_slow_scale1p75,no_special,distance_to_boundary_special_bin,NA,2236,0.07261284333558654,0.009621166855145679,0.41726296958855097
chck82_slow_scale1p75,coherent86_alpha075,no_special,target_edge_bin,0_edge_token,203,0.028519628433570303,0.015569257455258938,0.4630541871921182
chck82_slow_scale1p75,coherent86_alpha075,no_special,target_edge_bin,1,188,0.003145696754782353,0.011653922513825027,0.5
chck82_slow_scale1p75,coherent86_alpha075,no_special,target_edge_bin,16+,231,0.007567108448081271,0.008596706775095992,0.4805194805194805
chck82_slow_scale1p75,coherent86_alpha075,no_special,target_edge_bin,2-3,380,-0.00034220880309619945,0.007133368704183431,0.5263157894736842
chck82_slow_scale1p75,coherent86_alpha075,no_special,target_edge_bin,4-7,677,0.014269480200624643,0.0054007056732562056,0.4711964549483013
chck82_slow_scale1p75,coherent86_alpha075,no_special,target_edge_bin,8-15,557,0.0076466092603326,0.005668681191236684,0.47755834829443444
chck82_slow_scale1p75,coherent86_alpha075,no_special,input_edge_bin,0_edge_token,203,0.028519628433570303,0.015569257455258938,0.4630541871921182
chck82_slow_scale1p75,coherent86_alpha075,no_special,input_edge_bin,1,188,0.003145696754782353,0.011653922513825027,0.5
chck82_slow_scale1p75,coherent86_alpha075,no_special,input_edge_bin,16+,231,0.007567108448081271,0.008596706775095992,0.4805194805194805
chck82_slow_scale1p75,coherent86_alpha075,no_special,input_edge_bin,2-3,380,-0.00034220880309619945,0.007133368704183431,0.5263157894736842
chck82_slow_scale1p75,coherent86_alpha075,no_special,input_edge_bin,4-7,677,0.014269480200624643,0.0054007056732562056,0.4711964549483013
chck82_slow_scale1p75,coherent86_alpha075,no_special,input_edge_bin,8-15,557,0.0076466092603326,0.005668681191236684,0.47755834829443444
chck82_slow_scale1p75,coherent86_alpha075,no_special,distance_to_boundary_special_bin,NA,2236,0.009802521342608323,0.0031442233538203634,0.4847942754919499
clean_pres64_u0080,coherent86_alpha075,no_special,target_edge_bin,0_edge_token,203,0.005547845561236253,0.036758467357815405,0.5172413793103449
clean_pres64_u0080,coherent86_alpha075,no_special,target_edge_bin,1,188,0.06246595751102351,0.019453467247746895,0.425531914893617
clean_pres64_u0080,coherent86_alpha075,no_special,target_edge_bin,16+,231,0.03599194424723031,0.02042358750999218,0.47186147186147187
clean_pres64_u0080,coherent86_alpha075,no_special,target_edge_bin,2-3,380,0.0594349470724745,0.013221975459903558,0.39210526315789473
clean_pres64_u0080,coherent86_alpha075,no_special,target_edge_bin,4-7,677,0.050470503323916116,0.009837674703461759,0.4032496307237814
clean_pres64_u0080,coherent86_alpha075,no_special,target_edge_bin,8-15,557,0.04590094722522574,0.00990104025295285,0.42190305206463197
clean_pres64_u0080,coherent86_alpha075,no_special,input_edge_bin,0_edge_token,203,0.005547845561236253,0.036758467357815405,0.5172413793103449
clean_pres64_u0080,coherent86_alpha075,no_special,input_edge_bin,1,188,0.06246595751102351,0.019453467247746895,0.425531914893617
clean_pres64_u0080,coherent86_alpha075,no_special,input_edge_bin,16+,231,0.03599194424723031,0.02042358750999218,0.47186147186147187
clean_pres64_u0080,coherent86_alpha075,no_special,input_edge_bin,2-3,380,0.0594349470724745,0.013221975459903558,0.39210526315789473
clean_pres64_u0080,coherent86_alpha075,no_special,input_edge_bin,4-7,677,0.050470503323916116,0.009837674703461759,0.4032496307237814
clean_pres64_u0080,coherent86_alpha075,no_special,input_edge_bin,8-15,557,0.04590094722522574,0.00990104025295285,0.42190305206463197
clean_pres64_u0080,coherent86_alpha075,no_special,distance_to_boundary_special_bin,NA,2236,0.046290067094989194,0.00618525064354325,0.42531305903398925
clean_pres65_u0080,coherent86_alpha075,no_special,target_edge_bin,0_edge_token,203,0.0041705650210626,0.036005222030363625,0.5320197044334976
clean_pres65_u0080,coherent86_alpha075,no_special,target_edge_bin,1,188,0.06350426795297802,0.01925296119909504,0.42021276595744683
clean_pres65_u0080,coherent86_alpha075,no_special,target_edge_bin,16+,231,0.036271729379994656,0.020209646232673094,0.4675324675324675
clean_pres65_u0080,coherent86_alpha075,no_special,target_edge_bin,2-3,380,0.05836205676529349,0.013040372030225393,0.4
clean_pres65_u0080,coherent86_alpha075,no_special,target_edge_bin,4-7,677,0.05118339271977495,0.009736912486794473,0.39438700147710487
clean_pres65_u0080,coherent86_alpha075,no_special,target_edge_bin,8-15,557,0.04587407445965018,0.009833292239893108,0.41831238779174146
clean_pres65_u0080,coherent86_alpha075,no_special,input_edge_bin,0_edge_token,203,0.0041705650210626,0.036005222030363625,0.5320197044334976
clean_pres65_u0080,coherent86_alpha075,no_special,input_edge_bin,1,188,0.06350426795297802,0.01925296119909504,0.42021276595744683
