endpoint,anchor,input_form,source,n_common_sentences_filtered,delta_row_context_loss,delta_isolation_loss,delta_context_gain,se_delta_context_gain
clean_pres64_u0080,chck82_slow_scale1p75,no_special,bnc_spoken,120,0.0018445500715946158,0.05506389901323321,0.0532193489416386,0.026216542943471734
clean_pres64_u0080,chck82_slow_scale1p75,no_special,childes,106,-0.006140736690856599,0.01882081683329746,0.024961553524154058,0.017458231200628196
clean_pres64_u0080,chck82_slow_scale1p75,no_special,gutenberg,119,0.025550427062029975,0.058642757774776774,0.033092330712746795,0.028933022779913897
clean_pres64_u0080,chck82_slow_scale1p75,no_special,open_subtitles,120,0.013965151832477811,0.06322677402689199,0.049261622194414184,0.023171672474808693
clean_pres64_u0080,chck82_slow_scale1p75,no_special,simple_wiki,108,0.03613855175811936,0.07185910759424721,0.03572055583612786,0.028870313826940934
clean_pres64_u0080,chck82_slow_scale1p75,no_special,switchboard,51,0.02297338890824832,-0.002551064552629695,-0.025524453460878015,0.01940029904335504
clean_pres65_u0080,chck82_slow_scale1p75,no_special,bnc_spoken,120,0.002989539150924732,0.05591308389654538,0.05292354474562065,0.025758466912771342
clean_pres65_u0080,chck82_slow_scale1p75,no_special,childes,106,-0.006465719457245764,0.018392708107847214,0.02485842756509298,0.017201724924665273
clean_pres65_u0080,chck82_slow_scale1p75,no_special,gutenberg,119,0.02546426165113304,0.057586904036022034,0.032122642384888996,0.027952151665638077
clean_pres65_u0080,chck82_slow_scale1p75,no_special,open_subtitles,120,0.014053251998363218,0.06303038102463082,0.0489771290262676,0.022621530285288103
clean_pres65_u0080,chck82_slow_scale1p75,no_special,simple_wiki,108,0.03608060026265405,0.07140995403406797,0.03532935377141392,0.028458857510452622
clean_pres65_u0080,chck82_slow_scale1p75,no_special,switchboard,51,0.02424162838096712,-0.0009066847006918169,-0.02514831308165894,0.01918648511718539
coherent86_alpha075,chck82_slow_scale1p75,no_special,bnc_spoken,120,-0.021164467559719922,-0.0012829015856065478,0.019881565974113377,0.009688749613321898
coherent86_alpha075,chck82_slow_scale1p75,no_special,childes,106,-0.009620200550473799,-0.0034642775655536855,0.0061559229849201145,0.011229832925279926
coherent86_alpha075,chck82_slow_scale1p75,no_special,gutenberg,119,-0.011091916575370467,-0.009556352074782387,0.0015355645005880785,0.011018151078354518
coherent86_alpha075,chck82_slow_scale1p75,no_special,open_subtitles,120,-0.032581217611732424,-0.009529427631059661,0.023051789980672765,0.01019322090771122
coherent86_alpha075,chck82_slow_scale1p75,no_special,simple_wiki,108,-0.0020720407849660625,0.004578670003899821,0.006650710788865884,0.009965683364271534
coherent86_alpha075,chck82_slow_scale1p75,no_special,switchboard,51,0.004019121328989665,-0.006041141126450955,-0.01006026245544062,0.009718609200662757
dense64_u0080,chck82_slow_scale1p75,no_special,bnc_spoken,120,0.019293574596910428,0.0973068845885185,0.07801330999160806,0.03390286557825556
