endpoint,form,source_id,row_index,position,token_id,token,token_kind,distance_to_nearest_special,row_active_tokens,row_length_bin,kl
chck82_slow_scale1p75,short_add_special,1800,17,9,2,</s>,special,0,10,0-15,2.712476998567581e-07
chck82_slow_scale1p75,short_add_special,950870,20,23,2,</s>,special,0,24,16-31,2.568121999502182e-07
chck82_slow_scale1p75,coherent_add_special,1800,1,76,2201,Ġmember,content,76,203,128-255,2.547267285990529e-07
chck82_slow_scale1p75,coherent_no_special,311951,34,11,10684,Ġtoss,content,-1,166,128-255,2.3865140974521637e-07
chck82_slow_scale1p75,short_add_special,22977,32,0,1,<s>,special,0,26,16-31,2.3689153749728575e-07
chck82_slow_scale1p75,short_add_special,950870,19,25,5860,Ġdesire,content,10,36,32-63,2.3492611944675446e-07
chck82_slow_scale1p75,coherent_no_special,55151,42,88,8017,ĠRun,content,-1,235,128-255,2.260785549879074e-07
chck82_slow_scale1p75,coherent_no_special,33581,32,8,14472,ĠSaid,content,-1,215,128-255,2.153683453798294e-07
chck82_slow_scale1p75,coherent_add_special,311951,34,12,10684,Ġtoss,content,12,168,128-255,2.123415470123291e-07
chck82_slow_scale1p75,coherent_add_special,18579,44,4,6127,Ġshel,content,4,256,>=256,2.0302832126617432e-07
chck82_slow_scale1p75,coherent_no_special,45443,28,11,14221,Gu,content,-1,240,128-255,1.9813887774944305e-07
chck82_slow_scale1p75,coherent_add_special,32315,11,173,13656,ilst,content,55,229,128-255,1.9255094230175018e-07
chck82_slow_scale1p75,short_add_special,1800,18,6,9955,Ġcycle,content,6,89,64-127,1.9208528101444244e-07
chck82_slow_scale1p75,coherent_add_special,16525,36,0,1,<s>,special,0,256,>=256,1.8812716007232666e-07
chck82_slow_scale1p75,coherent_no_special,951788,17,191,15168,ĠCÃ¦,content,-1,212,128-255,1.875777115856181e-07
chck82_slow_scale1p75,coherent_add_special,48710,18,163,494,ide,content,82,246,128-255,1.83936208486557e-07
chck82_slow_scale1p75,coherent_no_special,22956,8,155,812,up,content,-1,256,>=256,1.8300488591194153e-07
chck82_slow_scale1p75,coherent_add_special,1308,31,54,11862,Ġcable,content,54,218,128-255,1.8044374883174896e-07
chck82_slow_scale1p75,short_add_special,33506,0,0,1,<s>,special,0,4,0-15,1.8044374883174896e-07
chck82_slow_scale1p75,coherent_no_special,31996,47,38,6250,-H,content,-1,229,128-255,1.7974525690078735e-07
chck82_slow_scale1p75,coherent_no_special,32315,11,172,13656,ilst,content,-1,227,128-255,1.7066486179828644e-07
