role,checkpoint,token_class,n,T,U,N,A_T,A_U,G
C,chck_100M,nonoverlap,2732,7.332122313561454,8.849084294776604,9.371109895421107,2.0389875818596535,0.5220256006445034,1.5169619812151502
C,chck_100M,overlap,3160,3.53254874138042,8.409683340350336,8.816562625706617,5.284013884326197,0.4068792853562811,4.877134598969915
C,chck_80M,nonoverlap,2732,7.363840692635867,8.84066632853536,9.362411947047718,1.9985712544118515,0.521745618512359,1.4768256358994925
C,chck_80M,overlap,3160,3.5462488519795614,8.433787910214098,8.826688913694486,5.280440061714924,0.39290100348038715,4.8875390582345375
C,chck_90M,nonoverlap,2732,7.3698172659701315,8.869109403101508,9.388446023036186,2.0186287570660553,0.5193366199346787,1.4992921371313765
C,chck_90M,overlap,3160,3.5094698747740467,8.42166937064243,8.83184661079735,5.322376736023302,0.41017724015491924,4.912199495868383
R,chck_100M,nonoverlap,2732,8.130374357091519,8.377073867136229,8.983106173075514,0.8527318159839967,0.6060323059392853,0.24669951004471144
R,chck_100M,overlap,3160,3.6120932203071145,7.737404190335434,8.259864888680289,4.647771668373175,0.5224606983448545,4.125310970028321
R,chck_80M,nonoverlap,2732,8.140942914216009,8.383862071168966,8.966283522428085,0.8253406082120782,0.5824214512591201,0.24291915695295815
R,chck_80M,overlap,3160,3.645919366794005,7.7571871234161325,8.25152012406224,4.6056007572682365,0.49433300064610874,4.111267756622127
R,chck_90M,nonoverlap,2732,8.08273005124204,8.384858464888818,9.00128549214793,0.9185554409058905,0.6164270272591127,0.30212841364677784
R,chck_90M,overlap,3160,3.586695546619302,7.747592169655795,8.278980441959563,4.692284895340261,0.5313882723037681,4.160896623036494
RS,chck_100M,nonoverlap,2732,6.8956351584426265,8.337628548415678,9.03332723422374,2.137692075781115,0.6956986858080636,1.4419933899730515
RS,chck_100M,overlap,3160,4.087955602885985,7.627587324082321,8.262689799023626,4.174734196137641,0.6351024749413055,3.539631721196336
RS,chck_80M,nonoverlap,2732,6.928525215622118,8.335118525041441,9.039753534148808,2.111228318526689,0.7046350091073654,1.4065933094193237
RS,chck_80M,overlap,3160,4.031904788051162,7.629691369741819,8.266805970388779,4.234901182337617,0.6371146006469598,3.5977865816906576
RS,chck_90M,nonoverlap,2732,6.9158227699196875,8.345382817451586,9.043346705612805,2.1275239356931186,0.6979638881612185,1.4295600475319
RS,chck_90M,overlap,3160,4.061316472186807,7.637441051953592,8.276844010714733,4.215527538527926,0.6394029587611414,3.576124579766785
