role,overlap_bin,overlap_class,n_seeds,mean_delta_across_seeds,sd_seed_mean,mean_pairs
C,ALL,ALL,3,1.3467056124990797,0.03691213504866607,732.0
C,ALL,nonoverlap,3,-0.09465664409015749,0.016299293212808763,727.0
C,ALL,overlap,3,3.0696321383522296,0.06853627969252409,663.0
C,high,ALL,3,1.812525649710248,0.0478967168560434,17.0
C,high,nonoverlap,3,-0.24997852882208663,0.12521552112502243,16.0
C,high,overlap,3,3.6074144072120014,0.049708664571684796,17.0
C,low,ALL,3,1.2505279549229462,0.03264570952775707,498.0
C,low,nonoverlap,3,-0.016192718642093786,0.004734101883301119,495.0
C,low,overlap,3,2.856702376688425,0.07327521488403872,440.0
C,partial,ALL,3,1.5309338744360588,0.06926827131571851,217.0
C,partial,nonoverlap,3,-0.26296448178034576,0.05524578644681388,216.0
C,partial,overlap,3,3.4800534808835786,0.08752866277585017,206.0
R,ALL,ALL,3,1.363418907779981,0.05236356829053792,732.0
R,ALL,nonoverlap,3,-0.1149302419491685,0.054537191552215564,727.0
R,ALL,overlap,3,3.1262465177379823,0.15275487353770045,663.0
R,high,ALL,3,1.8556743552798605,0.04775501081842337,17.0
R,high,nonoverlap,3,-0.27570936180159655,0.18297723726525597,16.0
R,high,overlap,3,3.7116898350276344,0.28992880160670276,17.0
R,low,ALL,3,1.2372879280752465,0.045730855496485236,498.0
R,low,nonoverlap,3,-0.05272952834314263,0.05446803401135385,495.0
R,low,overlap,3,2.8671391007478846,0.15303979122336675,440.0
R,partial,ALL,3,1.6143169966530675,0.07814157160922561,217.0
R,partial,nonoverlap,3,-0.2455639795294646,0.06140632399502162,216.0
R,partial,overlap,3,3.6313665521152587,0.17198308419006283,206.0
V,ALL,ALL,3,1.3575369892681044,0.03282972121973577,732.0
V,ALL,nonoverlap,3,-0.0822092099597188,0.03956751753640167,727.0
V,ALL,overlap,3,3.0686976817675524,0.09757432679368339,663.0
V,high,ALL,3,1.7546518262034922,0.08036281601411245,17.0
V,high,nonoverlap,3,0.04536579136684952,0.13421704323772907,16.0
V,high,overlap,3,3.2001932715976302,0.17473027637398783,17.0
V,low,ALL,3,1.2540016275521935,0.04177659317736637,498.0
V,low,nonoverlap,3,-0.00922413533384498,0.021629429949178075,495.0
V,low,overlap,3,2.8417801531440063,0.11833346564551762,440.0
V,partial,ALL,3,1.564033108653459,0.0689378738352657,217.0
V,partial,nonoverlap,3,-0.2589166727422772,0.09450198805120288,216.0
V,partial,overlap,3,3.5425243204435186,0.10609266987854699,206.0
