mode,source,rows,words,eligible_spans,eligible_spans_per_1M_words
fixed_window,bnc_spoken,3852,605791,21232,35048.39127685951
fixed_window,childes,17267,2714009,120420,44369.78654086998
fixed_window,gutenberg,12469,1959717,72405,36946.66117607798
fixed_window,open_subtitles,12249,1924965,70817,36788.720833885294
fixed_window,qwen_pair_packed,12236,1656800,66980,40427.32979237083
fixed_window,simple_wiki,7099,1116634,49544,44369.05915456631
fixed_window,switchboard,141,22084,599,27123.70947292157
sentence,bnc_spoken,3852,605791,12106,19983.789788887585
sentence,childes,17267,2714009,15484,5705.213210420452
sentence,gutenberg,12469,1959717,48800,24901.554663249848
sentence,open_subtitles,12249,1924965,14817,7697.2828077393615
sentence,qwen_pair_packed,12236,1656800,59997,36212.5784645099
sentence,simple_wiki,7099,1116634,33199,29731.31751316904
sentence,switchboard,141,22084,360,16301.394674877742
