mode,source,source_family,threshold_overlap_coef,hit_pairs_unique_10M,hit_pair_exposures_100M_repeat10,rows_with_hit_unique_10M,hit_pairs_per_1M_words,seq_exact_pairs,set_exact_pairs,nonidentical_high_overlap_pairs,nonidentical_fraction,hit_overlap_mean,hit_jaccard_mean
refined,bnc_spoken,natural_babylm_subcorpus,0.5,701,7010,346,1157.1647647455973,0,0,701,1.0,0.6087822606472434,0.2860182991775833
refined,bnc_spoken,natural_babylm_subcorpus,0.6,319,3190,171,526.5842510040592,0,0,319,1.0,0.7134655336365644,0.3394695168857178
refined,bnc_spoken,natural_babylm_subcorpus,0.7,150,1500,96,247.61014937494946,0,0,150,1.0,0.803723670120729,0.38963989170268676
refined,bnc_spoken,natural_babylm_subcorpus,0.8,79,790,56,130.40801200414006,0,0,79,1.0,0.8663981412399134,0.4156873166465791
refined,childes,natural_babylm_subcorpus,0.5,234,2340,176,86.21931614817784,21,23,211,0.9017094017094017,0.7153333106198868,0.5000794282245956
refined,childes,natural_babylm_subcorpus,0.6,155,1550,109,57.11108548276737,21,23,132,0.8516129032258064,0.8166571379284852,0.6048525116205632
refined,childes,natural_babylm_subcorpus,0.7,115,1150,78,42.37274084205321,21,23,92,0.8,0.8833929540195525,0.6798124130995311
refined,childes,natural_babylm_subcorpus,0.8,89,890,59,32.79281682558901,21,23,66,0.7415730337078652,0.9232465100442628,0.730546304323568
refined,gutenberg,natural_babylm_subcorpus,0.5,326,3260,280,166.35054959466086,6,6,320,0.9815950920245399,0.5843067038619186,0.28844524557760426
refined,gutenberg,natural_babylm_subcorpus,0.6,92,920,71,46.945553873339875,6,6,86,0.9347826086956522,0.7525384941145811,0.42852372269719446
refined,gutenberg,natural_babylm_subcorpus,0.7,48,480,30,24.493332455655587,6,6,42,0.875,0.8649591727716728,0.5461370697301047
refined,gutenberg,natural_babylm_subcorpus,0.8,30,300,17,15.308332784784742,6,6,24,0.8,0.9427621452621453,0.653954193954194
refined,open_subtitles,natural_babylm_subcorpus,0.5,191,1910,132,99.22258326774772,17,21,170,0.8900523560209425,0.6978208698981491,0.44936901611232344
refined,open_subtitles,natural_babylm_subcorpus,0.6,114,1140,85,59.22185598179708,17,21,93,0.8157894736842105,0.8196048658988613,0.5624989784885068
refined,open_subtitles,natural_babylm_subcorpus,0.7,80,800,58,41.55919718020847,17,21,59,0.7375,0.8980032217846653,0.654706984402719
refined,open_subtitles,natural_babylm_subcorpus,0.8,61,610,46,31.688887849908962,17,21,40,0.6557377049180327,0.9434581751773297,0.7345619235571866
refined,qwen_pair_packed,designed_qwen_pair_packed,0.5,22117,221170,10873,13349.227426364076,120,264,21853,0.9880634805805489,0.7751769459202122,0.6011345024812377
refined,qwen_pair_packed,designed_qwen_pair_packed,0.6,18966,189660,9911,11447.368421052632,120,264,18702,0.9860803543182537,0.8155667018630457,0.6466202012819158
refined,qwen_pair_packed,designed_qwen_pair_packed,0.7,15574,155740,8728,9400.048285852246,120,264,15310,0.9830486708616926,0.8533548236100987,0.6941855364946001
refined,qwen_pair_packed,designed_qwen_pair_packed,0.8,11486,114860,7227,6932.641236117818,120,264,11222,0.9770154971269371,0.8915690311629104,0.7486586495421774
refined,simple_wiki,natural_babylm_subcorpus,0.5,2051,20510,1169,1836.7701502909636,35,38,2013,0.9814724524622136,0.6655113423998156,0.44955507886631174
refined,simple_wiki,natural_babylm_subcorpus,0.6,1139,11390,554,1020.0298396788921,35,38,1101,0.9666374012291484,0.7848892918799034,0.5901730062621345
refined,simple_wiki,natural_babylm_subcorpus,0.7,839,8390,353,751.365263819658,35,38,801,0.9547079856972587,0.8397472556345164,0.6661396824053039
refined,simple_wiki,natural_babylm_subcorpus,0.8,554,5540,212,496.1339167533856,35,38,516,0.9314079422382672,0.8893908856533618,0.7417603552558616
refined,switchboard,natural_babylm_subcorpus,0.5,5,50,4,226.40825937330195,0,0,5,1.0,0.5444444444444444,0.19114230019493178
refined,switchboard,natural_babylm_subcorpus,0.6,1,10,1,45.28165187466039,0,0,1,1.0,0.6666666666666666,0.16
visible,bnc_spoken,natural_babylm_subcorpus,0.5,705,7050,348,1163.7677020622625,4,4,701,0.9943262411347518,0.6110019357641385,0.2900692591822495
visible,bnc_spoken,natural_babylm_subcorpus,0.6,323,3230,173,533.1871883207244,4,4,319,0.9876160990712074,0.7170139480806936,0.3476494609490525
visible,bnc_spoken,natural_babylm_subcorpus,0.7,154,1540,98,254.21308669161476,4,4,150,0.974025974025974,0.8088217566110997,0.40549340100911047
visible,bnc_spoken,natural_babylm_subcorpus,0.8,83,830,58,137.01094932080537,4,4,79,0.9518072289156626,0.8728367850355803,0.4438469640371054
visible,childes,natural_babylm_subcorpus,0.5,701,7010,414,258.2894898285157,138,143,558,0.7960057061340942,0.7223653140515606,0.533390887615342
visible,childes,natural_babylm_subcorpus,0.6,451,4510,263,166.17483582405217,138,143,308,0.6829268292682927,0.8334070878905886,0.6639749386446956
visible,childes,natural_babylm_subcorpus,0.7,322,3220,167,118.643674357749,138,143,179,0.5559006211180124,0.9143607838392274,0.7744043235151922
visible,childes,natural_babylm_subcorpus,0.8,252,2520,111,92.85157123649923,138,143,109,0.43253968253968256,0.9622836929384548,0.8547755378375126
visible,gutenberg,natural_babylm_subcorpus,0.5,352,3520,301,179.6177713414743,6,6,346,0.9829545454545454,0.5822048666759563,0.28828903682426893
visible,gutenberg,natural_babylm_subcorpus,0.6,100,1000,76,51.02777594928247,6,6,94,0.94,0.7450341668135786,0.42602186043967666
visible,gutenberg,natural_babylm_subcorpus,0.7,49,490,30,25.003610215148413,6,6,43,0.8775510204081632,0.8626130672049039,0.5442873238777717
visible,gutenberg,natural_babylm_subcorpus,0.8,30,300,17,15.308332784784742,6,6,24,0.8,0.9427621452621453,0.653954193954194
visible,open_subtitles,natural_babylm_subcorpus,0.5,219,2190,142,113.76830228082069,17,21,198,0.9041095890410958,0.693267047224857,0.4435277373109854
