endpoint,anchor,input_form,n_common_sentences_filtered,delta_row_context_loss,delta_isolation_loss,delta_context_gain,se_delta_context_gain,fraction_endpoint_higher_context_gain
coherent86_alpha075,chck82_slow_scale1p75,no_special,624,-0.014115331359601687,-0.004191507470954419,0.009923823888647267,0.004358522438730514,0.5256410256410257
coherent_special_98097_alpha075,chck82_slow_scale1p75,no_special,624,-0.013802888885796468,0.018910869908682005,0.03271375879447847,0.009795640824841141,0.5384615384615384
coherent_special_98098_alpha075,chck82_slow_scale1p75,no_special,624,-0.014502437234898188,0.026907966379784015,0.041410403614682206,0.010878193803971137,0.5576923076923077
chck82_slow_scale1p75,coherent86_alpha075,no_special,624,0.014115331359601687,0.004191507470954419,-0.009923823888647267,0.004358522438730514,0.47435897435897434
coherent_special_98097_alpha075,coherent86_alpha075,no_special,624,0.0003124424738052184,0.023102377379636423,0.022789934905831206,0.01020516893125057,0.5464743589743589
coherent_special_98098_alpha075,coherent86_alpha075,no_special,624,-0.00038710587529650205,0.031099473850738437,0.031486579726034934,0.010778153279092094,0.5528846153846154
coherent86_alpha075,chck82_slow_scale1p75,with_special,623,-0.013382264979340149,0.00037440923890600655,0.013756674218246154,0.00436690049764537,0.5008025682182986
coherent_special_98097_alpha075,chck82_slow_scale1p75,with_special,623,-0.018200713452150984,-0.20667769159876842,-0.18847697814661743,0.027631902227487334,0.42536115569823435
coherent_special_98098_alpha075,chck82_slow_scale1p75,with_special,623,-0.01855896869920633,-0.20633946550684007,-0.18778049680763376,0.02735799437565594,0.4317817014446228
chck82_slow_scale1p75,coherent86_alpha075,with_special,623,0.013382264979340149,-0.00037440923890600655,-0.013756674218246154,0.00436690049764537,0.49919743178170145
coherent_special_98097_alpha075,coherent86_alpha075,with_special,623,-0.004818448472810837,-0.20705210083767445,-0.2022336523648636,0.028528423364201087,0.43659711075441415
coherent_special_98098_alpha075,coherent86_alpha075,with_special,623,-0.005176703719866183,-0.2067138747457461,-0.2015371710258799,0.02819894555075754,0.4317817014446228
chck82_slow_scale1p75,chck82_slow_scale1p75,with_special_minus_no_special,623,0.012372113828257241,0.13791902144122903,0.1255469076129718,0.02835845576039927,0.5296950240770465
coherent86_alpha075,coherent86_alpha075,with_special_minus_no_special,623,0.013114056609057213,0.14261295149884662,0.1294988948897894,0.029325233188810536,0.521669341894061
coherent_special_98097_alpha075,coherent_special_98097_alpha075,with_special_minus_no_special,623,0.007851665003950608,-0.08775882646067033,-0.09561049146462094,0.018245610189013547,0.4189406099518459
coherent_special_98098_alpha075,coherent_special_98098_alpha075,with_special_minus_no_special,623,0.008333706626889,-0.09514774778777313,-0.10348145441466212,0.018098118403513712,0.4028892455858748
