family,seed,checkpoint,contrast,n_sentences_filtered,delta_row_context_loss,delta_isolation_loss,delta_context_gain,se_delta_context_gain,fraction_a_higher_context_gain
compact_experience,43022,chck_100M,ALN-minus-OFF,616,-0.2101212463005034,0.13704166376642027,0.3471629100669237,0.04740943024191322,0.637987012987013
compact_experience,43122,chck_100M,ALN-minus-OFF,616,-0.08031467483325676,0.13472159107470077,0.21503626590795755,0.04930886922414987,0.560064935064935
compact_experience,43022,chck_100M,SHUF-minus-OFF,616,-0.039454341652270915,-0.05477905034653802,-0.015324708694267098,0.03577455492160518,0.5227272727272727
compact_experience,43122,chck_100M,SHUF-minus-OFF,616,0.07595265780183028,-0.0163618818935772,-0.09231453969540747,0.03700471363791432,0.4577922077922078
compact_experience,43022,chck_100M,ALN-minus-SHUF,616,-0.17066690464823248,0.19182071411295828,0.3624876187611908,0.04291092017595762,0.6233766233766234
compact_experience,43122,chck_100M,ALN-minus-SHUF,616,-0.15626733263508702,0.15108347296827795,0.307350805603365,0.045866727334585675,0.6201298701298701
compact_experience,43022,chck_100M,DUP-minus-OFF,616,-0.028337023188202724,0.2516521784692994,0.27998920165750213,0.05172863113219765,0.5762987012987013
compact_experience,43022,chck_100M,SEP-minus-OFF,616,0.27298987072142994,-0.05517610472121637,-0.3281659754426463,0.04784420682590276,0.4042207792207792
dose,43022,chck_100M,dose21-minus-base0,623,0.03825155559361726,0.09167073434403292,0.05341917875041567,0.03782352424117992,0.5200642054574639
dose,43122,chck_100M,dose21-minus-base0,623,-0.003392500383390203,-0.05571171413543556,-0.05231921375204535,0.03363296754251324,0.478330658105939
dose,43022,chck_100M,dose25-minus-base0,623,0.05056280136229186,0.12225230848005968,0.07168950711776784,0.036519701375523274,0.5425361155698234
dose,43122,chck_100M,dose25-minus-base0,623,0.024285054272763437,-0.0028574701120690866,-0.02714252438483253,0.034073218486209596,0.47030497592295345
crv,43022,chck_100M,REPEAT-minus-CLEAN,623,0.0409702222628107,0.13529908912452496,0.09432886686171425,0.04545687308920637,0.5473515248796148
crv,43122,chck_100M,REPEAT-minus-CLEAN,623,-0.005016239870263419,0.04202687795292986,0.04704311782319329,0.04871994515859912,0.5088282504012841
crv,43022,chck_100M,VIEW-minus-CLEAN,623,0.056282214842828915,0.06941189859274524,0.013129683749916318,0.03992019894840556,0.48475120385232745
crv,43122,chck_100M,VIEW-minus-CLEAN,623,-0.013206933471955342,0.054087756744521674,0.06729469021647702,0.04318425591853166,0.521669341894061
