family,seed,relation,arm,checkpoint,sentence_uid,source,sentence_words,isolation,row_context,context_gain
compact_experience,43022,ALN,ALN43022,chck_100M,r0155_s04,bnc_spoken,26,4.415033340454102,3.6950454711914062,0.7199878692626953
compact_experience,43022,ALN,ALN43022,chck_100M,r0165_s03,bnc_spoken,32,1.6125277280807495,1.5609569549560547,0.051570773124694824
compact_experience,43022,ALN,ALN43022,chck_100M,r0172_s02,bnc_spoken,45,5.135391712188721,3.9375243186950684,1.1978673934936523
compact_experience,43022,ALN,ALN43022,chck_100M,r0179_s06,bnc_spoken,13,5.277825355529785,3.4310359954833984,1.8467893600463867
compact_experience,43022,ALN,ALN43022,chck_100M,r0451_s00,childes,16,4.010245323181152,4.408706188201904,-0.39846086502075195
compact_experience,43022,ALN,ALN43022,chck_100M,r0617_s02,childes,12,2.6417500972747803,1.5471158027648926,1.0946342945098877
compact_experience,43022,ALN,ALN43022,chck_100M,r0893_s01,childes,9,6.350858688354492,2.5585899353027344,3.792268753051758
compact_experience,43022,ALN,ALN43022,chck_100M,r1149_s01,childes,13,2.082656145095825,2.5467185974121094,-0.4640624523162842
compact_experience,43022,ALN,ALN43022,chck_100M,r1254_s05,gutenberg,9,10.771812438964844,3.676703929901123,7.095108509063721
compact_experience,43022,ALN,ALN43022,chck_100M,r1341_s05,gutenberg,9,1.6836683750152588,2.29689359664917,-0.6132252216339111
compact_experience,43022,ALN,ALN43022,chck_100M,r1448_s03,gutenberg,15,6.021449089050293,5.67623233795166,0.3452167510986328
compact_experience,43022,ALN,ALN43022,chck_100M,r1783_s00,gutenberg,22,8.394453048706055,6.847436428070068,1.5470166206359863
compact_experience,43022,ALN,ALN43022,chck_100M,r1959_s02,open_subtitles,10,5.18295955657959,2.642416000366211,2.540543556213379
compact_experience,43022,ALN,ALN43022,chck_100M,r2124_s00,open_subtitles,8,5.44224739074707,5.557731628417969,-0.11548423767089844
compact_experience,43022,ALN,ALN43022,chck_100M,r2225_s04,open_subtitles,9,2.8683438301086426,0.1526084840297699,2.7157353460788727
compact_experience,43022,ALN,ALN43022,chck_100M,r2438_s03,open_subtitles,10,2.595942497253418,3.6734540462493896,-1.0775115489959717
compact_experience,43022,ALN,ALN43022,chck_100M,r2624_s04,simple_wiki,8,3.549009084701538,0.04197579622268677,3.5070332884788513
compact_experience,43022,ALN,ALN43022,chck_100M,r2704_s02,simple_wiki,12,1.6444718837738037,0.258896142244339,1.3855757415294647
compact_experience,43022,ALN,ALN43022,chck_100M,r2944_s05,simple_wiki,10,3.987250804901123,4.1894330978393555,-0.20218229293823242
compact_experience,43022,ALN,ALN43022,chck_100M,r2945_s00,simple_wiki,11,5.264560699462891,3.992341995239258,1.2722187042236328
compact_experience,43022,ALN,ALN43022,chck_100M,r2992_s02,switchboard,9,1.6764416694641113,0.745942234992981,0.9304994344711304
compact_experience,43022,ALN,ALN43022,chck_100M,r2994_s06,switchboard,32,3.6983261108398438,3.675804853439331,0.022521257400512695
compact_experience,43022,ALN,ALN43022,chck_100M,r2997_s03,switchboard,12,2.1301887035369873,2.0979456901550293,0.03224301338195801
compact_experience,43022,ALN,ALN43022,chck_100M,r2999_s05,switchboard,20,3.7250053882598877,2.748957633972168,0.9760477542877197
