family,seed,checkpoint,contrast,n_checkpoint_rows,mean_delta_row_context_loss,mean_delta_isolation_loss,mean_delta_context_gain
crv,43022,mean_over_scored_checkpoints,REPEAT-minus-CLEAN,1,0.037862221546399615,0.12933820749153804,0.09147598594513842
crv,43022,mean_over_scored_checkpoints,REPEAT-minus-REPEAT_SPLIT,1,0.006160373416619991,0.12883223632038415,0.12267186290376417
crv,43022,mean_over_scored_checkpoints,REPEAT_SPLIT-minus-CLEAN,1,0.03170184812977962,0.0005059711711538783,-0.031195876958625742
crv,43022,mean_over_scored_checkpoints,VIEW-minus-CLEAN,1,0.05252157505789123,0.06556356265547565,0.01304198759758443
crv,43022,mean_over_scored_checkpoints,VIEW-minus-REPEAT,1,0.014659353511491615,-0.06377464483606238,-0.07843399834755399
crv,43022,mean_over_scored_checkpoints,VIEW-minus-VIEW_SPLIT,1,0.04179737583690325,0.036253611083417195,-0.005543764753486062
crv,43022,mean_over_scored_checkpoints,VIEW_SPLIT-minus-CLEAN,1,0.010724199220987973,0.029309951572058467,0.018585752351070493
crv,43122,mean_over_scored_checkpoints,REPEAT-minus-CLEAN,1,-0.006617688386682596,0.04691588607644016,0.053533574463122756
crv,43122,mean_over_scored_checkpoints,REPEAT-minus-REPEAT_SPLIT,1,-0.028495495144981422,0.0520303635801864,0.08052585872516782
crv,43122,mean_over_scored_checkpoints,REPEAT_SPLIT-minus-CLEAN,1,0.021877806758298826,-0.005114477503746241,-0.026992284262045065
crv,43122,mean_over_scored_checkpoints,VIEW-minus-CLEAN,1,-0.013377281202790666,0.055039413643773544,0.06841669484656421
crv,43122,mean_over_scored_checkpoints,VIEW-minus-REPEAT,1,-0.006759592816108071,0.008123527567333385,0.014883120383441457
crv,43122,mean_over_scored_checkpoints,VIEW-minus-VIEW_SPLIT,1,0.024460302960868884,0.01792235177497001,-0.006537951185898873
crv,43122,mean_over_scored_checkpoints,VIEW_SPLIT-minus-CLEAN,1,-0.03783758416365955,0.037117061868803536,0.07495464603246309
dose,43022,mean_over_scored_checkpoints,dose21-minus-base0,1,0.02882793826286634,0.09023153325372921,0.06140359499086288
dose,43022,mean_over_scored_checkpoints,dose25-minus-base0,1,0.04388891731689586,0.119254181731907,0.07536526441501112
dose,43022,mean_over_scored_checkpoints,dose25-minus-dose21,1,0.015060979054029526,0.029022648478177773,0.013961669424148249
dose,43122,mean_over_scored_checkpoints,dose21-minus-base0,1,0.0031101283080738574,-0.051362363001600374,-0.05447249130967423
dose,43122,mean_over_scored_checkpoints,dose25-minus-base0,1,0.03184204502070562,-0.006068691709681933,-0.03791073673038755
dose,43122,mean_over_scored_checkpoints,dose25-minus-dose21,1,0.02873191671263176,0.04529367129191844,0.016561754579286683
compact_experience,43022,mean_over_scored_checkpoints,ALN-minus-DUP,1,-0.18195161654071934,-0.12300529119687212,0.05894632534384721
compact_experience,43022,mean_over_scored_checkpoints,ALN-minus-OFF,1,-0.21135985540979152,0.135186802187769,0.3465466575975605
compact_experience,43022,mean_over_scored_checkpoints,ALN-minus-SEP,1,-0.49179409576774064,0.19860256545864494,0.6903966612263855
compact_experience,43022,mean_over_scored_checkpoints,ALN-minus-SHUF,1,-0.174661065059011,0.19628502937207157,0.37094609443108256
compact_experience,43022,mean_over_scored_checkpoints,DUP-minus-OFF,1,-0.029408238869072185,0.2581920933846411,0.2876003322537133
compact_experience,43022,mean_over_scored_checkpoints,SEP-minus-OFF,1,0.2804342403579491,-0.06341576327087596,-0.34385000362882506
compact_experience,43022,mean_over_scored_checkpoints,SHUF-minus-OFF,1,-0.03669879035078052,-0.06109822718430258,-0.02439943683352206
compact_experience,43022,mean_over_scored_checkpoints,SHUF-minus-SEP,1,-0.3171330307087296,0.0023175360865733802,0.319450566795303
compact_experience,43122,mean_over_scored_checkpoints,ALN-minus-OFF,1,-0.07369996553636546,0.13911057772250385,0.2128105432588693
compact_experience,43122,mean_over_scored_checkpoints,ALN-minus-SHUF,1,-0.1546466780718756,0.15624871183425842,0.310895389906134
compact_experience,43122,mean_over_scored_checkpoints,SHUF-minus-OFF,1,0.08094671253551014,-0.017138134111754584,-0.09808484664726473
