family,seed,relation,arm,checkpoint,mode,n,mean_loss,sd_loss,mean_target_tokens,mean_masked,truncated_frac
crv,43022,CLEAN,C43022,chck_100M,isolation,651,4.008590897952448,2.828973673221041,22.80952380952381,3.434715821812596,0.0
crv,43022,CLEAN,C43022,chck_100M,row_context,651,2.954022140378006,2.489849054814144,22.213517665130567,3.3410138248847927,0.043010752688172046
crv,43022,REPEAT,R43022,chck_100M,isolation,651,4.137157462931761,2.7708278490954807,22.80952380952381,3.434715821812596,0.0
crv,43022,REPEAT,R43022,chck_100M,row_context,651,2.9918843619244053,2.5013627093219974,22.213517665130567,3.3410138248847927,0.043010752688172046
crv,43022,REPEAT_SPLIT,RS43022,chck_100M,isolation,651,4.014523149317076,2.7856109465679126,22.80952380952381,3.434715821812596,0.0
crv,43022,REPEAT_SPLIT,RS43022,chck_100M,row_context,651,2.9857239885077855,2.4701214632384705,22.213517665130567,3.3410138248847927,0.043010752688172046
crv,43022,VIEW,V43022,chck_100M,isolation,651,4.06695864961562,2.853068747993424,22.80952380952381,3.434715821812596,0.0
crv,43022,VIEW,V43022,chck_100M,row_context,651,3.006543715435897,2.505791038710895,22.213517665130567,3.3410138248847927,0.043010752688172046
crv,43022,VIEW_SPLIT,VS43022,chck_100M,isolation,651,4.041255236080702,2.778351902489782,22.80952380952381,3.434715821812596,0.0
crv,43022,VIEW_SPLIT,VS43022,chck_100M,row_context,651,2.9647463395989937,2.4531143024012,22.213517665130567,3.3410138248847927,0.043010752688172046
crv,43122,CLEAN,C43122,chck_100M,isolation,651,4.0777345961536815,2.8356912971294563,22.80952380952381,3.434715821812596,0.0
crv,43122,CLEAN,C43122,chck_100M,row_context,651,2.9652394899399703,2.5177344600140827,22.213517665130567,3.3410138248847927,0.043010752688172046
crv,43122,REPEAT,R43122,chck_100M,isolation,651,4.124545756278293,2.7944455223093168,22.80952380952381,3.434715821812596,0.0
crv,43122,REPEAT,R43122,chck_100M,row_context,651,2.9586218015532877,2.4574056391351626,22.213517665130567,3.3410138248847927,0.043010752688172046
crv,43122,REPEAT_SPLIT,RS43122,chck_100M,isolation,651,4.07200325418822,2.7993740976873998,22.80952380952381,3.434715821812596,0.0
crv,43122,REPEAT_SPLIT,RS43122,chck_100M,row_context,651,2.987117296698269,2.48991106180479,22.213517665130567,3.3410138248847927,0.043010752688172046
crv,43122,VIEW,V43122,chck_100M,isolation,651,4.126475976330132,2.808253329928111,22.80952380952381,3.434715821812596,0.0
crv,43122,VIEW,V43122,chck_100M,row_context,651,2.9518622087371797,2.500030047691489,22.213517665130567,3.3410138248847927,0.043010752688172046
crv,43122,VIEW_SPLIT,VS43122,chck_100M,isolation,651,4.108622602053537,2.8101162727911,22.80952380952381,3.434715821812596,0.0
crv,43122,VIEW_SPLIT,VS43122,chck_100M,row_context,651,2.927401905776311,2.506599331659225,22.213517665130567,3.3410138248847927,0.043010752688172046
dose,43022,base0,base43022,chck_100M,isolation,651,4.0335800654267695,2.795381386959195,22.80952380952381,3.434715821812596,0.0
dose,43022,base0,base43022,chck_100M,row_context,651,2.9546862921914467,2.4562952839404826,22.213517665130567,3.3410138248847927,0.043010752688172046
dose,43022,dose21,dose21_43022,chck_100M,isolation,651,4.125426405786615,2.8661326917798924,22.80952380952381,3.434715821812596,0.0
dose,43022,dose21,dose21_43022,chck_100M,row_context,651,2.983514230454313,2.4498652565934016,22.213517665130567,3.3410138248847927,0.043010752688172046
dose,43022,dose25,dose25_43022,chck_100M,isolation,651,4.156281404056946,2.8479434799033605,22.80952380952381,3.434715821812596,0.0
dose,43022,dose25,dose25_43022,chck_100M,row_context,651,2.9985752095083424,2.4958552104731218,22.213517665130567,3.3410138248847927,0.043010752688172046
dose,43122,base0,base43122,chck_100M,isolation,651,4.07740789885894,2.8452889516553532,22.80952380952381,3.434715821812596,0.0
dose,43122,base0,base43122,chck_100M,row_context,651,2.9442768545699334,2.5186468227942833,22.213517665130567,3.3410138248847927,0.043010752688172046
dose,43122,dose21,dose21_43122,chck_100M,isolation,651,4.030436513672539,2.769644584059547,22.80952380952381,3.434715821812596,0.0
dose,43122,dose21,dose21_43122,chck_100M,row_context,651,2.9473869828780073,2.4769244512545914,22.213517665130567,3.3410138248847927,0.043010752688172046
dose,43122,dose25,dose25_43122,chck_100M,isolation,651,4.074585181708629,2.8593029431925996,22.80952380952381,3.434715821812596,0.0
dose,43122,dose25,dose25_43122,chck_100M,row_context,651,2.9761188995906394,2.46384969424411,22.213517665130567,3.3410138248847927,0.043010752688172046
compact_experience,43022,ALN,ALN43022,chck_100M,isolation,651,4.145139975561367,2.8291313805067837,22.870967741935484,3.4331797235023043,0.0
compact_experience,43022,ALN,ALN43022,chck_100M,row_context,651,2.855091525404168,2.4402413027556413,22.16589861751152,3.327188940092166,0.053763440860215055
compact_experience,43022,DUP,DUP43022,chck_100M,isolation,651,4.271824627441267,2.850594334758658,22.870967741935484,3.4331797235023043,0.0
compact_experience,43022,DUP,DUP43022,chck_100M,row_context,651,3.037043141944887,2.4593770082588815,22.16589861751152,3.327188940092166,0.053763440860215055
compact_experience,43022,OFF,OFF43022,chck_100M,isolation,651,4.001795877047854,2.7354046375999026,22.870967741935484,3.4331797235023043,0.0
compact_experience,43022,OFF,OFF43022,chck_100M,row_context,651,3.0664513808139593,2.479941170845959,22.16589861751152,3.327188940092166,0.053763440860215055
compact_experience,43022,SEP,SEP43022,chck_100M,isolation,651,3.947462891272041,2.626537508237708,22.870967741935484,3.4331797235023043,0.0
compact_experience,43022,SEP,SEP43022,chck_100M,row_context,651,3.3468856211719085,2.5215752539481615,22.16589861751152,3.327188940092166,0.053763440860215055
compact_experience,43022,SHUF,SHUF43022,chck_100M,isolation,651,3.9441115643078755,2.7099358354118044,22.870967741935484,3.4331797235023043,0.0
compact_experience,43022,SHUF,SHUF43022,chck_100M,row_context,651,3.0297525904631786,2.4319080210589252,22.16589861751152,3.327188940092166,0.053763440860215055
compact_experience,43122,ALN,ALN43122,chck_100M,isolation,651,4.06415299027391,2.7884302754850117,22.870967741935484,3.4331797235023043,0.0
compact_experience,43122,ALN,ALN43122,chck_100M,row_context,651,2.97213963029906,2.454419391224515,22.16589861751152,3.327188940092166,0.053763440860215055
compact_experience,43122,OFF,OFF43122,chck_100M,isolation,651,3.9205220060152275,2.6641535912687098,22.870967741935484,3.4331797235023043,0.0
compact_experience,43122,OFF,OFF43122,chck_100M,row_context,651,3.0458395958354254,2.487279724498636,22.16589861751152,3.327188940092166,0.053763440860215055
compact_experience,43122,SHUF,SHUF43122,chck_100M,isolation,651,3.905615590297089,2.737294437786684,22.870967741935484,3.4331797235023043,0.0
compact_experience,43122,SHUF,SHUF43122,chck_100M,row_context,651,3.1267863083709355,2.486399182974925,22.16589861751152,3.327188940092166,0.053763440860215055
