checkpoint,seed,probe_family,span_len,contrast,n,delta_copy_gain_a_minus_b,copy_gain_a,copy_gain_b,delta_repeated_nll_a_minus_b,delta_unrepeated_nll_a_minus_b
chck_80M,43022,ALL,1,RminusC,1600,0.4919390647180757,4.142039981692105,3.6501009169740293,-0.27032456816619277,0.22161449655188292
chck_80M,43022,ALL,1,RminusV,1600,0.3278608331703432,4.142039981692105,3.8141791485217618,-0.22506873730148058,0.10279209586886395
chck_80M,43022,ALL,1,CminusV,1600,-0.1640782315477325,3.6501009169740293,3.8141791485217618,0.04525583086471219,-0.11882240068301897
chck_80M,43022,ALL,1,VminusC,1600,0.1640782315477325,3.8141791485217618,3.6501009169740293,-0.04525583086471219,0.11882240068301897
chck_80M,43022,ALL,1,VminusR,1600,-0.3278608331703432,3.8141791485217618,4.142039981692105,0.22506873730148058,-0.10279209586886395
chck_80M,43022,ALL,4,RminusC,1600,-0.025159159969232014,6.472544663710485,6.497703823679717,0.29301203820458577,0.2678528782353542
chck_80M,43022,ALL,4,RminusV,1600,-0.053503938983815225,6.472544663710485,6.5260486026943,0.38593568694168656,0.33243174795787134
chck_80M,43022,ALL,4,CminusV,1600,-0.02834477901458321,6.497703823679717,6.5260486026943,0.0929236487371008,0.06457886972251714
chck_80M,43022,ALL,4,VminusC,1600,0.02834477901458321,6.5260486026943,6.497703823679717,-0.0929236487371008,-0.06457886972251714
chck_80M,43022,ALL,4,VminusR,1600,0.053503938983815225,6.5260486026943,6.472544663710485,-0.38593568694168656,-0.33243174795787134
chck_80M,43022,ALL,8,RminusC,1600,0.2684976417491116,7.097860333779493,6.829362692030381,-0.12888300492430282,0.1396146368248079
chck_80M,43022,ALL,8,RminusV,1600,0.23673947614624957,7.097860333779493,6.861120857633243,-0.057167917552028547,0.1795715585942208
chck_80M,43022,ALL,8,CminusV,1600,-0.03175816560286204,6.829362692030381,6.861120857633243,0.07171508737227428,0.0399569217694129
chck_80M,43022,ALL,8,VminusC,1600,0.03175816560286204,6.861120857633243,6.829362692030381,-0.07171508737227428,-0.0399569217694129
chck_80M,43022,ALL,8,VminusR,1600,-0.23673947614624957,6.861120857633243,7.097860333779493,0.057167917552028547,-0.1795715585942208
chck_80M,43022,ALL,ALL,RminusC,4800,0.24509251549931843,5.9041483263940275,5.659055810894709,-0.03539851162863661,0.20969400387068227
chck_80M,43022,ALL,ALL,RminusV,4800,0.17036545677759296,5.9041483263940275,5.733782869616435,0.034566344029392404,0.20493180080698536
chck_80M,43022,ALL,ALL,CminusV,4800,-0.07472705872172547,5.659055810894709,5.733782869616435,0.06996485565802901,-0.0047622030636969015
chck_80M,43022,ALL,ALL,VminusC,4800,0.07472705872172547,5.733782869616435,5.659055810894709,-0.06996485565802901,0.0047622030636969015
chck_80M,43022,ALL,ALL,VminusR,4800,-0.17036545677759296,5.733782869616435,5.9041483263940275,-0.034566344029392404,-0.20493180080698536
