arm,checkpoint,seed,role,probe_family,span_len,pair_id,mask_occurrence,source_pair_id,body_len,seq_len,repeated_nll,unrepeated_nll,copy_gain
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:0:compact:frontier_consolidation_fwcompact_medium_046028,companion,compact:frontier_consolidation_fwcompact_medium_046028,50,52,0.059294089674949646,0.045676298439502716,-0.01361779123544693
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:100:compact:frontier_consolidation_fwcompact_medium_049418,companion,compact:frontier_consolidation_fwcompact_medium_049418,51,53,0.00828827265650034,9.080389976501465,9.072101703844965
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:101:compact:frontier_consolidation_fwcompact_medium_051883,companion,compact:frontier_consolidation_fwcompact_medium_051883,35,37,3.65889048576355,5.6712236404418945,2.0123331546783447
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:102:compact:frontier_consolidation_fwcompact_medium_060888,companion,compact:frontier_consolidation_fwcompact_medium_060888,67,69,0.008839641697704792,12.9480562210083,12.939216579310596
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:103:compact:frontier_consolidation_fwcompact_medium_045018,companion,compact:frontier_consolidation_fwcompact_medium_045018,21,23,5.880615234375,7.8074951171875,1.9268798828125
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:104:compact:frontier_consolidation_fwcompact_medium_031002,companion,compact:frontier_consolidation_fwcompact_medium_031002,75,77,0.008059126324951649,15.235940933227539,15.227881806902587
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:105:compact:frontier_consolidation_fwcompact_medium_060933,companion,compact:frontier_consolidation_fwcompact_medium_060933,42,44,0.022348690778017044,4.646961212158203,4.624612521380186
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:106:compact:frontier_consolidation_fwcompact_medium_025322,companion,compact:frontier_consolidation_fwcompact_medium_025322,47,49,0.0348413921892643,2.2698254585266113,2.234984066337347
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:107:compact:frontier_consolidation_fwcompact_medium_035847,companion,compact:frontier_consolidation_fwcompact_medium_035847,35,37,0.1594008207321167,7.2109375,7.051536679267883
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:108:compact:frontier_consolidation_fwcompact_medium_016311,companion,compact:frontier_consolidation_fwcompact_medium_016311,53,55,0.26755183935165405,13.968692779541016,13.701140940189362
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:109:compact:frontier_consolidation_fwcompact_medium_058939,companion,compact:frontier_consolidation_fwcompact_medium_058939,54,56,0.04898378625512123,8.857583999633789,8.808600213378668
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:10:compact:frontier_consolidation_fwcompact_medium_013869,companion,compact:frontier_consolidation_fwcompact_medium_013869,68,70,0.12705813348293304,8.64454460144043,8.517486467957497
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:110:compact:frontier_consolidation_fwcompact_medium_027707,companion,compact:frontier_consolidation_fwcompact_medium_027707,60,62,10.400389671325684,11.146334648132324,0.7459449768066406
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:111:compact:frontier_consolidation_fwcompact_medium_004675,companion,compact:frontier_consolidation_fwcompact_medium_004675,58,60,0.0015187645331025124,0.5830256342887878,0.5815068697556853
