arm,checkpoint,seed,role,probe_family,span_len,pair_id,mask_occurrence,source_pair_id,body_len,seq_len,repeated_nll,unrepeated_nll,copy_gain
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,1,packet:1:0:compact:frontier_consolidation_fwcompact_medium_046028,companion,compact:frontier_consolidation_fwcompact_medium_046028,50,52,0.008424459025263786,0.005486905109137297,-0.0029375539161264896
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,1,packet:1:100:compact:frontier_consolidation_fwcompact_medium_049418,companion,compact:frontier_consolidation_fwcompact_medium_049418,51,53,0.0015938685974106193,8.325411796569824,8.323817927972414
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,1,packet:1:101:compact:frontier_consolidation_fwcompact_medium_051883,companion,compact:frontier_consolidation_fwcompact_medium_051883,35,37,0.020421486347913742,4.359240531921387,4.338819045573473
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,1,packet:1:102:compact:frontier_consolidation_fwcompact_medium_060888,companion,compact:frontier_consolidation_fwcompact_medium_060888,67,69,0.006665851920843124,17.61873435974121,17.612068507820368
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,1,packet:1:103:compact:frontier_consolidation_fwcompact_medium_045018,companion,compact:frontier_consolidation_fwcompact_medium_045018,21,23,4.197084903717041,5.251569747924805,1.0544848442077637
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,1,packet:1:104:compact:frontier_consolidation_fwcompact_medium_031002,companion,compact:frontier_consolidation_fwcompact_medium_031002,75,77,0.003772999858483672,15.671243667602539,15.667470667744055
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,1,packet:1:105:compact:frontier_consolidation_fwcompact_medium_060933,companion,compact:frontier_consolidation_fwcompact_medium_060933,42,44,0.003741290420293808,3.1836745738983154,3.1799332834780216
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,1,packet:1:106:compact:frontier_consolidation_fwcompact_medium_025322,companion,compact:frontier_consolidation_fwcompact_medium_025322,47,49,0.0007531190640293062,5.830288887023926,5.8295357679598965
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,1,packet:1:107:compact:frontier_consolidation_fwcompact_medium_035847,companion,compact:frontier_consolidation_fwcompact_medium_035847,35,37,0.014641575515270233,6.660036087036133,6.645394511520863
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,1,packet:1:108:compact:frontier_consolidation_fwcompact_medium_016311,companion,compact:frontier_consolidation_fwcompact_medium_016311,53,55,0.0033513116650283337,15.144258499145508,15.14090718748048
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,1,packet:1:109:compact:frontier_consolidation_fwcompact_medium_058939,companion,compact:frontier_consolidation_fwcompact_medium_058939,54,56,0.019170599058270454,4.248748302459717,4.229577703401446
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,1,packet:1:10:compact:frontier_consolidation_fwcompact_medium_013869,companion,compact:frontier_consolidation_fwcompact_medium_013869,68,70,0.11243070662021637,9.500409126281738,9.387978419661522
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,1,packet:1:110:compact:frontier_consolidation_fwcompact_medium_027707,companion,compact:frontier_consolidation_fwcompact_medium_027707,60,62,0.04757946729660034,11.238697052001953,11.191117584705353
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,1,packet:1:111:compact:frontier_consolidation_fwcompact_medium_004675,companion,compact:frontier_consolidation_fwcompact_medium_004675,58,60,0.00043049128726124763,0.4090259075164795,0.40859541622921824
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,1,packet:1:112:compact:frontier_consolidation_fwcompact_medium_055294,companion,compact:frontier_consolidation_fwcompact_medium_055294,41,43,0.22732865810394287,7.802093982696533,7.57476532459259
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,1,packet:1:113:compact:frontier_consolidation_fwcompact_medium_027242,companion,compact:frontier_consolidation_fwcompact_medium_027242,33,35,0.04856916144490242,7.274656295776367,7.226087134331465
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,1,packet:1:114:compact:frontier_consolidation_fwcompact_medium_020105,companion,compact:frontier_consolidation_fwcompact_medium_020105,89,91,0.0006342306733131409,12.692331314086914,12.691697083413601
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,1,packet:1:115:compact:frontier_consolidation_fwcompact_medium_001076,companion,compact:frontier_consolidation_fwcompact_medium_001076,35,37,0.004443177487701178,9.292409896850586,9.287966719362885
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,1,packet:1:116:compact:frontier_consolidation_fwcompact_medium_035657,companion,compact:frontier_consolidation_fwcompact_medium_035657,46,48,0.035248514264822006,11.856612205505371,11.821363691240549
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,1,packet:1:117:compact:frontier_consolidation_fwcompact_medium_056096,companion,compact:frontier_consolidation_fwcompact_medium_056096,64,66,0.0003079893649555743,4.208087921142578,4.2077799317776226
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,1,packet:1:118:compact:frontier_consolidation_fwcompact_medium_022332,companion,compact:frontier_consolidation_fwcompact_medium_022332,54,56,0.002897233935073018,0.0034669076558202505,0.0005696737207472324
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,1,packet:1:119:compact:frontier_consolidation_fwcompact_medium_018067,companion,compact:frontier_consolidation_fwcompact_medium_018067,31,33,0.01705292798578739,11.764839172363281,11.747786244377494
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,1,packet:1:11:compact:frontier_consolidation_fwcompact_medium_035424,companion,compact:frontier_consolidation_fwcompact_medium_035424,48,50,0.010326173156499863,12.215681076049805,12.205354902893305
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,1,packet:1:120:compact:frontier_consolidation_fwcompact_medium_038221,companion,compact:frontier_consolidation_fwcompact_medium_038221,23,25,0.01517348550260067,0.9493787288665771,0.9342052433639765
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,1,packet:1:121:compact:frontier_consolidation_fwcompact_medium_006849,companion,compact:frontier_consolidation_fwcompact_medium_006849,65,67,0.007743815425783396,10.755375862121582,10.747632046695799
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,1,packet:1:122:compact:frontier_consolidation_fwcompact_medium_029769,companion,compact:frontier_consolidation_fwcompact_medium_029769,40,42,0.004077098798006773,10.241442680358887,10.23736558156088
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,1,packet:1:123:compact:frontier_consolidation_fwcompact_medium_038187,companion,compact:frontier_consolidation_fwcompact_medium_038187,21,23,0.0066599310375750065,11.818221092224121,11.811561161186546
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,1,packet:1:124:compact:frontier_consolidation_fwcompact_medium_009755,companion,compact:frontier_consolidation_fwcompact_medium_009755,73,75,0.01848681829869747,6.150186538696289,6.131699720397592
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,1,packet:1:125:compact:frontier_consolidation_fwcompact_medium_000182,companion,compact:frontier_consolidation_fwcompact_medium_000182,42,44,0.003003374207764864,2.8427748680114746,2.8397714938037097
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,1,packet:1:126:compact:frontier_consolidation_fwcompact_medium_054982,companion,compact:frontier_consolidation_fwcompact_medium_054982,63,65,0.004411489237099886,14.267130851745605,14.262719362508506
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,1,packet:1:127:compact:frontier_consolidation_fwcompact_medium_025376,companion,compact:frontier_consolidation_fwcompact_medium_025376,57,59,0.0029420447535812855,11.6515531539917,11.648611109238118
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,1,packet:1:128:compact:frontier_consolidation_fwcompact_medium_000312,companion,compact:frontier_consolidation_fwcompact_medium_000312,57,59,0.006227611564099789,9.94664478302002,9.94041717145592
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,1,packet:1:129:compact:frontier_consolidation_fwcompact_medium_021431,companion,compact:frontier_consolidation_fwcompact_medium_021431,38,40,0.00022754464589525014,1.2563238143920898,1.2560962697461946
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,1,packet:1:12:compact:frontier_consolidation_fwcompact_medium_009947,companion,compact:frontier_consolidation_fwcompact_medium_009947,18,20,0.013038145378232002,4.497410774230957,4.484372628852725
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,1,packet:1:130:compact:frontier_consolidation_fwcompact_medium_038498,companion,compact:frontier_consolidation_fwcompact_medium_038498,78,80,0.0005800233921036124,0.001192454481497407,0.0006124310893937945
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,1,packet:1:131:compact:frontier_consolidation_fwcompact_medium_023849,companion,compact:frontier_consolidation_fwcompact_medium_023849,21,23,0.022198764607310295,12.893013000488281,12.870814235880971
