arm,checkpoint,seed,role,probe_family,span_len,n,mean_copy_gain,sd_copy_gain,se_copy_gain,mean_repeated_nll,mean_unrepeated_nll
D_C_43022,chck_100M,43022,C,ALL,1,1600,3.6878423492232604,4.744162391003174,0.11860405977507935,5.503522159850986,9.191364509074246
D_C_43022,chck_100M,43022,C,ALL,4,1600,6.549434388662703,4.2708932110903595,0.10677233027725899,2.354815743295276,8.904250131957978
D_C_43022,chck_100M,43022,C,ALL,8,1600,6.880017385813585,4.375584326017893,0.10938960815044732,1.402995520753775,8.28301290656736
D_C_43022,chck_100M,43022,C,ALL,ALL,4800,5.705764707899849,4.6924052941717465,0.06772903649342206,3.0871111413000123,8.792875849199861
D_C_43022,chck_100M,43022,C,actual_packet_source_repeat,1,900,6.139333866767467,5.031171181837848,0.16770570606126162,0.5203362621579193,6.659670128925386
D_C_43022,chck_100M,43022,C,actual_packet_source_repeat,4,900,5.7669257976204005,4.1117536395133225,0.13705845465044408,0.28878941699102545,6.055715214611426
D_C_43022,chck_100M,43022,C,actual_packet_source_repeat,8,900,4.88822622970192,3.7728806781056017,0.12576268927018672,0.26565933184572105,5.153885561547641
D_C_43022,chck_100M,43022,C,actual_packet_source_repeat,ALL,2700,5.598161964696596,4.3695608883481585,0.08409223850427565,0.35826167033155526,5.956423635028151
D_C_43022,chck_100M,43022,C,random_token_span,1,700,0.5359246838092804,1.112826953212954,0.04206090529215981,11.91047545688493,12.446400140694209
D_C_43022,chck_100M,43022,C,random_token_span,4,700,7.55551686285995,4.261011086089461,0.16105108096402782,5.011135305686454,12.566652168546405
D_C_43022,chck_100M,43022,C,random_token_span,8,700,9.440891729385726,3.714999013525115,0.14041376443768191,2.8652849064927017,12.306176635878426
D_C_43022,chck_100M,43022,C,random_token_span,ALL,2100,5.844111092018318,5.074064793443004,0.11072517141458588,6.595631889688028,12.439742981706347
D_C_43022,chck_80M,43022,C,ALL,1,1600,3.6501009169740293,4.6833295529275265,0.11708323882318816,5.5199516402986,9.17005255727263
D_C_43022,chck_80M,43022,C,ALL,4,1600,6.497703823679717,4.220503502834131,0.10551258757085327,2.351995597243781,8.849699420923498
D_C_43022,chck_80M,43022,C,ALL,8,1600,6.829362692030381,4.313478028075648,0.10783695070189121,1.42812490849622,8.257487600526602
D_C_43022,chck_80M,43022,C,ALL,ALL,4800,5.659055810894709,4.635413202316865,0.06690642650406968,3.1000240486795336,8.759079859574243
D_C_43022,chck_80M,43022,C,actual_packet_source_repeat,1,900,6.100976190394439,4.934259692398946,0.16447532307996487,0.5369094627532872,6.637885653147726
D_C_43022,chck_80M,43022,C,actual_packet_source_repeat,4,900,5.72211104832736,4.068179431898613,0.13560598106328708,0.3046278416750445,6.026738890002404
