family,arch,arm,checkpoint,seed,role,group,n,mean_margin_full,mean_effect_no_initial_qbox,mean_effect_no_last_relevant_update,mean_effect_no_all_relevant_updates,mean_margin_no_all_relevant_updates,mean_margin_no_initial_qbox,mean_margin_no_last_relevant_update,mean_relevant_updates,mean_total_ops
entity_ablation,D,D_C_43222,chck_100M,43222,C,ALL,1221,0.6616444181678336,0.12781251357970522,-0.8252714136028075,-1.7877145851218583,-1.1260701669540247,0.7894569317475388,-0.1636269954349739,2.994266994266994,9.25962325962326
entity_ablation,D,D_C_43222,chck_100M,43222,C,rel_ge2,1205,0.6643020331241283,0.11870453597599046,-0.836229658009353,-1.811452157946914,-1.1471501248227858,0.7830065691001188,-0.1719276248852247,3.020746887966805,9.269709543568466
entity_ablation,D,D_C_43222,chck_100M,43222,C,rel_ge3,716,0.9859586913325933,0.015269926494226775,-0.8412994815650598,-2.0850036795245868,-1.0990449881919935,1.0012286178268202,0.1446592097675334,3.717877094972067,9.886871508379889
entity_ablation,D,D_C_43222,chck_100M,43222,C,rel_updates_1,16,0.46149279177188873,0.8137570768594742,2.136826515197754e-05,2.136826515197754e-05,0.4615141600370407,1.275249868631363,0.4615141600370407,1.0,8.5
entity_ablation,D,D_C_43222,chck_100M,43222,C,rel_updates_2,489,0.19332827591091578,0.27015480262004526,-0.8288063580791155,-1.4109145517104853,-1.2175862757995695,0.46348307853096105,-0.6354780821681998,2.0,8.366053169734151
entity_ablation,D,D_C_43222,chck_100M,43222,C,rel_updates_3,296,0.7795119607770765,-0.14065994428017656,-0.9029429125020633,-1.9407231371749092,-1.1612111763978326,0.6388520164968999,-0.12343095172498678,3.0,9.54054054054054
entity_ablation,D,D_C_43222,chck_100M,43222,C,rel_updates_4,326,1.0444387129845063,0.1833206008365549,-0.8703965808899125,-2.115552436080447,-1.0711137230959407,1.2277593138210612,0.17404213209459388,4.0,10.13803680981595
entity_ablation,D,D_C_43222,chck_100M,43222,C,rel_updates_5,94,1.4332325762890754,-0.07653090421189652,-0.5462770354240498,-2.4333882103575037,-1.0001556340684281,1.356701672077179,0.8869555408650256,5.0,10.106382978723405
entity_ablation,D,D_C_43222,chck_100M,43222,C,type_ambiref,399,0.7796832598689803,0.1409727996378614,-0.6411096423042747,-1.1470304461648888,-0.3673471862959085,0.9206560595068418,0.13857361756470568,3.0526315789473686,9.230576441102757
entity_ablation,D,D_C_43222,chck_100M,43222,C,type_move_contents,381,0.5580660547875357,-0.010131450306399288,-0.7932283700372916,-1.9920370756132708,-1.4339710208257352,0.5479346044811364,-0.23516231524975595,2.900262467191601,9.401574803149606
entity_ablation,D,D_C_43222,chck_100M,43222,C,type_regular,441,0.6443334399572576,0.2350816657416134,-1.0195774143886944,-2.1908576748420456,-1.546524234884788,0.8794151056988709,-0.37524397443143687,3.0226757369614514,9.16326530612245
entity_ablation,D,D_C_43222,chck_80M,43222,C,ALL,1221,0.4856296529738655,0.23555321999376275,-0.7613000896599915,-1.6751436403968556,-1.18951398742299,0.7211828729676283,-0.27567043668612606,2.994266994266994,9.25962325962326
entity_ablation,D,D_C_43222,chck_80M,43222,C,rel_ge2,1205,0.4863641874424155,0.22776174495205345,-0.7705274707548846,-1.6965050437421967,-1.2101408562997813,0.714125932394469,-0.2841632833124691,3.020746887966805,9.269709543568466
entity_ablation,D,D_C_43222,chck_80M,43222,C,rel_ge3,716,0.7719734780407151,0.11566299109527185,-0.7831937318990351,-1.9746560776221187,-1.2026825995814034,0.887636469135987,-0.011220253858319875,3.717877094972067,9.886871508379889
entity_ablation,D,D_C_43222,chck_80M,43222,C,rel_updates_1,16,0.4303100258111954,0.8223486840724945,-0.06636295095086098,-0.06636295095086098,0.3639470748603344,1.2526587098836899,0.3639470748603344,1.0,8.5
entity_ablation,D,D_C_43222,chck_80M,43222,C,rel_updates_2,489,0.06817144292629569,0.39189816164214675,-0.7519813705928974,-1.2892327732758897,-1.221061330349594,0.4600696045684424,-0.6838099276666018,2.0,8.366053169734151
entity_ablation,D,D_C_43222,chck_80M,43222,C,rel_updates_3,296,0.6192411757200151,-0.07367127912270056,-0.8560505277804427,-1.852131374381684,-1.232890198661669,0.5455698965973145,-0.23680935206042752,3.0,9.54054054054054
entity_ablation,D,D_C_43222,chck_80M,43222,C,rel_updates_4,326,0.752585906786787,0.3130352107202349,-0.80489282310009,-1.9768112983120365,-1.2242253915252495,1.0656211175070218,-0.05230691631330303,4.0,10.13803680981595
entity_ablation,D,D_C_43222,chck_80M,43222,C,rel_updates_5,94,1.3201554962929258,0.027360867550398443,-0.4785180370858375,-2.3530040586248355,-1.03284856233191,1.3475163638433243,0.8416374592070884,5.0,10.106382978723405
entity_ablation,D,D_C_43222,chck_80M,43222,C,type_ambiref,399,0.6705055163617719,0.19041552138806583,-0.6070480478885478,-1.1020113283903676,-0.43150581202859567,0.8609210377498379,0.06345746847322412,3.0526315789473686,9.230576441102757
entity_ablation,D,D_C_43222,chck_80M,43222,C,type_move_contents,381,0.34763380896857404,0.10888382927404613,-0.7122264044491324,-1.8361244082177093,-1.488490599249135,0.4565176382426202,-0.36459259548055845,2.900262467191601,9.401574803149606
entity_ablation,D,D_C_43222,chck_80M,43222,C,type_regular,441,0.43758191391318835,0.38582755017037296,-0.943258454131972,-2.0546133001493354,-1.617031386236147,0.8234094640835613,-0.5056765402187836,3.0226757369614514,9.16326530612245
entity_ablation,D,D_C_43222,chck_90M,43222,C,ALL,1221,0.6952097280581011,0.05954040839572503,-0.8367350533616826,-1.7750075955453415,-1.0797978674872404,0.7547501364538262,-0.14152532530358147,2.994266994266994,9.25962325962326
