family,arch,arm_a,arm_b,checkpoint,seed,group,contrast,n,delta_mean_gain_a_minus_b,mean_gain_a,mean_gain_b
copy,D182,D182_R_43022,D182_V_43022,chck_100M,43022,ALL,RminusV,2000,0.1634927968883071,4.136775969061178,3.973283172172871
copy,D182,D182_V_43022,D182_R_43022,chck_100M,43022,ALL,VminusR,2000,-0.1634927968883071,3.973283172172871,4.136775969061178
copy,D182,D182_R_43022,D182_V_43022,chck_100M,43022,domain_bnc_spoken,RminusV,180,0.2076641397138399,4.52122704246269,4.31356290274885
copy,D182,D182_V_43022,D182_R_43022,chck_100M,43022,domain_bnc_spoken,VminusR,180,-0.2076641397138399,4.31356290274885,4.52122704246269
copy,D182,D182_R_43022,D182_V_43022,chck_100M,43022,domain_childes,RminusV,642,0.052771726151834564,2.7637663725405117,2.710994646388677
copy,D182,D182_V_43022,D182_R_43022,chck_100M,43022,domain_childes,VminusR,642,-0.052771726151834564,2.710994646388677,2.7637663725405117
copy,D182,D182_R_43022,D182_V_43022,chck_100M,43022,domain_gutenberg,RminusV,468,0.29836318780965065,4.966120549626141,4.6677573618164905
copy,D182,D182_V_43022,D182_R_43022,chck_100M,43022,domain_gutenberg,VminusR,468,-0.29836318780965065,4.6677573618164905,4.966120549626141
copy,D182,D182_R_43022,D182_V_43022,chck_100M,43022,domain_open_subtitles,RminusV,434,0.09247420297416298,4.803920562382751,4.711446359408588
copy,D182,D182_V_43022,D182_R_43022,chck_100M,43022,domain_open_subtitles,VminusR,434,-0.09247420297416298,4.711446359408588,4.803920562382751
copy,D182,D182_R_43022,D182_V_43022,chck_100M,43022,domain_simple_wiki,RminusV,272,0.26977254730744527,4.649004397797525,4.37923185049008
copy,D182,D182_V_43022,D182_R_43022,chck_100M,43022,domain_simple_wiki,VminusR,272,-0.26977254730744527,4.37923185049008,4.649004397797525
copy,D182,D182_R_43022,D182_V_43022,chck_100M,43022,domain_switchboard,RminusV,4,0.6451728963293135,2.9544804519973695,2.309307555668056
copy,D182,D182_V_43022,D182_R_43022,chck_100M,43022,domain_switchboard,VminusR,4,-0.6451728963293135,2.309307555668056,2.9544804519973695
copy,D182,D182_R_43022,D182_V_43022,chck_100M,43022,span_1,RminusV,1000,0.09238763813500928,4.181429781882398,4.089042143747388
copy,D182,D182_V_43022,D182_R_43022,chck_100M,43022,span_1,VminusR,1000,-0.09238763813500928,4.089042143747388,4.181429781882398
copy,D182,D182_R_43022,D182_V_43022,chck_100M,43022,span_4,RminusV,1000,0.23459795564160402,4.092122156239959,3.8575242005983545
copy,D182,D182_V_43022,D182_R_43022,chck_100M,43022,span_4,VminusR,1000,-0.23459795564160402,3.8575242005983545,4.092122156239959
copy,D182,D182_R_43022,D182_V_43022,chck_80M,43022,ALL,RminusV,2000,0.20590436240491172,4.26129781699855,4.055393454593638
copy,D182,D182_V_43022,D182_R_43022,chck_80M,43022,ALL,VminusR,2000,-0.20590436240491172,4.055393454593638,4.26129781699855
copy,D182,D182_R_43022,D182_V_43022,chck_80M,43022,domain_bnc_spoken,RminusV,180,0.22211697807328523,4.573396889973406,4.351279911900121
copy,D182,D182_V_43022,D182_R_43022,chck_80M,43022,domain_bnc_spoken,VminusR,180,-0.22211697807328523,4.351279911900121,4.573396889973406
copy,D182,D182_R_43022,D182_V_43022,chck_80M,43022,domain_childes,RminusV,642,0.07602571762519572,2.8686158747578627,2.792590157132667
copy,D182,D182_V_43022,D182_R_43022,chck_80M,43022,domain_childes,VminusR,642,-0.07602571762519572,2.792590157132667,2.8686158747578627
copy,D182,D182_R_43022,D182_V_43022,chck_80M,43022,domain_gutenberg,RminusV,468,0.4159160770726045,5.108034425784275,4.692118348711671
copy,D182,D182_V_43022,D182_R_43022,chck_80M,43022,domain_gutenberg,VminusR,468,-0.4159160770726045,4.692118348711671,5.108034425784275
copy,D182,D182_R_43022,D182_V_43022,chck_80M,43022,domain_open_subtitles,RminusV,434,0.12113137238550031,4.941983238215052,4.820851865829551
copy,D182,D182_V_43022,D182_R_43022,chck_80M,43022,domain_open_subtitles,VminusR,434,-0.12113137238550031,4.820851865829551,4.941983238215052
copy,D182,D182_R_43022,D182_V_43022,chck_80M,43022,domain_simple_wiki,RminusV,272,0.2723540455341853,4.817829589254935,4.54547554372075
copy,D182,D182_V_43022,D182_R_43022,chck_80M,43022,domain_simple_wiki,VminusR,272,-0.2723540455341853,4.54547554372075,4.817829589254935
copy,D182,D182_R_43022,D182_V_43022,chck_80M,43022,domain_switchboard,RminusV,4,0.4297794926678762,2.9755793194053695,2.5457998267374933
