pair_id,source,original_words,rewrite_words,pair_words,len_ratio,content_jaccard_common_def,content_overlap_min_common_def,stored_content_overlap,stored_content_jaccard,longest_common_contiguous_words_common_def
rw2s0_022604,simple_wiki,22,22,44,1.0,0.5882352941176471,0.7692307692307693,0.7692307692307693,,5
rw2s0_012612,open_subtitles,20,15,35,0.75,0.7,0.875,0.875,,11
rw2s0_009731,gutenberg,29,29,58,1.0,0.7857142857142857,0.9166666666666666,0.9285714285714286,,10
rw2s1_010097,gutenberg,22,22,44,1.0,0.4666666666666667,0.7,0.6363636363636364,,9
rw2s1_014136,simple_wiki,28,29,57,1.0357142857142858,0.625,0.8333333333333334,0.8333333333333334,,7
rw2s1_017251,open_subtitles,39,30,69,0.7692307692307693,0.8823529411764706,0.9375,0.9473684210526315,,9
rw2s0_023229,simple_wiki,18,18,36,1.0,0.8,0.8888888888888888,0.9,,13
rw2s1_004999,gutenberg,20,20,40,1.0,0.6428571428571429,0.8181818181818182,0.8333333333333334,,12
rw2s1_009075,gutenberg,42,36,78,0.8571428571428571,0.6153846153846154,0.8,0.75,,5
rw2s1_005272,gutenberg,40,41,81,1.025,0.3548387096774194,0.55,0.6086956521739131,,5
rw2s1_023056,gutenberg,48,44,92,0.9166666666666666,0.6333333333333333,0.7916666666666666,0.7916666666666666,,12
rw2s0_013076,gutenberg,22,22,44,1.0,0.46153846153846156,0.6666666666666666,0.6666666666666666,,13
rw2s1_016628,gutenberg,26,27,53,1.0384615384615385,0.3181818181818182,0.5,0.5,,7
rw2s1_016847,gutenberg,23,23,46,1.0,0.8333333333333334,0.9090909090909091,0.9166666666666666,,17
rw2s0_031471,gutenberg,49,41,90,0.8367346938775511,0.41379310344827586,0.6,0.5789473684210527,,5
rw2s1_009417,open_subtitles,27,20,47,0.7407407407407407,0.35714285714285715,0.5555555555555556,0.5555555555555556,,4
rw2s1_021377,simple_wiki,22,23,45,1.0454545454545454,0.5,0.7272727272727273,0.7272727272727273,,9
rw2s0_011158,gutenberg,24,22,46,0.9166666666666666,0.5555555555555556,0.7692307692307693,0.7333333333333333,,8
rw2s1_011460,gutenberg,26,27,53,1.0384615384615385,0.7272727272727273,0.8888888888888888,0.9166666666666666,,15
rw2s0_024590,gutenberg,33,34,67,1.0303030303030303,0.5833333333333334,0.875,0.875,,17
rw2s0_006955,simple_wiki,22,22,44,1.0,0.8235294117647058,0.9333333333333333,0.8823529411764706,,5
rw2s1_000297,simple_wiki,22,22,44,1.0,0.47619047619047616,0.6666666666666666,0.6875,,8
rw2s0_032350,gutenberg,23,21,44,0.9130434782608695,0.23529411764705882,0.4,0.36363636363636365,,3
rw2s1_027995,simple_wiki,29,34,63,1.1724137931034482,0.6428571428571429,0.9,0.9,,12
rw2s1_030613,gutenberg,31,30,61,0.967741935483871,0.29411764705882354,0.5,0.5,,6
rw2s0_016173,simple_wiki,20,21,41,1.05,0.7142857142857143,0.9090909090909091,0.9166666666666666,,5
rw2s1_019840,gutenberg,31,28,59,0.9032258064516129,0.6666666666666666,0.8,0.8125,,11
rw2s0_029129,bnc_spoken,25,23,48,0.92,0.6,0.8571428571428571,0.8571428571428571,,13
rw2s0_030529,simple_wiki,28,25,53,0.8928571428571429,0.7647058823529411,0.8666666666666667,0.875,,6
rw2s1_018689,bnc_spoken,18,16,34,0.8888888888888888,0.7692307692307693,0.9090909090909091,0.9090909090909091,,6
rw2s0_023140,gutenberg,29,28,57,0.9655172413793104,0.8571428571428571,0.9230769230769231,0.9285714285714286,,24
rw2s0_012047,simple_wiki,19,19,38,1.0,0.5,0.75,0.7777777777777778,,6
rw2s1_015799,gutenberg,50,49,99,0.98,0.41025641025641024,0.5925925925925926,0.5714285714285714,,7
rw2s1_013128,gutenberg,30,30,60,1.0,0.7222222222222222,0.8666666666666667,0.8125,,13
rw2s0_029337,simple_wiki,34,39,73,1.1470588235294117,0.7058823529411765,0.9230769230769231,0.8666666666666667,,12
rw2s0_000377,open_subtitles,23,23,46,1.0,0.7692307692307693,0.9090909090909091,0.9090909090909091,,15
rw2s1_009372,gutenberg,31,29,60,0.9354838709677419,0.8333333333333334,0.9375,0.9375,,21
rw2s1_025183,simple_wiki,18,17,35,0.9444444444444444,0.6666666666666666,0.8571428571428571,0.8571428571428571,,4
