seed,checkpoint,contrast,group,numops,n_items,weighted_delta
43022,chck_80M,VminusC,ALL_TYPES,0,1541,-0.9088189487345859
43022,chck_80M,VminusC,regular,0,517,-2.1299999999999955
43022,chck_80M,VminusC,ambiref,0,508,0.0
43022,chck_80M,VminusC,move_contents,0,516,-0.5799999999999983
43022,chck_80M,VminusC,ALL_TYPES,1,1274,-0.38933281004709647
43022,chck_80M,VminusC,regular,1,409,1.4699999999999989
43022,chck_80M,VminusC,ambiref,1,428,-0.9300000000000015
43022,chck_80M,VminusC,move_contents,1,437,-1.5999999999999996
43022,chck_80M,VminusC,ALL_TYPES,2,1217,4.599120788824979
43022,chck_80M,VminusC,regular,2,405,4.199999999999999
43022,chck_80M,VminusC,ambiref,2,413,7.259999999999998
43022,chck_80M,VminusC,move_contents,2,399,2.25
43022,chck_80M,VminusC,ALL_TYPES,3,1240,3.065048387096773
43022,chck_80M,VminusC,regular,3,425,3.0599999999999987
43022,chck_80M,VminusC,ambiref,3,409,2.4399999999999977
43022,chck_80M,VminusC,move_contents,3,406,3.6999999999999997
43022,chck_80M,VminusC,ALL_TYPES,4,1175,8.596331914893616
43022,chck_80M,VminusC,regular,4,388,9.02
43022,chck_80M,VminusC,ambiref,4,434,10.369999999999997
43022,chck_80M,VminusC,move_contents,4,353,5.95
43022,chck_80M,VminusC,ALL_TYPES,5,333,8.706786786786786
43022,chck_80M,VminusC,regular,5,94,9.57
43022,chck_80M,VminusC,ambiref,5,123,8.940000000000001
43022,chck_80M,VminusC,move_contents,5,116,7.759999999999998
43022,chck_80M,VminusR,ALL_TYPES,0,1541,-9.020564568462037
43022,chck_80M,VminusR,regular,0,517,-12.769999999999996
43022,chck_80M,VminusR,ambiref,0,508,-5.510000000000002
43022,chck_80M,VminusR,move_contents,0,516,-8.719999999999999
43022,chck_80M,VminusR,ALL_TYPES,1,1274,1.8843720565149138
43022,chck_80M,VminusR,regular,1,409,4.15
43022,chck_80M,VminusR,ambiref,1,428,-0.46000000000000085
43022,chck_80M,VminusR,move_contents,1,437,2.0600000000000005
43022,chck_80M,VminusR,ALL_TYPES,2,1217,4.276154478225145
43022,chck_80M,VminusR,regular,2,405,3.710000000000001
43022,chck_80M,VminusR,ambiref,2,413,5.329999999999999
43022,chck_80M,VminusR,move_contents,2,399,3.7600000000000016
43022,chck_80M,VminusR,ALL_TYPES,3,1240,8.78831451612903
43022,chck_80M,VminusR,regular,3,425,9.649999999999999
43022,chck_80M,VminusR,ambiref,3,409,8.059999999999999
43022,chck_80M,VminusR,move_contents,3,406,8.620000000000001
43022,chck_80M,VminusR,ALL_TYPES,4,1175,10.641617021276595
43022,chck_80M,VminusR,regular,4,388,14.95
43022,chck_80M,VminusR,ambiref,4,434,10.369999999999997
43022,chck_80M,VminusR,move_contents,4,353,6.240000000000002
43022,chck_80M,VminusR,ALL_TYPES,5,333,10.508708708708708
43022,chck_80M,VminusR,regular,5,94,9.57
43022,chck_80M,VminusR,ambiref,5,123,6.5
43022,chck_80M,VminusR,move_contents,5,116,15.52
43022,chck_80M,CminusR,ALL_TYPES,0,1541,-8.11174561972745
43022,chck_80M,CminusR,regular,0,517,-10.64
43022,chck_80M,CminusR,ambiref,0,508,-5.510000000000002
43022,chck_80M,CminusR,move_contents,0,516,-8.14
43022,chck_80M,CminusR,ALL_TYPES,1,1274,2.27370486656201
43022,chck_80M,CminusR,regular,1,409,2.6800000000000015
43022,chck_80M,CminusR,ambiref,1,428,0.47000000000000064
43022,chck_80M,CminusR,move_contents,1,437,3.66
43022,chck_80M,CminusR,ALL_TYPES,2,1217,-0.3229663105998346
43022,chck_80M,CminusR,regular,2,405,-0.48999999999999844
43022,chck_80M,CminusR,ambiref,2,413,-1.9299999999999997
43022,chck_80M,CminusR,move_contents,2,399,1.5100000000000013
43022,chck_80M,CminusR,ALL_TYPES,3,1240,5.723266129032259
43022,chck_80M,CminusR,regular,3,425,6.59
43022,chck_80M,CminusR,ambiref,3,409,5.620000000000001
43022,chck_80M,CminusR,move_contents,3,406,4.920000000000002
43022,chck_80M,CminusR,ALL_TYPES,4,1175,2.045285106382979
43022,chck_80M,CminusR,regular,4,388,5.929999999999999
43022,chck_80M,CminusR,ambiref,4,434,0.0
43022,chck_80M,CminusR,move_contents,4,353,0.2900000000000027
43022,chck_80M,CminusR,ALL_TYPES,5,333,1.8019219219219218
43022,chck_80M,CminusR,regular,5,94,0.0
43022,chck_80M,CminusR,ambiref,5,123,-2.4400000000000013
43022,chck_80M,CminusR,move_contents,5,116,7.760000000000002
43022,chck_90M,VminusC,ALL_TYPES,0,1541,-0.8435171966255671
43022,chck_90M,VminusC,regular,0,517,-3.1000000000000014
43022,chck_90M,VminusC,ambiref,0,508,0.20000000000000284
43022,chck_90M,VminusC,move_contents,0,516,0.39000000000000057
43022,chck_90M,VminusC,ALL_TYPES,1,1274,0.7833281004709575
43022,chck_90M,VminusC,regular,1,409,2.4399999999999995
43022,chck_90M,VminusC,ambiref,1,428,0.0
43022,chck_90M,VminusC,move_contents,1,437,0.0
43022,chck_90M,VminusC,ALL_TYPES,2,1217,3.0379622021364017
43022,chck_90M,VminusC,regular,2,405,3.6999999999999993
43022,chck_90M,VminusC,ambiref,2,413,3.150000000000002
43022,chck_90M,VminusC,move_contents,2,399,2.25
43022,chck_90M,VminusC,ALL_TYPES,3,1240,3.225637096774193
