seed,token_class,off_freq_quartile,n_targets,mean_delta_gain_T_vs_N,se_delta_gain_T_vs_N,mean_OFF_freq,mean_delta_freq
seed43022,nonoverlap,Q1_low,600,-0.16080985212905538,0.1006468986045237,75.27333333333333,3.881666666666667
seed43022,nonoverlap,Q2,600,-0.6950872842636373,0.10289505226890829,316.9033333333333,7.151666666666666
seed43022,nonoverlap,Q3,600,-0.6030375199847752,0.09948630859873168,820.155,11.74
seed43022,nonoverlap,Q4_high,600,-0.9146523707277247,0.09690882636527921,7500.158333333334,-214.65
seed43022,overlap,Q1_low,300,3.584062243271619,0.25640576806665655,55.06,3.05
seed43022,overlap,Q2,300,3.8074128456144694,0.2532870784425505,196.41333333333333,11.99
seed43022,overlap,Q3,300,3.382854700400494,0.23935443374591492,529.2,16.786666666666665
seed43022,overlap,Q4_high,300,3.615747347072595,0.23824625057579502,4867.83,-82.42333333333333
seed43122,nonoverlap,Q1_low,600,-0.5581414371066623,0.10314148209949818,75.27333333333333,3.881666666666667
seed43122,nonoverlap,Q2,600,-0.772120043789554,0.1068730221004495,316.9033333333333,7.151666666666666
seed43122,nonoverlap,Q3,600,-1.0413953832785288,0.11095455272913891,820.155,11.74
seed43122,nonoverlap,Q4_high,600,-1.1506461637218792,0.10004093627148432,7500.158333333334,-214.65
seed43122,overlap,Q1_low,300,4.237465330072575,0.2866016679411959,55.06,3.05
seed43122,overlap,Q2,300,4.321419989836092,0.2802608982973433,196.41333333333333,11.99
seed43122,overlap,Q3,300,4.179746042056423,0.2723436851584444,529.2,16.786666666666665
seed43122,overlap,Q4_high,300,4.0604844367907695,0.2629440705116816,4867.83,-82.42333333333333
