endpoint,split,correct,delta_correct_vs_coherent86,accuracy,group,total
coherent86,parallel,30,0,29.12621359223301,parent,103
coherent86,nonparallel,48,0,48.0,parent,100
ordinary64,parallel,32,2,31.067961165048544,ordinary,103
ordinary64,nonparallel,48,0,48.0,ordinary,100
ordinary65,parallel,32,2,31.067961165048544,ordinary,103
ordinary65,nonparallel,48,0,48.0,ordinary,100
ms64,parallel,31,1,30.097087378640776,ms,103
ms64,nonparallel,50,2,50.0,ms,100
ms65,parallel,31,1,30.097087378640776,ms,103
ms65,nonparallel,50,2,50.0,ms,100
clean64,parallel,31,1,30.097087378640776,clean,103
clean64,nonparallel,50,2,50.0,clean,100
clean65,parallel,31,1,30.097087378640776,clean,103
clean65,nonparallel,50,2,50.0,clean,100
