endpoint,anchor,input_form,bin_field,bin,n_masked_tokens,delta_isolation_token_loss,se_delta,fraction_improved
coherent86_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,0_edge_token,203,-0.028519628433570303,0.015569257455258938,0.5369458128078818
coherent86_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,1,188,-0.003145696754782353,0.011653922513825027,0.5
coherent86_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,16+,231,-0.007567108448081271,0.008596706775095992,0.5194805194805194
coherent86_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,2-3,380,0.00034220880309619945,0.007133368704183431,0.47368421052631576
coherent86_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,4-7,677,-0.014269480200624643,0.0054007056732562056,0.5273264401772526
coherent86_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,8-15,557,-0.0076466092603326,0.005668681191236684,0.5206463195691203
coherent86_alpha075,chck82_slow_scale1p75,no_special,input_edge_bin,0_edge_token,203,-0.028519628433570303,0.015569257455258938,0.5369458128078818
coherent86_alpha075,chck82_slow_scale1p75,no_special,input_edge_bin,1,188,-0.003145696754782353,0.011653922513825027,0.5
coherent86_alpha075,chck82_slow_scale1p75,no_special,input_edge_bin,16+,231,-0.007567108448081271,0.008596706775095992,0.5194805194805194
coherent86_alpha075,chck82_slow_scale1p75,no_special,input_edge_bin,2-3,380,0.00034220880309619945,0.007133368704183431,0.47368421052631576
coherent86_alpha075,chck82_slow_scale1p75,no_special,input_edge_bin,4-7,677,-0.014269480200624643,0.0054007056732562056,0.5273264401772526
coherent86_alpha075,chck82_slow_scale1p75,no_special,input_edge_bin,8-15,557,-0.0076466092603326,0.005668681191236684,0.5206463195691203
coherent86_alpha075,chck82_slow_scale1p75,no_special,distance_to_boundary_special_bin,NA,2236,-0.009802521342608323,0.0031442233538203634,0.5143112701252236
half_98097_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,0_edge_token,203,0.21222631329799008,0.05445527528456051,0.37438423645320196
half_98097_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,1,188,0.09888092376916169,0.08093002045372451,0.48404255319148937
half_98097_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,16+,231,-0.04239038001319839,0.022856882444188396,0.5064935064935064
half_98097_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,2-3,380,-0.054855994081318436,0.03320104341301932,0.5526315789473685
half_98097_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,4-7,677,-0.12299809045705767,0.017626794865937247,0.5701624815361891
half_98097_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,8-15,557,-0.07927809111340631,0.015750411983504624,0.5673249551166966
half_98097_alpha075,chck82_slow_scale1p75,no_special,input_edge_bin,0_edge_token,203,0.21222631329799008,0.05445527528456051,0.37438423645320196
half_98097_alpha075,chck82_slow_scale1p75,no_special,input_edge_bin,1,188,0.09888092376916169,0.08093002045372451,0.48404255319148937
half_98097_alpha075,chck82_slow_scale1p75,no_special,input_edge_bin,16+,231,-0.04239038001319839,0.022856882444188396,0.5064935064935064
half_98097_alpha075,chck82_slow_scale1p75,no_special,input_edge_bin,2-3,380,-0.054855994081318436,0.03320104341301932,0.5526315789473685
half_98097_alpha075,chck82_slow_scale1p75,no_special,input_edge_bin,4-7,677,-0.12299809045705767,0.017626794865937247,0.5701624815361891
half_98097_alpha075,chck82_slow_scale1p75,no_special,input_edge_bin,8-15,557,-0.07927809111340631,0.015750411983504624,0.5673249551166966
half_98097_alpha075,chck82_slow_scale1p75,no_special,distance_to_boundary_special_bin,NA,2236,-0.043109796178645264,0.012489312424713779,0.5348837209302325
half_98098_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,0_edge_token,203,0.24757843199725094,0.060349363216765595,0.3694581280788177
half_98098_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,1,188,0.13898701299596258,0.08870825229466386,0.46808510638297873
half_98098_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,16+,231,-0.05034857870694915,0.02466418094091949,0.5151515151515151
half_98098_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,2-3,380,-0.05809835549336736,0.03496020579458723,0.5447368421052632
half_98098_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,4-7,677,-0.13273236448917036,0.02007687418794138,0.5805022156573116
half_98098_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,8-15,557,-0.07572144056881448,0.017922593413927684,0.5655296229802513
half_98098_alpha075,chck82_slow_scale1p75,no_special,input_edge_bin,0_edge_token,203,0.24757843199725094,0.060349363216765595,0.3694581280788177
