role,arm,checkpoint,n,mean_loss,sd_loss,mean_masked
C,C,chck_100M,6992,2.495633208452888,1.0802051615021135,34.54977116704806
C,C,chck_80M,6992,2.5337353151982107,1.0887683018568044,34.54977116704806
C,C,chck_90M,6992,2.5012567971663358,1.0817672033508814,34.54977116704806
HM,HM,chck_100M,6992,2.5915656788166754,1.1090893877717807,34.54977116704806
HM,HM,chck_80M,6992,2.621106581144526,1.1139460235231426,34.54977116704806
HM,HM,chck_90M,6992,2.5965018537552447,1.1097472307614444,34.54977116704806
HV,HV,chck_100M,6992,2.5671283677642585,1.0944003144853396,34.54977116704806
HV,HV,chck_80M,6992,2.5995333619974925,1.100944268142131,34.54977116704806
HV,HV,chck_90M,6992,2.5757847723477303,1.0978651111614315,34.54977116704806
R,R,chck_100M,6992,2.603122726748394,1.1135077672166223,34.54977116704806
R,R,chck_80M,6992,2.6411389705197683,1.1226167390258097,34.54977116704806
R,R,chck_90M,6992,2.6086076049612186,1.1141674796224377,34.54977116704806
V,V,chck_100M,6992,2.595850926744328,1.106526874026755,34.54977116704806
V,V,chck_80M,6992,2.6313917693965463,1.1156035360921066,34.54977116704806
V,V,chck_90M,6992,2.6015975592897416,1.1074191638423694,34.54977116704806
