role,token_class,n_checkpoints,n,T,U,N,A_T,A_U,G
C,nonoverlap,3,2732.0,7.0072837803692805,8.228600431824981,8.533981701812996,1.5266979214437162,0.30538126998801435,1.2213166514557017
C,overlap,3,3160.0,1.8430455576679534,8.152254883763733,8.32732181119986,6.484276253531907,0.17506692743612617,6.30920932609578
HM,nonoverlap,3,2732.0,6.27603363222988,7.763149674389415,8.148374892066615,1.872341259836736,0.3852252176772006,1.4871160421595355
HM,overlap,3,3160.0,1.0899920264667693,7.7744186941010165,7.973836628309321,6.883844601842552,0.19941793420830475,6.684426667634248
HV,nonoverlap,3,2732.0,6.23318045606824,7.622777060510362,7.7776258510458804,1.5444453949776416,0.15484879053551878,1.3895966044421229
HV,overlap,3,3160.0,1.142792528964378,7.6161389524035075,7.699555889899913,6.556763360935535,0.08341693749640507,6.473346423439129
R,nonoverlap,3,2732.0,7.455282021455264,7.958582038036423,8.299225757646331,0.8439437361910672,0.3406437196099077,0.5033000165811595
R,overlap,3,3160.0,1.7510962774559442,7.814025020192502,8.060819711996034,6.30972343454009,0.24679469180353308,6.062928742736557
V,nonoverlap,3,2732.0,5.828527161992656,7.771283848152251,8.065617297101186,2.2370901351085313,0.29433344894893543,1.942756686159596
V,overlap,3,3160.0,0.9068321980556676,7.789651979193316,7.978073796733942,7.071241598678275,0.18842181754062728,6.882819781137648
