overlap_bin,token_class,contrast,estimand,n_pairs,mean_difference,se_pair_difference,fraction_positive
ALL,ALL,RminusC,gain_T_vs_U,1200,-0.06073259359970001,0.03336595909482818,0.49416666666666664
ALL,ALL,RminusC,gain_T_vs_N,1200,-0.0058596790361944906,0.03208274003547472,0.5066666666666667
ALL,ALL,RminusC,gain_U_vs_N,1200,0.05487291456350552,0.017960082056965882,0.5158333333333334
ALL,ALL,VminusC,gain_T_vs_U,1200,0.1579271977402459,0.03396229916796844,0.5675
ALL,ALL,VminusC,gain_T_vs_N,1200,0.17318333219262663,0.03398455525069675,0.5766666666666667
ALL,ALL,VminusC,gain_U_vs_N,1200,0.015256134452380745,0.01799075172629645,0.485
ALL,ALL,HVminusC,gain_T_vs_U,1200,0.017907709214442655,0.03044618212272217,0.5116666666666667
ALL,ALL,HVminusC,gain_T_vs_N,1200,-0.004149959290108288,0.0291324909016814,0.49583333333333335
ALL,ALL,HVminusC,gain_U_vs_N,1200,-0.022057668504550952,0.01729673224079111,0.4775
ALL,ALL,HVminusV,gain_T_vs_U,1200,-0.14001948852580326,0.029734034937337773,0.4525
ALL,ALL,HVminusV,gain_T_vs_N,1200,-0.17733329148273494,0.030058378985547512,0.44166666666666665
ALL,ALL,HVminusV,gain_U_vs_N,1200,-0.0373138029569317,0.01723447631487643,0.4633333333333333
ALL,ALL,VminusHV,gain_T_vs_U,1200,0.14001948852580326,0.029734034937337773,0.5475
ALL,ALL,VminusHV,gain_T_vs_N,1200,0.17733329148273494,0.030058378985547512,0.5583333333333333
ALL,ALL,VminusHV,gain_U_vs_N,1200,0.0373138029569317,0.01723447631487643,0.5366666666666666
ALL,ALL,HMminusC,gain_T_vs_U,1200,0.09688052918019012,0.03382102190056853,0.5316666666666666
ALL,ALL,HMminusC,gain_T_vs_N,1200,0.05534381368159503,0.032660468465211714,0.5025
ALL,ALL,HMminusC,gain_U_vs_N,1200,-0.04153671549859509,0.01884136569150973,0.4691666666666667
ALL,ALL,HMminusHV,gain_T_vs_U,1200,0.07897281996574748,0.029701975907558634,0.53
ALL,ALL,HMminusHV,gain_T_vs_N,1200,0.05949377297170334,0.028290044031374594,0.5208333333333334
ALL,ALL,HMminusHV,gain_U_vs_N,1200,-0.01947904699404414,0.017472774304715177,0.47833333333333333
ALL,ALL,HVminusHM,gain_T_vs_U,1200,-0.07897281996574748,0.029701975907558634,0.47
ALL,ALL,HVminusHM,gain_T_vs_N,1200,-0.05949377297170334,0.028290044031374594,0.4791666666666667
ALL,ALL,HVminusHM,gain_U_vs_N,1200,0.01947904699404414,0.017472774304715177,0.5216666666666666
ALL,ALL,HMminusV,gain_T_vs_U,1200,-0.06104666856005578,0.028820383598247658,0.46416666666666667
ALL,ALL,HMminusV,gain_T_vs_N,1200,-0.11783951851103161,0.028670913795525048,0.4266666666666667
ALL,ALL,HMminusV,gain_U_vs_N,1200,-0.05679284995097582,0.01666765732393056,0.43583333333333335
ALL,ALL,HMminusR,gain_T_vs_U,1200,0.15761312277989015,0.030078360847865897,0.5425
ALL,ALL,HMminusR,gain_T_vs_N,1200,0.061203492717789534,0.029037172066006613,0.5108333333333334
ALL,ALL,HMminusR,gain_U_vs_N,1200,-0.09640963006210061,0.016370323847609117,0.44
ALL,nonoverlap,RminusC,gain_T_vs_U,1200,-0.27535098202843483,0.03658146124209052,0.4091666666666667
ALL,nonoverlap,RminusC,gain_T_vs_N,1200,-0.20726262486630326,0.036691688221760055,0.4475
ALL,nonoverlap,RminusC,gain_U_vs_N,1200,0.0680883571621315,0.018271093004842486,0.5233333333333333
ALL,nonoverlap,VminusC,gain_T_vs_U,1200,0.025288814347457233,0.0354581591790232,0.5125
