arm,checkpoint,seed,role,probe_family,probe_id,span_len,gain,companion_words,repeated_nll,source_domain,source_example_id,source_words,unrepeated_nll
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:0:34715,1,0.5560932336375117,11,0.007774096913635731,gutenberg,34715,18,0.5638673305511475
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:100:46093,1,0.0009766248986124992,8,0.013147450052201748,open_subtitles,46093,11,0.014124074950814247
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:101:9638,1,1.845860667526722,8,0.02039497345685959,childes,9638,11,1.8662556409835815
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:102:38847,1,2.670313412323594,8,0.02811402641236782,open_subtitles,38847,12,2.698427438735962
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:103:25389,1,7.95375211071223,28,0.010959078557789326,gutenberg,25389,52,7.9647111892700195
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:104:23610,1,2.449763584882021,8,0.016479920595884323,gutenberg,23610,11,2.4662435054779053
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:105:9850,1,-2.026317815762013e-06,19,0.00011705666838679463,childes,9850,31,0.00011503035057103261
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:106:33545,1,-0.0012502316385507584,28,0.028578463941812515,gutenberg,33545,48,0.027328232303261757
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:107:27677,1,3.388536788523197,8,0.1107880100607872,gutenberg,27677,11,3.4993247985839844
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:108:31140,1,-0.013202231377363205,11,0.07068714499473572,gutenberg,31140,18,0.05748491361737251
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:109:39267,1,0.9719893410801888,8,0.06528573483228683,open_subtitles,39267,11,1.0372750759124756
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:10:4664,1,6.14848880469799,8,0.024682238698005676,bnc_spoken,4664,10,6.173171043395996
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:110:42641,1,13.141943782567978,8,0.3508817255496979,open_subtitles,42641,11,13.492825508117676
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:111:16252,1,0.09122708905488253,9,0.013085681013762951,childes,16252,14,0.10431277006864548
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:112:21179,1,7.20787513256073,9,0.41505253314971924,childes,21179,14,7.622927665710449
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:113:36547,1,4.0995789766311646,13,0.8076552152633667,gutenberg,36547,21,4.907234191894531
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:114:31372,1,6.866366239264607,28,0.017260221764445305,gutenberg,31372,53,6.883626461029053
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:115:48479,1,5.138814210891724,8,3.0124881267547607,open_subtitles,48479,12,8.151302337646484
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:116:8771,1,2.0348263308405876,8,0.05670756846666336,childes,8771,10,2.091533899307251
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:117:35397,1,2.2051166594028473,8,0.13084754347801208,gutenberg,35397,12,2.3359642028808594
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:118:21260,1,2.835980374366045,8,0.022761862725019455,childes,21260,10,2.8587422370910645
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:119:13377,1,6.835935659706593,8,0.03500359505414963,childes,13377,13,6.870939254760742
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:11:10575,1,0.18533176183700562,11,0.9874621033668518,childes,10575,17,1.1727938652038574
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:120:16330,1,1.587183266878128,8,0.19545254111289978,childes,16330,10,1.7826358079910278
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:121:47969,1,4.226959228515625,19,7.838900566101074,open_subtitles,47969,30,12.0658597946167
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:122:37483,1,8.898566477000713,8,0.117080457508564,gutenberg,37483,10,9.015646934509277
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:123:14826,1,0.07483263313770294,13,0.13058792054653168,childes,14826,21,0.20542055368423462
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:124:40156,1,3.6387419756501913,8,0.012973779812455177,open_subtitles,40156,10,3.6517157554626465
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:125:19420,1,3.658003807067871,9,0.6340470314025879,childes,19420,14,4.292050838470459
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:126:27140,1,1.7410143865272403,11,0.012623642571270466,gutenberg,27140,17,1.7536380290985107
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:127:7181,1,3.009405478835106,8,0.03520144522190094,childes,7181,12,3.044606924057007
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:128:27695,1,2.2566206119954586,8,0.06100848689675331,gutenberg,27695,12,2.317629098892212
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:129:1384,1,0.013261482119560242,12,0.14516551792621613,bnc_spoken,1384,19,0.15842700004577637
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:12:16004,1,1.1857732981443405,15,0.10410471260547638,childes,16004,24,1.289878010749817
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:130:20591,1,2.349133095704019,8,0.01329509261995554,childes,20591,13,2.3624281883239746
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:131:21970,1,0.662572517991066,9,0.16561733186244965,childes,21970,14,0.8281898498535156
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:132:8436,1,1.1940043810755014,8,0.016352450475096703,childes,8436,11,1.2103568315505981
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:133:59742,1,0.0006149020045995712,16,0.009306501597166061,simple_wiki,59742,25,0.009921403601765633
